phases,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,Predicted_Order?
Br Li Mg Se     ,30,1.1,3.5,True
I Li S Ti       ,30,21.2,8.5,False
I In Li N       ,30,56.1,3.25,True
Li Mo N Te      ,30,56.8,10.5,True
Cl Ga Li N      ,30,26.5,4.0,True
Li N Se W       ,30,39.4,10.0,True
Cl I In Li      ,31,23.4,2.5,True
Cl Li Nb Te     ,31,24.0,9.0,True
Br F In Li      ,31,52.9,3.0,True
Cl F Li Ti      ,31,40.3,10.5,True
Br Ge Li N      ,31,37.9,2.5,True
Br I Li P       ,31,13.2,2.0,False
Br Gd Li N      ,31,37.9,17.0,True
Br Li Se V      ,31,1.1,8.25,False
Li Se Te Zn     ,31,12.5,4.25,False
Li Se Te V      ,31,12.5,9.25,False
F Li S Y        ,31,42.9,16.75,True
Gd I Li O       ,31,63.5,15.0,True
Br Ca Li S      ,31,7.1,17.5,True
K Li N Se       ,31,39.4,21.75,True
F Li S Zr       ,31,42.9,9.75,True
Br Li Mg Te     ,31,13.7,3.75,False
I Li N Zn       ,31,56.1,4.75,True
Li Mg N Se      ,31,39.4,6.0,True
Hf Li N O       ,32,4.8,11.25,True
Cl K Li Se      ,32,10.2,19.5,True
Cl F Li V       ,32,40.3,9.75,True
Cl F Ga Li      ,32,40.3,3.5,True
Br Cl Li Nb     ,32,9.0,9.5,True
F Li Mo Se      ,32,54.6,8.25,True
B Br Li S       ,32,7.1,0.5,True
B Cl Li Se      ,32,10.2,1.0,True
Ba Li N Se      ,32,39.4,20.75,True
Cs Li O Se      ,32,46.0,20.0,True
F Li Se W       ,32,54.6,8.0,True
I Li S Sn       ,32,21.2,0.5,False
Br K Li S       ,32,7.1,19.0,True
Ca Cl Li Te     ,32,24.0,18.25,True
Cs Li N S       ,32,28.8,22.0,True
K Li N Te       ,32,56.8,22.0,True
Cl I Li Zn      ,32,23.4,4.0,True
Li N Te W       ,32,56.8,10.25,True
I Li Sb Se      ,32,12.0,1.75,False
Ce F Li N       ,33,10.9,16.25,True
Br Li Te V      ,33,13.7,8.5,True
B Cl Li Te      ,33,24.0,1.25,True
Li N Se V       ,33,39.4,10.75,True
F Li Te W       ,33,73.9,8.25,True
Ba Li N Te      ,33,56.8,21.0,True
Br Li O Sr      ,33,44.4,18.0,True
Br Ca Cl Li     ,33,9.0,18.75,True
F Li Mo Te      ,33,73.9,8.5,True
F Li Nb S       ,33,42.9,8.75,True
F K Li N        ,33,10.9,21.5,True
Ca Li N Se      ,33,39.4,20.25,True
Li Nb Se Te     ,33,12.5,9.5,False
I Li N Ti       ,33,56.1,10.5,True
Br Li S Y       ,33,7.1,16.25,True
Br Li N Ti      ,33,37.9,10.75,True
Li N Se Y       ,33,39.4,19.0,True
I Li Sb Te      ,33,0.5,2.0,False
Cl K Li Te      ,33,24.0,19.75,True
Br Li N W       ,33,37.9,9.25,True
Cl Li Se Y      ,34,10.2,16.75,True
I Li O Sr       ,34,63.5,17.75,True
F Ga Li Se      ,34,54.6,2.5,True
Ga Li N Se      ,34,39.4,4.5,True
F Li Mg Se      ,34,54.6,4.0,True
Br F Li W       ,34,52.9,8.75,True
Br Li Se Zn     ,34,1.1,3.25,True
Br I Li Sb      ,34,13.2,2.5,False
I Li N Sb       ,34,56.1,2.0,True
Cs Li O Te      ,34,64.3,20.25,True
Cl F Li Nb      ,34,40.3,10.0,True
Li N Se Zr      ,34,39.4,12.0,True
Br Li Nb Se     ,34,1.1,8.5,True
Br F Li Mo      ,34,52.9,9.0,True
Li Mg N Te      ,34,56.8,6.25,False
Br Li Mo N      ,34,37.9,9.5,True
Cl Li Te Y      ,35,24.0,17.0,True
F I Li P        ,35,73.1,2.5,True
Cl F K Li       ,35,40.3,20.75,True
Cl Li N Sr      ,35,26.5,20.0,True
Li S Se Ta      ,35,8.2,9.25,True
Li N Te V       ,35,56.8,11.0,True
F Li Mo N       ,35,10.9,10.0,True
Ga I Li O       ,35,63.5,1.75,True
B Li N Se       ,35,39.4,3.25,True
F Li Se V       ,35,54.6,8.75,True
Li N Te Zr      ,35,56.8,12.25,True
Br Li Nb Te     ,35,13.7,8.75,True
Br Li Mg N      ,35,37.9,5.25,True
Li N Te Y       ,35,56.8,19.25,True
F Ga Li Te      ,35,73.9,2.75,True
F Ge Li N       ,35,10.9,3.0,True
F Li Mg Te      ,35,73.9,4.25,True
I K Li S        ,35,21.2,18.75,True
F Gd Li N       ,35,10.9,17.5,True
Br Ga Li N      ,36,37.9,3.75,True
Cl Cs Li S      ,36,1.8,19.75,True
Br Li Te Zn     ,36,13.7,3.5,True
Li N S Sc       ,36,28.8,12.0,True
Ba F Li N       ,36,10.9,20.5,True
Cs F Li O       ,36,5.9,20.25,True
F Li N W        ,36,10.9,9.75,True
Br F Li Mg      ,36,52.9,4.75,True
I Li Mo S       ,36,21.2,7.25,False
F Li Se Zn      ,36,54.6,3.75,True
Ca Cl F Li      ,36,40.3,19.25,True
F Li Mg N       ,36,10.9,5.75,True
Cl I Li Sn      ,36,23.4,1.75,True
Br Ca Li Se     ,36,1.1,17.75,True
Ca Li Se Te     ,36,12.5,18.75,False
I Li Se Si      ,36,12.0,0.25,False
Br F Ga Li      ,36,52.9,3.25,True
Ga Li N Te      ,37,56.8,4.75,True
Li S Ta Te      ,37,21.8,9.5,True
Br F Li V       ,37,52.9,9.5,True
F Li Te V       ,37,73.9,9.0,True
Li S Se Sr      ,37,8.2,18.5,True
Ba I Li S       ,37,21.2,17.75,True
Ca Li N Te      ,37,56.8,20.5,True
F Li N Y        ,37,10.9,18.75,True
Ce I Li S       ,37,21.2,13.5,True
I Li Si Te      ,38,0.5,0.5,False
I Li Mg S       ,38,21.2,3.0,True
B Br Cl Li      ,38,9.0,1.75,True
Ba Br Li S      ,38,7.1,18.0,True
Ba Cl Li Se     ,38,10.2,18.5,True
F Li Te Zn      ,38,73.9,4.0,True
Li O Sc Se      ,38,46.0,10.0,True
I Li S Y        ,38,21.2,16.0,True
Ge I Li S       ,38,21.2,0.25,False
Al I Li Se      ,38,12.0,2.0,True
Li N Nb Se      ,38,39.4,11.0,True
Br Ca Li Te     ,38,13.7,18.0,False
F Li Nb Se      ,38,54.6,9.0,True
Cl Hf Li O      ,39,32.5,9.5,True
Br F Li Nb      ,39,52.9,9.75,False
Cl Li Se Ta     ,39,10.2,9.0,True
Br Li S Ta      ,39,7.1,8.5,True
Br Li N V       ,39,37.9,10.0,True
Cl F Li Y       ,39,40.3,18.0,True
B Li N Te       ,39,56.8,3.5,True
Li S Sr Te      ,39,21.8,18.75,True
B Br Li Se      ,39,1.1,0.75,True
Cl Li N Ta      ,39,26.5,10.75,True
Gd I Li S       ,39,21.2,14.75,True
Al I Li Te      ,39,0.5,2.25,False
Li N Nb Te      ,39,56.8,11.25,True
F Li Nb Te      ,39,73.9,9.25,True
Cl Li Se Sr     ,40,10.2,18.25,True
Ce Cl I Li      ,40,23.4,14.75,True
Br Cl Li Ti     ,40,9.0,10.0,True
Ba Cl Li Te     ,40,24.0,18.75,True
Br F Li Zn      ,40,52.9,4.5,True
B Cl F Li       ,40,40.3,2.25,True
B Li Se Te      ,40,12.5,1.75,False
Cl Gd I Li      ,40,23.4,16.0,True
Br Li S Zr      ,40,7.1,9.25,True
F Li N Zr       ,40,10.9,11.75,False
Cl I Li Ti      ,40,23.4,9.75,True
I K Li N        ,40,56.1,20.75,True
Cl Li Ta Te     ,41,24.0,9.25,True
Br Cl Li Ta     ,41,9.0,9.75,True
F I Li Sb       ,41,73.1,3.0,True
I Li O Ta       ,41,63.5,8.5,True
Cl Li Se Zr     ,41,10.2,9.75,True
Cs I Li O       ,41,63.5,19.5,True
I Li Se Sn      ,41,12.0,0.75,False
Br Li S Sr      ,41,7.1,17.75,True
F Ga Li N       ,41,10.9,4.25,True
Br I Li Si      ,41,13.2,1.0,True
I Li S Zr       ,41,21.2,9.0,True
Gd I Li Se      ,41,12.0,15.0,True
I Li S W        ,41,21.2,7.0,False
I Li N Sn       ,41,56.1,2.5,True
Cl Li Sr Te     ,42,24.0,18.5,True
I Li Sn Te      ,42,0.5,1.0,False
B Br Li Te      ,42,13.7,1.0,True
Cl Ge I Li      ,42,23.4,1.5,False
Li O Sc Te      ,42,64.3,10.25,True
Br Gd I Li      ,42,13.2,15.75,True
Br Li N Nb      ,42,37.9,10.25,True
Gd I Li Te      ,42,0.5,15.25,True
Ce I Li Se      ,42,12.0,13.75,True
Ca F Li N       ,42,10.9,20.0,True
Ca F Li Se      ,42,54.6,18.25,True
F Li N V        ,42,10.9,10.5,True
F Li S Ta       ,42,42.9,9.0,True
Cl Li Te Zr     ,43,24.0,10.0,False
Br Li Se Ta     ,43,1.1,8.75,True
Br Cs Li O      ,43,44.4,19.75,True
I Li S V        ,43,21.2,7.75,True
B F Li N        ,43,10.9,3.0,True
Br Cl Li Sr     ,43,9.0,19.0,True
Ga I Li S       ,43,21.2,1.5,True
Br K Li N       ,43,37.9,21.0,True
Br Ca Li N      ,43,37.9,19.5,True
Br Ca F Li      ,43,52.9,19.0,True
Ca F Li Te      ,43,73.9,18.5,True
Ca I Li S       ,43,21.2,17.25,True
I In Li Se      ,43,12.0,1.5,False
Cl I Li W       ,43,23.4,8.25,True
Br I Li Sn      ,43,13.2,1.5,False
Br Ce I Li      ,44,13.2,14.5,True
B Br Li N       ,44,37.9,2.5,True
Li Se Ta Te     ,44,12.5,9.75,False
Ba Cl F Li      ,44,40.3,19.75,True
F Li O Sc       ,44,5.9,10.25,True
F Li S Sr       ,44,42.9,18.25,True
Cl I Li Mo      ,44,23.4,8.5,True
Li Se Sr Te     ,44,12.5,19.0,True
B F Li Se       ,44,54.6,1.25,True
B I Li S        ,44,21.2,0.25,True
Cl Cs Li N      ,44,26.5,21.75,True
Al F I Li       ,44,73.1,3.25,True
F I Li Si       ,44,73.1,1.5,True
Br Li N Y       ,44,37.9,18.25,True
I In Li Te      ,44,0.5,1.75,False
Cl I Li Mg      ,45,23.4,4.25,True
Cl F Li Ta      ,45,40.3,10.25,True
Ba Br Cl Li     ,45,9.0,19.25,True
B Br F Li       ,45,52.9,2.0,True
Ge I Li Se      ,45,12.0,0.5,False
B F Li Te       ,45,73.9,1.5,True
I Li N Y        ,45,56.1,18.0,True
F Li N Nb       ,45,10.9,10.75,True
Li Se Te Ti     ,45,12.5,10.0,False
Cl Li S Sc      ,45,1.8,9.75,True
I Li Se W       ,45,12.0,7.25,False
Cl I K Li       ,46,23.4,20.0,True
Br Cl Li Zr     ,46,9.0,10.5,True
Ge I Li Te      ,46,0.5,0.75,False
I Li Mo Se      ,46,12.0,7.5,False
F Li Se Ta      ,46,54.6,9.25,True
Li N Se Sr      ,46,39.4,20.5,True
I Li Nb S       ,46,21.2,8.0,True
Al Br I Li      ,46,13.2,2.75,True
I Li Se Zn      ,46,12.0,3.0,False
Ce I Li Te      ,46,0.5,14.0,True
F I Li Sn       ,46,73.1,2.0,True
Cl F Li Zr      ,46,40.3,11.0,True
Br I In Li      ,46,13.2,2.25,False
Hf Li O Se      ,46,46.0,9.5,True
I Li Mo N       ,46,56.1,9.25,True
Cl Ga I Li      ,46,23.4,2.75,True
I Li Te Zn      ,47,0.5,3.25,False
I Li Te W       ,47,0.5,7.5,False
F I In Li       ,47,73.1,2.75,True
Br Li Ta Te     ,47,13.7,9.0,True
Li N Se Ta      ,47,39.4,11.25,True
Ba Br Li N      ,47,37.9,20.0,True
Br Cl K Li      ,47,9.0,20.25,True
Ba Li Se Te     ,47,12.5,19.25,True
Br Li Se Sr     ,47,1.1,18.0,True
Ba I Li N       ,47,56.1,19.75,True
F Li Se Ti      ,47,54.6,9.5,True
I Li Mg N       ,47,56.1,5.0,True
I Li Mo Te      ,47,0.5,7.75,False
Cl I Li V       ,47,23.4,9.0,True
Br Cl Li Y      ,48,9.0,17.5,True
Li O Rb S       ,48,34.9,19.5,True
Cl F Li Sr      ,48,40.3,19.5,True
Li N Ta Te      ,48,56.8,11.5,True
F Li Ta Te      ,48,73.9,9.5,True
I Li N Zr       ,48,56.1,11.0,True
Ce F I Li       ,48,73.1,15.0,True
F Li Te Ti      ,48,73.9,9.75,False
Li N Sr Te      ,48,56.8,20.75,True
Br Ge I Li      ,48,13.2,1.25,False
Br Li Sr Te     ,48,13.7,18.25,True
I Li Mg Se      ,48,12.0,3.25,True
Cs Li S Se      ,48,8.2,20.25,True
Br I Li Mo      ,48,13.2,8.25,False
Ce I Li N       ,48,56.1,15.5,True
Li Se Te Zr     ,48,12.5,10.5,False
Hf Li O Te      ,48,64.3,9.75,True
Cl I Li Y       ,48,23.4,17.25,True
Br I Li W       ,49,13.2,8.0,False
Ba Br Li Se     ,49,1.1,18.25,True
Ga I Li Se      ,49,12.0,1.75,False
Ge I Li N       ,49,56.1,2.25,True
Gd I Li N       ,49,56.1,16.75,True
Br Li N Zr      ,49,37.9,11.25,False
I Li Se V       ,49,12.0,8.0,True
F Ge I Li       ,49,73.1,1.75,True
Ca Cl I Li      ,49,23.4,18.5,True
Br Li Se Ti     ,49,1.1,9.0,True
F Gd I Li       ,49,73.1,16.25,True
Br Li N Ta      ,50,37.9,10.5,True
Ga I Li Te      ,50,0.5,2.0,False
Cs Li S Te      ,50,21.8,20.5,True
Br Li N Sr      ,50,37.9,19.75,True
B Cl I Li       ,50,23.4,1.5,True
Br I Li Mg      ,50,13.2,4.0,True
I Li N W        ,50,56.1,9.0,True
Cl I Li Nb      ,50,23.4,9.25,True
I Li Mg Te      ,50,0.5,3.5,False
Br F Li Ta      ,50,52.9,10.0,True
K Li Se Te      ,50,12.5,20.25,True
Br Hf Li O      ,50,44.4,9.25,True
Ca I Li N       ,50,56.1,19.25,True
F I Li Zn       ,50,73.1,4.25,True
F Li Se Sr      ,50,54.6,18.5,True
Br I Li V       ,51,13.2,8.75,True
Hf Li N S       ,51,28.8,11.5,True
I Li Te V       ,51,0.5,8.25,False
Ba Br Li Te     ,51,13.7,18.5,True
Br Ga I Li      ,51,13.2,2.5,False
B I Li N        ,51,56.1,2.25,True
I Li O Sc       ,51,63.5,9.5,True
Br Li Te Ti     ,51,13.7,9.25,False
I Li N V        ,52,56.1,9.75,True
F Li Sr Te      ,52,73.9,18.75,True
Br F Li Sr      ,52,52.9,19.25,True
Br Li O Sc      ,52,44.4,9.75,True
Ba Cl I Li      ,52,23.4,19.0,True
Ba F Li Se      ,52,54.6,18.75,True
Br Li Se Zr     ,52,1.1,9.5,True
Li Se Te Y      ,52,12.5,17.5,True
I Li Nb Se      ,52,12.0,8.25,True
Cl Hf Li S      ,53,1.8,9.25,True
F Li N Ta       ,53,10.9,11.0,True
Cl Li N Sc      ,53,26.5,11.75,True
F I Li Mo       ,53,73.1,8.75,True
F K Li Se       ,53,54.6,19.75,True
Cl I Li Zr      ,53,23.4,10.25,True
Br Li Te Zr     ,53,13.7,9.75,True
F Li N Sr       ,53,10.9,20.25,True
Br I Li Nb      ,53,13.2,9.0,True
F I Li W        ,53,73.1,8.5,True
F Hf Li O       ,53,5.9,9.75,True
F I Li Mg       ,54,73.1,4.5,True
Cs F Li S       ,54,42.9,20.0,True
Ba Br F Li      ,54,52.9,19.5,True
F K Li Te       ,54,73.9,20.0,True
Ba F Li Te      ,54,73.9,19.0,True
F Li Se Y       ,54,54.6,17.0,True
Br F Li Ti      ,54,52.9,10.25,True
I Li Nb Te      ,54,0.5,8.5,False
I Li S Sr       ,54,21.2,17.5,True
Ca I Li Se      ,54,12.0,17.5,True
I Li Se Ti      ,54,12.0,8.75,True
Li N O Rb       ,55,4.8,21.5,True
I Li Te Ti      ,55,0.5,9.0,False
Br I Li Zn      ,55,13.2,3.75,True
F Ga I Li       ,55,73.1,3.0,True
F Li Te Y       ,55,73.9,17.25,True
F Li Se Zr      ,55,54.6,10.0,True
F I Li V        ,55,73.1,9.25,True
Cs Li N Se      ,56,39.4,22.25,True
Ga I Li N       ,56,56.1,3.5,True
Li S Sc Se      ,56,8.2,10.25,True
I Li S Ta       ,56,21.2,8.25,True
F I Li Ti       ,56,73.1,10.0,False
Br Ca I Li      ,56,13.2,18.25,True
Cl Hf Li Se     ,57,10.2,9.5,True
F Li Te Zr      ,57,73.9,10.25,True
Li S Sc Te      ,57,21.8,10.5,False
Cs Li N Te      ,57,56.8,22.5,True
B I Li Se       ,57,12.0,0.5,True
Br K Li Se      ,57,1.1,19.25,True
Hf Li S Se      ,57,8.2,9.75,True
Ca I Li Te      ,57,0.5,17.75,True
I K Li Se       ,57,12.0,19.0,True
Br Cl Hf Li     ,58,9.0,10.25,True
F I Li Nb       ,58,73.1,9.5,True
Br Cs Li S      ,58,7.1,19.5,True
Cl Cs Li Se     ,58,10.2,20.0,True
Br F Li Zr      ,58,52.9,10.75,True
Cs F Li N       ,58,10.9,22.0,True
I Li N Nb       ,58,56.1,10.0,True
B I Li Te       ,58,0.5,0.75,True
Br K Li Te      ,58,13.7,19.5,True
Cl I Li Ta      ,58,23.4,9.5,True
Hf Li S Te      ,58,21.8,10.0,True
Br Li Se Y      ,58,1.1,16.5,True
Br Hf Li S      ,58,7.1,9.0,True
I K Li Te       ,58,0.5,19.25,True
Cl Hf Li Te     ,59,24.0,9.75,True
Cl Hf Li N      ,59,26.5,11.25,True
Cl Cs Li Te     ,59,24.0,20.25,True
Cs I Li S       ,59,21.2,19.25,True
Hf I Li O       ,59,63.5,9.0,True
Br F K Li       ,59,52.9,20.5,True
B Br I Li       ,59,13.2,1.25,True
Ba I Li Se      ,59,12.0,18.0,True
F Li S Sc       ,59,42.9,10.0,True
Cl I Li Sr      ,59,23.4,18.75,True
Br Li Te Y      ,59,13.7,16.75,True
I Li N Sr       ,59,56.1,19.5,True
Ca F I Li       ,59,73.1,18.75,True
I Li Se Y       ,59,12.0,16.25,True
Br Hf Li Se     ,59,1.1,9.25,True
I Li Te Y       ,60,0.5,16.5,True
F I K Li        ,60,73.1,20.25,True
Br F Li Y       ,60,52.9,17.75,True
Cl Li O Rb      ,60,32.5,19.75,True
Li N Sc Se      ,60,39.4,12.25,True
I Li Se Ta      ,60,12.0,8.5,True
F Hf Li S       ,60,42.9,9.5,True
Ba I Li Te      ,60,0.5,18.25,True
B F I Li        ,60,73.1,1.75,True
Br I Li Ti      ,60,13.2,9.5,True
I Li N Ta       ,60,56.1,10.25,True
Hf Li Se Te     ,60,12.5,10.25,True
I Li Ta Te      ,61,0.5,8.75,True
Hf Li N Se      ,61,39.4,11.75,True
Li N Sc Te      ,61,56.8,12.5,True
Br I Li Ta      ,61,13.2,9.25,True
Ba Br I Li      ,61,13.2,18.75,True
I Li Se Sr      ,61,12.0,17.75,True
Br Hf Li Te     ,61,13.7,9.5,True
I Li Se Zr      ,61,12.0,9.25,True
Cl Cs F Li      ,61,40.3,21.25,True
Cl F Hf Li      ,62,40.3,10.75,True
Br I Li Zr      ,62,13.2,10.0,True
I Li Sr Te      ,62,0.5,18.0,True
Hf Li N Te      ,62,56.8,12.0,True
I Li Te Zr      ,62,0.5,9.5,True
Br Cs Li N      ,62,37.9,21.5,True
F I Li Y        ,62,73.1,17.5,True
F Li N Sc       ,63,10.9,12.0,True
Cs I Li N       ,63,56.1,21.25,True
Ba F I Li       ,63,73.1,19.25,True
F I Li Sr       ,63,73.1,19.0,True
F I Li Ta       ,63,73.1,9.75,True
F Hf Li Se      ,63,54.6,9.75,True
Br I Li Sr      ,63,13.2,18.5,True
F Hf Li N       ,63,10.9,11.5,True
Br Hf Li N      ,64,37.9,11.0,True
F Hf Li Te      ,64,73.9,10.0,True
Hf I Li S       ,64,21.2,8.75,True
Br Li S Sc      ,64,7.1,9.5,True
Cl Li Sc Se     ,64,10.2,10.0,True
Br F Hf Li      ,64,52.9,10.5,True
I Li S Sc       ,64,21.2,9.25,True
F I Li Zr       ,64,73.1,10.5,True
Cl Hf I Li      ,65,23.4,10.0,True
Br I K Li       ,65,13.2,19.75,True
Cl Li Sc Te     ,65,24.0,10.25,True
Cl Cs I Li      ,65,23.4,20.5,True
Br Cl Li Sc     ,65,9.0,10.75,True
Hf I Li N       ,66,56.1,10.75,True
Cl F Li Sc      ,66,40.3,11.25,True
Hf I Li Se      ,66,12.0,9.0,True
Li Sc Se Te     ,66,12.5,10.75,False
Br Cl Cs Li     ,66,9.0,20.75,True
Li N Rb S       ,67,28.8,21.75,True
Br I Li Y       ,67,13.2,17.0,True
Br Hf I Li      ,67,13.2,9.75,True
Cs Li Se Te     ,67,12.5,20.75,True
F Li Sc Se      ,67,54.6,10.25,True
Br Li N Sc      ,67,37.9,11.5,True
Hf I Li Te      ,67,0.5,9.25,True
Br Li Sc Se     ,67,1.1,9.75,True
Br Cs Li Se     ,68,1.1,19.75,True
Li O Rb Se      ,68,46.0,19.75,True
Br Li Sc Te     ,68,13.7,10.0,True
Cs F Li Se      ,68,54.6,20.25,True
F Hf I Li       ,68,73.1,10.25,True
Cl I Li Sc      ,68,23.4,10.5,True
I Li N Sc       ,68,56.1,11.25,True
F Li Sc Te      ,68,73.9,10.5,True
Li O Rb Te      ,69,64.3,20.0,True
Br F Li Sc      ,69,52.9,11.0,True
Cs F Li Te      ,69,73.9,20.5,True
Br Cs Li Te     ,69,13.7,20.0,True
F Li O Rb       ,70,5.9,20.0,True
Cs I Li Se      ,70,12.0,19.5,True
Br Cs F Li      ,70,52.9,21.0,True
Cl Li Rb S      ,70,1.8,19.5,True
I Li Sc Se      ,70,12.0,9.5,True
Br Li O Rb      ,71,44.4,19.5,True
Cs I Li Te      ,71,0.5,19.75,True
I Li Sc Te      ,71,0.5,9.75,True
Br I Li Sc      ,71,13.2,10.25,True
I Li O Rb       ,71,63.5,19.25,True
F I Li Sc       ,72,73.1,10.75,True
Cl Li N Rb      ,72,26.5,21.5,True
Br Cs I Li      ,72,13.2,20.25,True
Cs F I Li       ,72,73.1,20.75,True
Li Rb S Se      ,73,8.2,20.0,True
Cl Li Rb Se     ,73,10.2,19.75,True
Br Li Rb S      ,74,7.1,19.25,True
Li Rb S Te      ,74,21.8,20.25,True
Br Cl Li Rb     ,74,9.0,20.5,True
Br Li Rb Se     ,75,1.1,19.5,True
F Li Rb S       ,75,42.9,19.75,True
Cl Li Rb Te     ,75,24.0,20.0,True
Li N Rb Se      ,76,39.4,22.0,True
Li Rb Se Te     ,76,12.5,20.5,True
Cl F Li Rb      ,76,40.3,21.0,True
Br Li N Rb      ,77,37.9,21.25,True
Li N Rb Te      ,77,56.8,22.25,True
Br Li Rb Te     ,77,13.7,19.75,True
F Li Rb Se      ,77,54.6,20.0,True
Br F Li Rb      ,78,52.9,20.75,True
F Li Rb Te      ,78,73.9,20.25,True
F Li N Rb       ,78,10.9,21.75,True
Cl I Li Rb      ,79,23.4,20.25,True
I Li Rb S       ,79,21.2,19.0,True
I Li N Rb       ,80,56.1,21.0,True
I Li Rb Se      ,80,12.0,19.25,True
I Li Rb Te      ,81,0.5,19.5,True
Br I Li Rb      ,81,13.2,20.0,True
F I Li Rb       ,82,73.1,20.5,True
