phases,cgcnn,mat2vec,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,leaf,Predicted_Order?
Cl F Ge Li      ,0.156,0.575,22,40.3,2.25,0.159,True
Ge Li Se Te     ,0.119,0.638,22,12.5,1.75,0.162,False
Ba Br Li O      ,0.298,0.366,22,44.4,18.25,0.164,True
Al Br Li Se     ,0.169,0.495,22,1.1,2.25,0.169,True
Li O S Sc       ,0.545,0.316,22,34.9,9.75,0.176,True
Cl Li Mg Se     ,0.17,0.488,22,10.2,3.75,0.207,True
I Li S Si       ,0.257,0.372,22,21.2,0.0,0.234,False
Cl Li S Y       ,0.578,0.294,22,1.8,16.5,0.295,True
F Gd Li S       ,0.142,0.602,22,42.9,15.5,0.297,True
Li Mg S Se      ,0.173,0.418,22,8.2,4.0,0.304,True
F Li O Y        ,0.597,0.29,22,5.9,17.0,0.321,True
Cl Li S Zr      ,0.343,0.333,22,1.8,9.5,0.947,True
F Li O Zr       ,0.364,0.328,22,5.9,10.0,0.963,True
Cl Li Te Zn     ,0.237,0.403,23,24.0,3.75,0.052,True
In Li Se Te     ,0.173,0.475,23,12.5,2.75,0.077,False
Ga Li N S       ,0.233,0.406,23,28.8,4.25,0.103,True
Br Ga Li S      ,0.156,0.579,23,7.1,1.75,0.111,True
Cl F Gd Li      ,0.139,0.668,23,40.3,16.75,0.134,True
Br Ge Li Te     ,0.12,0.702,23,13.7,1.0,0.137,False
Li N Te Zn      ,0.314,0.374,23,56.8,6.0,0.141,True
Cs Li N O       ,0.7,0.299,23,4.8,21.75,0.159,True
F Ga Li O       ,0.176,0.43,23,5.9,2.5,0.165,True
Li O Se Sr      ,0.253,0.398,23,46.0,18.25,0.204,True
Br Ce Li Te     ,0.112,0.703,23,13.7,14.25,0.213,True
Li N Nb S       ,0.262,0.383,23,28.8,10.75,0.219,True
Br Li N Si      ,0.189,0.418,23,37.9,2.25,0.229,True
Br K Li O       ,0.506,0.329,23,44.4,19.25,0.24,True
F Li N Sb       ,0.188,0.424,23,10.9,2.75,0.249,True
I Li Mg O       ,0.292,0.376,23,63.5,3.25,0.266,True
Cl Gd Li N      ,0.17,0.545,23,26.5,17.25,0.274,True
Li Mg S Te      ,0.181,0.427,23,21.8,4.25,0.295,False
Li S Se Ti      ,0.356,0.339,23,8.2,9.5,0.318,False
F In Li N       ,0.286,0.38,23,10.9,4.0,0.456,True
I K Li O        ,0.626,0.325,23,63.5,19.0,0.494,True
Br Li Se W      ,0.145,0.664,23,1.1,7.5,0.964,False
Li Se Te W      ,0.152,0.608,23,12.5,8.5,0.972,False
Cl K Li N       ,0.589,0.329,24,26.5,21.25,0.038,True
Ce F Li Se      ,0.152,0.651,24,54.6,14.5,0.097,True
F Gd Li Se      ,0.143,0.741,24,54.6,15.75,0.131,True
Gd Li N S       ,0.173,0.476,24,28.8,17.5,0.168,True
Cl Cs Li O      ,0.637,0.328,24,32.5,20.0,0.182,True
Al Li Se Te     ,0.176,0.436,24,12.5,3.25,0.183,False
Cl Ga Li Te     ,0.16,0.589,24,24.0,2.5,0.192,True
Li O Sr Te      ,0.26,0.407,24,64.3,18.5,0.193,True
Br Cl Li Mg     ,0.171,0.554,24,9.0,4.5,0.217,True
Ca Cl Li N      ,0.299,0.383,24,26.5,19.75,0.217,True
Br Li O Zr      ,0.322,0.376,24,44.4,9.5,0.226,True
Ca Li S Se      ,0.228,0.421,24,8.2,18.25,0.261,True
Br Li O Y       ,0.56,0.338,24,44.4,16.5,0.304,True
Li S Te Ti      ,0.363,0.348,24,21.8,9.75,0.309,False
F Li Mo S       ,0.211,0.43,24,42.9,8.0,0.314,True
Br F Li Sn      ,0.155,0.629,24,52.9,2.25,0.321,True
I In Li S       ,0.309,0.381,24,21.2,1.25,0.337,False
Br Cl Ga Li     ,0.154,0.646,24,9.0,3.0,0.425,True
Ce Cl Li N      ,0.179,0.449,25,26.5,16.0,0.008,True
Cl Li N Y       ,0.64,0.337,25,26.5,18.5,0.038,True
Li N Se Sn      ,0.185,0.437,25,39.4,3.5,0.088,True
Ba Cl Li N      ,0.39,0.366,25,26.5,20.25,0.128,True
I Li O W        ,0.264,0.413,25,63.5,7.25,0.131,True
B Cl Li N       ,0.317,0.388,25,26.5,2.75,0.136,True
Li O Ta Te      ,0.233,0.425,25,64.3,9.25,0.143,True
Li S Se V       ,0.176,0.461,25,8.2,8.75,0.161,True
Li N O Sc       ,0.608,0.359,25,4.8,11.75,0.173,True
Al Cl I Li      ,0.309,0.412,25,23.4,3.0,0.187,True
F Li S Ti       ,0.398,0.361,25,42.9,9.25,0.193,True
Cl Li N V       ,0.25,0.424,25,26.5,10.25,0.209,True
F Ge Li Se      ,0.159,0.65,25,54.6,1.25,0.211,True
I Li O Y        ,0.677,0.333,25,63.5,16.25,0.228,True
F Gd Li Te      ,0.151,0.75,25,73.9,16.0,0.237,True
Br Li Mg S      ,0.174,0.486,25,7.1,3.25,0.282,True
Ca I Li O       ,0.343,0.379,25,63.5,17.5,0.306,True
Br Li Mo Se     ,0.166,0.62,25,1.1,7.75,0.459,False
Br F Gd Li      ,0.144,0.804,25,52.9,16.5,0.462,True
Li Mo Se Te     ,0.173,0.563,25,12.5,8.75,0.47,False
Br Li Te W      ,0.153,0.673,25,13.7,7.75,0.958,False
Br In Li N      ,0.243,0.427,26,37.9,3.5,0.025,True
Ce F Li Te      ,0.16,0.659,26,73.9,14.75,0.043,True
Li N Sn Te      ,0.192,0.445,26,56.8,3.75,0.076,True
Cl F Li Zn      ,0.274,0.416,26,40.3,4.75,0.082,True
Cl Li Se V      ,0.174,0.53,26,10.2,8.5,0.101,True
Hf Li O S       ,0.348,0.401,26,34.9,9.25,0.118,True
Br Ce F Li      ,0.153,0.715,26,52.9,15.25,0.119,True
Li S Te V       ,0.184,0.469,26,21.8,9.0,0.151,True
Al Br Li Te     ,0.177,0.504,26,13.7,2.5,0.158,True
F Li N Zn       ,0.35,0.387,26,10.9,5.5,0.171,True
Ba Li S Se      ,0.322,0.403,26,8.2,18.75,0.176,True
B Li S Se       ,0.246,0.426,26,8.2,1.25,0.184,True
F Li Mg S       ,0.22,0.44,26,42.9,3.75,0.192,True
Cl I Li P       ,0.185,0.462,26,23.4,2.25,0.209,True
Ba I Li O       ,0.432,0.362,26,63.5,18.0,0.225,True
B I Li O        ,0.36,0.384,26,63.5,0.5,0.232,True
Cl Li Mg Te     ,0.178,0.496,26,24.0,4.0,0.235,False
Ca Li S Te      ,0.235,0.429,26,21.8,18.5,0.251,False
Li N Se Ti      ,0.426,0.381,26,39.4,11.5,0.316,True
F Ge Li Te      ,0.167,0.658,26,73.9,1.5,0.377,True
Cl Ge Li N      ,0.187,0.448,26,26.5,2.75,0.974,True
Br In Li Te     ,0.174,0.541,27,13.7,2.0,0.05,False
Br Li N Sn      ,0.186,0.504,27,37.9,2.75,0.061,True
Li N S Ta       ,0.325,0.413,27,28.8,11.0,0.108,True
Br Li S V       ,0.177,0.528,27,7.1,8.0,0.136,True
Br Ga Li Se     ,0.157,0.719,27,1.1,2.0,0.141,True
Ga Li Se Te     ,0.164,0.664,27,12.5,3.0,0.155,False
Li N S Sr       ,0.351,0.395,27,28.8,20.25,0.16,True
Ba Li S Te      ,0.329,0.412,27,21.8,19.0,0.166,True
B Li S Te       ,0.253,0.434,27,21.8,1.5,0.174,True
Ce Li N Se      ,0.183,0.527,27,39.4,16.5,0.18,True
Ge I Li O       ,0.233,0.444,27,63.5,0.5,0.181,False
Al F Li Se      ,0.215,0.449,27,54.6,2.75,0.196,True
Al I Li N       ,0.383,0.384,27,56.1,3.75,0.199,True
Cl Li S Sr      ,0.275,0.424,27,1.8,18.0,0.223,True
Cl Li S Ta      ,0.248,0.442,27,1.8,8.75,0.23,True
Li Nb S Se      ,0.187,0.49,27,8.2,9.0,0.249,False
K Li S Se       ,0.528,0.367,27,8.2,19.75,0.251,True
Br F Ge Li      ,0.16,0.714,27,52.9,2.0,0.256,True
I Li O V        ,0.295,0.42,27,63.5,8.0,0.288,True
Ce I Li O       ,0.226,0.445,27,63.5,13.75,0.293,True
F Li S W        ,0.191,0.476,27,42.9,7.75,0.342,True
I Li O Zr       ,0.454,0.371,27,63.5,9.25,0.351,True
I Li S Zn       ,0.371,0.388,27,21.2,2.75,0.375,True
I Li N P        ,0.264,0.433,27,56.1,2.5,0.981,True
Br Cl Li V      ,0.175,0.596,28,9.0,9.25,0.032,True
Cl Li Te V      ,0.181,0.538,28,24.0,8.75,0.077,True
Cl Li Se Ti     ,0.354,0.41,28,10.2,9.25,0.087,True
F Li O Sr       ,0.298,0.42,28,5.9,18.5,0.095,True
Br Ga Li Te     ,0.165,0.728,28,13.7,2.25,0.13,False
Ge Li N Se      ,0.19,0.526,28,39.4,3.25,0.14,True
Gd Li N Se      ,0.174,0.62,28,39.4,17.75,0.157,True
Al F Li Te      ,0.222,0.458,28,73.9,3.0,0.186,True
Cl I Li Sb      ,0.209,0.494,28,23.4,2.75,0.226,True
Li S Se Zr      ,0.346,0.413,28,8.2,10.0,0.237,False
Li Nb S Te      ,0.194,0.499,28,21.8,9.25,0.24,False
K Li S Te       ,0.534,0.376,28,21.8,20.0,0.241,True
Ca F Li S       ,0.273,0.442,28,42.9,18.0,0.264,True
Cl I Li Si      ,0.255,0.443,28,23.4,1.25,0.275,True
I Li N Si       ,0.331,0.414,28,56.1,2.0,0.295,True
Br Li S Ti      ,0.357,0.408,28,7.1,8.75,0.297,True
Li N Te Ti      ,0.432,0.39,28,56.8,11.75,0.306,False
Li S Se Y       ,0.581,0.375,28,8.2,17.0,0.314,True
Li Mo N Se      ,0.242,0.449,28,39.4,10.25,0.454,True
F In Li Se      ,0.212,0.487,28,54.6,2.25,0.481,True
Cl Li Te Ti     ,0.361,0.419,29,24.0,9.5,0.045,False
Cl Li N Nb      ,0.26,0.454,29,26.5,10.5,0.056,True
Br Cl Li Zn     ,0.23,0.462,29,9.0,4.25,0.069,True
Cl F Li Mo      ,0.208,0.499,29,40.3,9.25,0.109,True
Cl F Li W       ,0.188,0.545,29,40.3,9.0,0.116,True
Br Li N Zn      ,0.307,0.434,29,37.9,5.0,0.127,True
Ge Li N Te      ,0.198,0.534,29,56.8,3.5,0.129,True
B F Li S        ,0.291,0.447,29,42.9,1.0,0.187,True
F Li N Sn       ,0.231,0.458,29,10.9,3.25,0.207,True
F Li N Ti       ,0.466,0.403,29,10.9,11.25,0.207,False
Cl Li Nb Se     ,0.184,0.559,29,10.2,8.75,0.212,True
Li S Te Zr      ,0.353,0.422,29,21.8,10.25,0.227,True
Ce Li N Te      ,0.19,0.535,29,56.8,16.75,0.243,True
Cl Li O Sc      ,0.543,0.388,29,32.5,10.0,0.279,True
Li S Te Y       ,0.587,0.384,29,21.8,17.25,0.305,False
Li Mg Se Te     ,0.182,0.573,29,12.5,4.5,0.32,False
Br Li Mo Te     ,0.174,0.629,29,13.7,8.0,0.451,False
F In Li Te      ,0.219,0.496,29,73.9,2.5,0.472,True
F Li S V        ,0.223,0.482,29,42.9,8.5,0.979,True
F K Li S        ,0.566,0.389,30,42.9,19.5,0.056,True
Cl F Li Mg      ,0.217,0.509,30,40.3,5.0,0.12,True
Br Li O Ta      ,0.227,0.484,30,44.4,8.75,0.129,True
Br Ce Li N      ,0.184,0.593,30,37.9,15.75,0.13,True
Gd Li N Te      ,0.182,0.629,30,56.8,18.0,0.155,True
Al Br F Li      ,0.216,0.516,30,52.9,3.5,0.172,True
Ba F Li S       ,0.365,0.425,30,42.9,18.5,0.179,True
F Ga Li S       ,0.203,0.534,30,42.9,2.25,0.181,True
I Li P Te       ,0.196,0.548,30,0.5,1.5,0.199,False
Br Li Nb S      ,0.188,0.557,30,7.1,8.25,0.227,True
I Li Nb O       ,0.305,0.45,30,63.5,8.25,0.24,True
Ca Cl Li Se     ,0.225,0.49,30,10.2,18.0,0.247,True
Br Li Mg Se     ,0.175,0.63,30,1.1,3.5,0.308,True
I Li S Ti       ,0.487,0.404,30,21.2,8.5,0.314,False
I In Li N       ,0.38,0.422,30,56.1,3.25,0.334,True
Li Mo N Te      ,0.249,0.458,30,56.8,10.5,0.445,True
Cl Ga Li N      ,0.23,0.476,30,26.5,4.0,0.473,True
Li N Se W       ,0.222,0.496,30,39.4,10.0,0.96,True
Cl I In Li      ,0.306,0.451,31,23.4,2.5,0.005,True
Cl Li Nb Te     ,0.192,0.567,31,24.0,9.0,0.042,True
Br F In Li      ,0.213,0.554,31,52.9,3.0,0.064,True
Cl F Li Ti      ,0.396,0.432,31,40.3,10.5,0.096,True
Br Ge Li N      ,0.191,0.592,31,37.9,2.5,0.114,True
Br I Li P       ,0.19,0.605,31,13.2,2.0,0.136,False
Br Gd Li N      ,0.175,0.685,31,37.9,17.0,0.143,True
Br Li Se V      ,0.178,0.67,31,1.1,8.25,0.166,False
Li Se Te Zn     ,0.24,0.482,31,12.5,4.25,0.174,False
Li Se Te V      ,0.185,0.614,31,12.5,9.25,0.18,False
F Li S Y        ,0.618,0.397,31,42.9,16.75,0.187,True
Gd I Li O       ,0.218,0.541,31,63.5,15.0,0.22,True
Br Ca Li S      ,0.229,0.488,31,7.1,17.5,0.239,True
K Li N Se       ,0.592,0.409,31,39.4,21.75,0.248,True
F Li S Zr       ,0.388,0.435,31,42.9,9.75,0.274,True
Br Li Mg Te     ,0.183,0.638,31,13.7,3.75,0.298,False
I Li N Zn       ,0.44,0.429,31,56.1,4.75,0.299,True
Li Mg N Se      ,0.25,0.459,31,39.4,6.0,0.301,True
Hf Li N O       ,0.417,0.443,32,4.8,11.25,0.095,True
Cl K Li Se      ,0.526,0.437,32,10.2,19.5,0.112,True
Cl F Li V       ,0.22,0.551,32,40.3,9.75,0.127,True
Cl F Ga Li      ,0.2,0.602,32,40.3,3.5,0.145,True
Br Cl Li Nb     ,0.185,0.624,32,9.0,9.5,0.152,True
F Li Mo Se      ,0.212,0.576,32,54.6,8.25,0.155,True
B Br Li S       ,0.247,0.493,32,7.1,0.5,0.16,True
B Cl Li Se      ,0.244,0.495,32,10.2,1.0,0.169,True
Ba Li N Se      ,0.393,0.445,32,39.4,20.75,0.173,True
Cs Li O Se      ,0.64,0.408,32,46.0,20.0,0.202,True
F Li Se W       ,0.192,0.62,32,54.6,8.0,0.21,True
I Li S Sn       ,0.254,0.459,32,21.2,0.5,0.224,False
Br K Li S       ,0.529,0.436,32,7.1,19.0,0.228,True
Ca Cl Li Te     ,0.233,0.499,32,24.0,18.25,0.237,True
Cs Li N S       ,0.72,0.406,32,28.8,22.0,0.238,True
K Li N Te       ,0.598,0.418,32,56.8,22.0,0.238,True
Cl I Li Zn      ,0.369,0.458,32,23.4,4.0,0.435,True
Li N Te W       ,0.229,0.504,32,56.8,10.25,0.954,True
I Li Sb Se      ,0.213,0.571,32,12.0,1.75,0.998,False
Ce F Li N       ,0.229,0.548,33,10.9,16.25,0.124,True
Br Li Te V      ,0.186,0.679,33,13.7,8.5,0.155,True
B Cl Li Te      ,0.251,0.504,33,24.0,1.25,0.158,True
Li N Se V       ,0.253,0.502,33,39.4,10.75,0.158,True
F Li Te W       ,0.199,0.629,33,73.9,8.25,0.161,True
Ba Li N Te      ,0.4,0.454,33,56.8,21.0,0.162,True
Br Li O Sr      ,0.254,0.466,33,44.4,18.0,0.18,True
Br Ca Cl Li     ,0.226,0.557,33,9.0,18.75,0.224,True
F Li Mo Te      ,0.219,0.584,33,73.9,8.5,0.237,True
F Li Nb S       ,0.233,0.512,33,42.9,8.75,0.237,True
F K Li N        ,0.629,0.431,33,10.9,21.5,0.249,True
Ca Li N Se      ,0.303,0.462,33,39.4,20.25,0.258,True
Li Nb Se Te     ,0.195,0.643,33,12.5,9.5,0.266,False
I Li N Ti       ,0.552,0.445,33,56.1,10.5,0.28,True
Br Li S Y       ,0.582,0.444,33,7.1,16.25,0.293,True
Br Li N Ti      ,0.427,0.45,33,37.9,10.75,0.294,True
Li N Se Y       ,0.643,0.417,33,39.4,19.0,0.311,True
I Li Sb Te      ,0.22,0.579,33,0.5,2.0,0.371,False
Cl K Li Te      ,0.532,0.446,33,24.0,19.75,0.935,True
Br Li N W       ,0.223,0.562,33,37.9,9.25,0.946,True
Cl Li Se Y      ,0.579,0.446,34,10.2,16.75,0.105,True
I Li O Sr       ,0.391,0.462,34,63.5,17.75,0.128,True
F Ga Li Se      ,0.204,0.676,34,54.6,2.5,0.132,True
Ga Li N Se      ,0.233,0.553,34,39.4,4.5,0.133,True
F Li Mg Se      ,0.221,0.585,34,54.6,4.0,0.141,True
Br F Li W       ,0.193,0.685,34,52.9,8.75,0.148,True
Br Li Se Zn     ,0.234,0.54,34,1.1,3.25,0.16,True
Br I Li Sb      ,0.214,0.636,34,13.2,2.5,0.184,False
I Li N Sb       ,0.287,0.466,34,56.1,2.0,0.19,True
Cs Li O Te      ,0.646,0.417,34,64.3,20.25,0.192,True
Cl F Li Nb      ,0.23,0.58,34,40.3,10.0,0.193,True
Li N Se Zr      ,0.416,0.454,34,39.4,12.0,0.234,True
Br Li Nb Se     ,0.189,0.698,34,1.1,8.5,0.254,True
Br F Li Mo      ,0.213,0.641,34,52.9,9.0,0.261,True
Li Mg N Te      ,0.258,0.468,34,56.8,6.25,0.292,False
Br Li Mo N      ,0.243,0.517,34,37.9,9.5,0.434,True
Cl Li Te Y      ,0.585,0.454,35,24.0,17.0,0.064,True
F I Li P        ,0.235,0.56,35,73.1,2.5,0.074,True
Cl F K Li       ,0.564,0.459,35,40.3,20.75,0.09,True
Cl Li N Sr      ,0.348,0.466,35,26.5,20.0,0.122,True
Li S Se Ta      ,0.252,0.52,35,8.2,9.25,0.142,True
Li N Te V       ,0.261,0.51,35,56.8,11.0,0.147,True
F Li Mo N       ,0.287,0.471,35,10.9,10.0,0.161,True
Ga I Li O       ,0.275,0.472,35,63.5,1.75,0.175,True
B Li N Se       ,0.32,0.467,35,39.4,3.25,0.181,True
F Li Se V       ,0.224,0.626,35,54.6,8.75,0.195,True
Li N Te Zr      ,0.423,0.463,35,56.8,12.25,0.224,True
Br Li Nb Te     ,0.196,0.707,35,13.7,8.75,0.244,True
Br Li Mg N      ,0.251,0.526,35,37.9,5.25,0.279,True
Li N Te Y       ,0.649,0.426,35,56.8,19.25,0.302,True
F Ga Li Te      ,0.211,0.684,35,73.9,2.75,0.313,True
F Ge Li N       ,0.236,0.547,35,10.9,3.0,0.317,True
F Li Mg Te      ,0.228,0.594,35,73.9,4.25,0.318,True
I K Li S        ,0.647,0.431,35,21.2,18.75,0.485,True
F Gd Li N       ,0.221,0.641,35,10.9,17.5,0.509,True
Br Ga Li N      ,0.234,0.619,36,37.9,3.75,0.108,True
Cl Cs Li S      ,0.658,0.435,36,1.8,19.75,0.111,True
Br Li Te Zn     ,0.241,0.548,36,13.7,3.5,0.149,True
Li N S Sc       ,0.629,0.464,36,28.8,12.0,0.16,True
Ba F Li N       ,0.434,0.466,36,10.9,20.5,0.176,True
Cs F Li O       ,0.676,0.43,36,5.9,20.25,0.176,True
F Li N W        ,0.267,0.517,36,10.9,9.75,0.177,True
Br F Li Mg      ,0.222,0.65,36,52.9,4.75,0.199,True
I Li Mo S       ,0.309,0.471,36,21.2,7.25,0.225,False
F Li Se Zn      ,0.278,0.494,36,54.6,3.75,0.226,True
Ca Cl F Li      ,0.27,0.512,36,40.3,19.25,0.25,True
F Li Mg N       ,0.295,0.481,36,10.9,5.75,0.254,True
Cl I Li Sn      ,0.252,0.528,36,23.4,1.75,0.264,True
Br Ca Li Se     ,0.23,0.632,36,1.1,17.75,0.265,True
Ca Li Se Te     ,0.236,0.575,36,12.5,18.75,0.278,False
I Li Se Si      ,0.258,0.52,36,12.0,0.25,0.304,False
Br F Ga Li      ,0.205,0.74,36,52.9,3.25,0.311,True
Ga Li N Te      ,0.241,0.562,37,56.8,4.75,0.122,True
Li S Ta Te      ,0.259,0.528,37,21.8,9.5,0.131,True
Br F Li V       ,0.225,0.691,37,52.9,9.5,0.132,True
F Li Te V       ,0.231,0.635,37,73.9,9.0,0.162,True
Li S Se Sr      ,0.279,0.502,37,8.2,18.5,0.192,True
Ba I Li S       ,0.455,0.467,37,21.2,17.75,0.213,True
Ca Li N Te      ,0.31,0.471,37,56.8,20.5,0.248,True
F Li N Y        ,0.679,0.439,37,10.9,18.75,0.328,True
Ce I Li S       ,0.252,0.548,37,21.2,13.5,0.446,True
I Li Si Te      ,0.265,0.529,38,0.5,0.5,0.089,False
I Li Mg S       ,0.317,0.481,38,21.2,3.0,0.094,True
B Br Cl Li      ,0.245,0.562,38,9.0,1.75,0.144,True
Ba Br Li S      ,0.323,0.471,38,7.1,18.0,0.152,True
Ba Cl Li Se     ,0.32,0.473,38,10.2,18.5,0.161,True
F Li Te Zn      ,0.285,0.503,38,73.9,4.0,0.179,True
Li O Sc Se      ,0.546,0.467,38,46.0,10.0,0.204,True
I Li S Y        ,0.697,0.439,38,21.2,16.0,0.208,True
Ge I Li S       ,0.259,0.547,38,21.2,0.25,0.209,False
Al I Li Se      ,0.312,0.491,38,12.0,2.0,0.229,True
Li N Nb Se      ,0.263,0.531,38,39.4,11.0,0.246,True
Br Ca Li Te     ,0.237,0.641,38,13.7,18.0,0.255,False
F Li Nb Se      ,0.234,0.655,38,54.6,9.0,0.264,True
Cl Hf Li O      ,0.345,0.471,39,32.5,9.5,0.093,True
Br F Li Nb      ,0.235,0.719,39,52.9,9.75,0.099,False
Cl Li Se Ta     ,0.249,0.588,39,10.2,9.0,0.099,True
Br Li S Ta      ,0.253,0.586,39,7.1,8.5,0.116,True
Br Li N V       ,0.254,0.568,39,37.9,10.0,0.133,True
Cl F Li Y       ,0.616,0.467,39,40.3,18.0,0.133,True
B Li N Te       ,0.327,0.476,39,56.8,3.5,0.17,True
Li S Sr Te      ,0.286,0.511,39,21.8,18.75,0.181,True
B Br Li Se      ,0.248,0.637,39,1.1,0.75,0.189,True
Cl Li N Ta      ,0.322,0.483,39,26.5,10.75,0.207,True
Gd I Li S       ,0.244,0.642,39,21.2,14.75,0.208,True
Al I Li Te      ,0.319,0.499,39,0.5,2.25,0.219,False
Li N Nb Te      ,0.27,0.54,39,56.8,11.25,0.237,True
F Li Nb Te      ,0.241,0.663,39,73.9,9.25,0.254,True
Cl Li Se Sr     ,0.276,0.57,40,10.2,18.25,0.067,True
Ce Cl I Li      ,0.25,0.616,40,23.4,14.75,0.088,True
Br Cl Li Ti     ,0.355,0.478,40,9.0,10.0,0.11,True
Ba Cl Li Te     ,0.327,0.482,40,24.0,18.75,0.15,True
Br F Li Zn      ,0.279,0.561,40,52.9,4.5,0.165,True
B Cl F Li       ,0.288,0.517,40,40.3,2.25,0.172,True
B Li Se Te      ,0.254,0.58,40,12.5,1.75,0.202,False
Cl Gd I Li      ,0.241,0.707,40,23.4,16.0,0.213,True
Br Li S Zr      ,0.347,0.481,40,7.1,9.25,0.214,True
F Li N Zr       ,0.457,0.476,40,10.9,11.75,0.252,False
Cl I Li Ti      ,0.484,0.474,40,23.4,9.75,0.418,True
I K Li N        ,0.708,0.472,40,56.1,20.75,0.482,True
Cl Li Ta Te     ,0.257,0.596,41,24.0,9.25,0.048,True
Br Cl Li Ta     ,0.25,0.653,41,9.0,9.75,0.072,True
F I Li Sb       ,0.258,0.592,41,73.1,3.0,0.093,True
I Li O Ta       ,0.365,0.479,41,63.5,8.5,0.117,True
Cl Li Se Zr     ,0.344,0.483,41,10.2,9.75,0.124,True
