phases,cgcnn,mat2vec,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,leaf,Predicted_Order?
Cs I Li O       ,0.753,0.472,41,63.5,19.5,0.137,True
I Li Se Sn      ,0.255,0.604,41,12.0,0.75,0.15,False
Br Li S Sr      ,0.28,0.568,41,7.1,17.75,0.168,True
F Ga Li N       ,0.278,0.574,41,10.9,4.25,0.175,True
Br I Li Si      ,0.259,0.586,41,13.2,1.0,0.203,True
I Li S Zr       ,0.477,0.476,41,21.2,9.0,0.226,True
Gd I Li Se      ,0.245,0.78,41,12.0,15.0,0.235,True
I Li S W        ,0.29,0.517,41,21.2,7.0,0.255,False
I Li N Sn       ,0.328,0.5,41,56.1,2.5,0.284,True
Cl Li Sr Te     ,0.283,0.579,42,24.0,18.5,0.06,True
I Li Sn Te      ,0.262,0.612,42,0.5,1.0,0.075,False
B Br Li Te      ,0.255,0.645,42,13.7,1.0,0.178,True
Cl Ge I Li      ,0.257,0.615,42,23.4,1.5,0.183,False
Li O Sc Te      ,0.552,0.476,42,64.3,10.25,0.194,True
Br Gd I Li      ,0.246,0.842,42,13.2,15.75,0.212,True
Br Li N Nb      ,0.264,0.597,42,37.9,10.25,0.224,True
Gd I Li Te      ,0.252,0.788,42,0.5,15.25,0.225,True
Ce I Li Se      ,0.253,0.69,42,12.0,13.75,0.238,True
Ca F Li N       ,0.346,0.483,42,10.9,20.0,0.261,True
Ca F Li Se      ,0.274,0.588,42,54.6,18.25,0.29,True
F Li N V        ,0.298,0.523,42,10.9,10.5,0.332,True
F Li S Ta       ,0.296,0.541,42,42.9,9.0,0.346,True
Cl Li Te Zr     ,0.35,0.491,43,24.0,10.0,0.084,False
Br Li Se Ta     ,0.254,0.726,43,1.1,8.75,0.146,True
Br Cs Li O      ,0.641,0.476,43,44.4,19.75,0.151,True
I Li S V        ,0.32,0.523,43,21.2,7.75,0.161,True
B F Li N        ,0.363,0.489,43,10.9,3.0,0.184,True
Br Cl Li Sr     ,0.277,0.636,43,9.0,19.0,0.199,True
Ga I Li S       ,0.301,0.575,43,21.2,1.5,0.203,True
Br K Li N       ,0.592,0.477,43,37.9,21.0,0.225,True
Br Ca Li N      ,0.303,0.529,43,37.9,19.5,0.236,True
Br Ca F Li      ,0.275,0.653,43,52.9,19.0,0.268,True
Ca F Li Te      ,0.281,0.596,43,73.9,18.5,0.28,True
Ca I Li S       ,0.367,0.484,43,21.2,17.25,0.295,True
I In Li Se      ,0.31,0.528,43,12.0,1.5,0.361,False
Cl I Li W       ,0.287,0.585,43,23.4,8.25,0.421,True
Br I Li Sn      ,0.256,0.668,43,13.2,1.5,0.985,False
Br Ce I Li      ,0.254,0.753,44,13.2,14.5,0.094,True
B Br Li N       ,0.321,0.534,44,37.9,2.5,0.157,True
Li Se Ta Te     ,0.26,0.671,44,12.5,9.75,0.16,False
Ba Cl F Li      ,0.363,0.495,44,40.3,19.75,0.164,True
F Li O Sc       ,0.584,0.488,44,5.9,10.25,0.173,True
F Li S Sr       ,0.323,0.523,44,42.9,18.25,0.174,True
Cl I Li Mo      ,0.306,0.54,44,23.4,8.5,0.206,True
Li Se Sr Te     ,0.287,0.654,44,12.5,19.0,0.209,True
B F Li Se       ,0.292,0.593,44,54.6,1.25,0.215,True
B I Li S        ,0.384,0.489,44,21.2,0.25,0.221,True
Cl Cs Li N      ,0.718,0.476,44,26.5,21.75,0.226,True
Al F I Li       ,0.355,0.512,44,73.1,3.25,0.232,True
F I Li Si       ,0.303,0.541,44,73.1,1.5,0.251,True
Br Li N Y       ,0.644,0.485,44,37.9,18.25,0.29,True
I In Li Te      ,0.317,0.537,44,0.5,1.75,0.352,False
Cl I Li Mg      ,0.315,0.55,45,23.4,4.25,0.027,True
Cl F Li Ta      ,0.294,0.609,45,40.3,10.25,0.11,True
Ba Br Cl Li     ,0.321,0.54,45,9.0,19.25,0.136,True
B Br F Li       ,0.293,0.658,45,52.9,2.0,0.192,True
Ge I Li Se      ,0.26,0.689,45,12.0,0.5,0.199,False
B F Li Te       ,0.299,0.601,45,73.9,1.5,0.205,True
I Li N Y        ,0.756,0.48,45,56.1,18.0,0.24,True
F Li N Nb       ,0.307,0.552,45,10.9,10.75,0.252,True
Li Se Te Ti     ,0.364,0.497,45,12.5,10.0,0.334,False
Cl Li S Sc      ,0.565,0.493,45,1.8,9.75,0.953,True
I Li Se W       ,0.291,0.66,45,12.0,7.25,0.993,False
Cl I K Li       ,0.645,0.501,46,23.4,20.0,0.039,True
Br Cl Li Zr     ,0.344,0.549,46,9.0,10.5,0.057,True
Ge I Li Te      ,0.267,0.697,46,0.5,0.75,0.123,False
I Li Mo Se      ,0.31,0.616,46,12.0,7.5,0.176,False
F Li Se Ta      ,0.297,0.683,46,54.6,9.25,0.177,True
Li N Se Sr      ,0.351,0.543,46,39.4,20.5,0.189,True
I Li Nb S       ,0.33,0.553,46,21.2,8.0,0.192,True
Al Br I Li      ,0.313,0.557,46,13.2,2.75,0.206,True
I Li Se Zn      ,0.372,0.535,46,12.0,3.0,0.21,False
Ce I Li Te      ,0.261,0.698,46,0.5,14.0,0.222,True
F I Li Sn       ,0.299,0.624,46,73.1,2.0,0.265,True
Cl F Li Zr      ,0.386,0.504,46,40.3,11.0,0.271,True
Br I In Li      ,0.311,0.594,46,13.2,2.25,0.273,False
Hf Li O Se      ,0.348,0.548,46,46.0,9.5,0.282,True
I Li Mo N       ,0.38,0.512,46,56.1,9.25,0.286,True
Cl Ga I Li      ,0.298,0.642,46,23.4,2.75,0.323,True
I Li Te Zn      ,0.379,0.544,47,0.5,3.25,0.099,False
I Li Te W       ,0.298,0.668,47,0.5,7.5,0.112,False
F I In Li       ,0.353,0.55,47,73.1,2.75,0.126,True
Br Li Ta Te     ,0.261,0.734,47,13.7,9.0,0.135,True
Li N Se Ta      ,0.326,0.56,47,39.4,11.25,0.138,True
Ba Br Li N      ,0.394,0.512,47,37.9,20.0,0.148,True
Br Cl K Li      ,0.527,0.505,47,9.0,20.25,0.152,True
Ba Li Se Te     ,0.33,0.559,47,12.5,19.25,0.194,True
Br Li Se Sr     ,0.281,0.71,47,1.1,18.0,0.196,True
Ba I Li N       ,0.521,0.508,47,56.1,19.75,0.21,True
F Li Se Ti      ,0.399,0.51,47,54.6,9.5,0.257,True
I Li Mg N       ,0.388,0.522,47,56.1,5.0,0.281,True
I Li Mo Te      ,0.317,0.624,47,0.5,7.75,0.348,False
Cl I Li V       ,0.318,0.591,47,23.4,9.0,0.431,True
Br Cl Li Y      ,0.579,0.513,48,9.0,17.5,0.036,True
Li O Rb S       ,0.824,0.508,48,34.9,19.5,0.037,True
Cl F Li Sr      ,0.32,0.591,48,40.3,19.5,0.093,True
Li N Ta Te      ,0.332,0.569,48,56.8,11.5,0.127,True
F Li Ta Te      ,0.304,0.691,48,73.9,9.5,0.144,True
I Li N Zr       ,0.542,0.517,48,56.1,11.0,0.144,True
Ce F I Li       ,0.298,0.71,48,73.1,15.0,0.148,True
F Li Te Ti      ,0.406,0.518,48,73.9,9.75,0.173,False
Li N Sr Te      ,0.358,0.551,48,56.8,20.75,0.178,True
Br Ge I Li      ,0.261,0.753,48,13.2,1.25,0.185,False
Br Li Sr Te     ,0.288,0.718,48,13.7,18.25,0.186,True
I Li Mg Se      ,0.318,0.625,48,12.0,3.25,0.204,True
Cs Li S Se      ,0.661,0.512,48,8.2,20.25,0.212,True
Br I Li Mo      ,0.311,0.68,48,13.2,8.25,0.232,False
Ce I Li N       ,0.326,0.589,48,56.1,15.5,0.239,True
Li Se Te Zr     ,0.354,0.568,48,12.5,10.5,0.254,False
Hf Li O Te      ,0.355,0.557,48,64.3,9.75,0.296,True
Cl I Li Y       ,0.695,0.509,48,23.4,17.25,0.444,True
Br I Li W       ,0.292,0.724,49,13.2,8.0,0.097,False
Ba Br Li Se     ,0.324,0.616,49,1.1,18.25,0.181,True
Ga I Li Se      ,0.302,0.715,49,12.0,1.75,0.193,False
Ge I Li N       ,0.333,0.588,49,56.1,2.25,0.193,True
Gd I Li N       ,0.318,0.681,49,56.1,16.75,0.205,True
Br Li N Zr      ,0.417,0.521,49,37.9,11.25,0.211,False
I Li Se V       ,0.321,0.666,49,12.0,8.0,0.216,True
F Ge I Li       ,0.305,0.71,49,73.1,1.75,0.258,True
Ca Cl I Li      ,0.365,0.553,49,23.4,18.5,0.281,True
Br Li Se Ti     ,0.358,0.555,49,1.1,9.0,0.322,True
F Gd I Li       ,0.29,0.8,49,73.1,16.25,0.364,True
Br Li N Ta      ,0.326,0.625,50,37.9,10.5,0.113,True
Ga I Li Te      ,0.309,0.723,50,0.5,2.0,0.116,False
Cs Li S Te      ,0.667,0.521,50,21.8,20.5,0.143,True
Br Li N Sr      ,0.352,0.608,50,37.9,19.75,0.164,True
B Cl I Li       ,0.382,0.557,50,23.4,1.5,0.206,True
Br I Li Mg      ,0.319,0.69,50,13.2,4.0,0.211,True
I Li N W        ,0.362,0.558,50,56.1,9.0,0.219,True
Cl I Li Nb      ,0.327,0.62,50,23.4,9.25,0.221,True
I Li Mg Te      ,0.325,0.634,50,0.5,3.5,0.225,False
Br F Li Ta      ,0.298,0.746,50,52.9,10.0,0.244,True
K Li Se Te      ,0.535,0.524,50,12.5,20.25,0.267,True
Br Hf Li O      ,0.349,0.614,50,44.4,9.25,0.289,True
Ca I Li N       ,0.437,0.525,50,56.1,19.25,0.292,True
F I Li Zn       ,0.414,0.556,50,73.1,4.25,0.332,True
F Li Se Sr      ,0.324,0.666,50,54.6,18.5,0.333,True
Br I Li V       ,0.322,0.73,51,13.2,8.75,0.08,True
Hf Li N S       ,0.441,0.546,51,28.8,11.5,0.112,True
I Li Te V       ,0.328,0.674,51,0.5,8.25,0.123,False
Ba Br Li Te     ,0.331,0.624,51,13.7,18.5,0.17,True
Br Ga I Li      ,0.303,0.778,51,13.2,2.5,0.179,False
B I Li N        ,0.453,0.53,51,56.1,2.25,0.218,True
I Li O Sc       ,0.664,0.529,51,63.5,9.5,0.283,True
Br Li Te Ti     ,0.365,0.564,51,13.7,9.25,0.313,False
I Li N V        ,0.391,0.564,52,56.1,9.75,0.111,True
F Li Sr Te      ,0.331,0.674,52,73.9,18.75,0.146,True
Br F Li Sr      ,0.324,0.73,52,52.9,19.25,0.163,True
Br Li O Sc      ,0.546,0.534,52,44.4,9.75,0.18,True
Ba Cl I Li      ,0.453,0.536,52,23.4,19.0,0.198,True
Ba F Li Se      ,0.366,0.571,52,54.6,18.75,0.208,True
Br Li Se Zr     ,0.348,0.625,52,1.1,9.5,0.242,True
Li Se Te Y      ,0.588,0.532,52,12.5,17.5,0.33,True
I Li Nb Se      ,0.33,0.694,52,12.0,8.25,0.361,True
Cl Hf Li S      ,0.37,0.574,53,1.8,9.25,0.082,True
F Li N Ta       ,0.368,0.581,53,10.9,11.0,0.108,True
Cl Li N Sc      ,0.627,0.533,53,26.5,11.75,0.129,True
F I Li Mo       ,0.353,0.637,53,73.1,8.75,0.132,True
F K Li Se       ,0.567,0.536,53,54.6,19.75,0.17,True
Cl I Li Zr      ,0.475,0.545,53,23.4,10.25,0.204,True
Br Li Te Zr     ,0.355,0.633,53,13.7,9.75,0.232,True
F Li N Sr       ,0.394,0.564,53,10.9,20.25,0.268,True
Br I Li Nb      ,0.331,0.757,53,13.2,9.0,0.292,True
F I Li W        ,0.334,0.681,53,73.1,8.5,0.318,True
F Hf Li O       ,0.391,0.569,53,5.9,9.75,0.373,True
F I Li Mg       ,0.361,0.646,54,73.1,4.5,0.143,True
Cs F Li S       ,0.697,0.534,54,42.9,20.0,0.164,True
Ba Br F Li      ,0.367,0.636,54,52.9,19.5,0.184,True
F K Li Te       ,0.573,0.545,54,73.9,20.0,0.192,True
Ba F Li Te      ,0.373,0.58,54,73.9,19.0,0.197,True
F Li Se Y       ,0.619,0.544,54,54.6,17.0,0.198,True
Br F Li Ti      ,0.4,0.576,54,52.9,10.25,0.202,True
I Li Nb Te      ,0.337,0.702,54,0.5,8.5,0.211,False
I Li S Sr       ,0.415,0.564,54,21.2,17.5,0.255,True
Ca I Li Se      ,0.368,0.628,54,12.0,17.5,0.32,True
I Li Se Ti      ,0.487,0.551,54,12.0,8.75,0.366,True
Li N O Rb       ,0.879,0.548,55,4.8,21.5,0.033,True
I Li Te Ti      ,0.494,0.559,55,0.5,9.0,0.092,False
Br I Li Zn      ,0.373,0.601,55,13.2,3.75,0.115,True
F Ga I Li       ,0.345,0.735,55,73.1,3.0,0.146,True
F Li Te Y       ,0.625,0.553,55,73.9,17.25,0.15,True
F Li Se Zr      ,0.389,0.58,55,54.6,10.0,0.215,True
F I Li V        ,0.364,0.686,55,73.1,9.25,0.304,True
Cs Li N Se      ,0.721,0.553,56,39.4,22.25,0.171,True
Ga I Li N       ,0.373,0.614,56,56.1,3.5,0.187,True
Li S Sc Se      ,0.568,0.569,56,8.2,10.25,0.192,True
I Li S Ta       ,0.39,0.582,56,21.2,8.25,0.245,True
F I Li Ti       ,0.527,0.572,56,73.1,10.0,0.27,False
Br Ca I Li      ,0.369,0.692,56,13.2,18.25,0.299,True
Cl Hf Li Se     ,0.37,0.714,57,10.2,9.5,0.001,True
F Li Te Zr      ,0.396,0.589,57,73.9,10.25,0.172,True
Li S Sc Te      ,0.574,0.578,57,21.8,10.5,0.181,False
Cs Li N Te      ,0.726,0.561,57,56.8,22.5,0.186,True
B I Li Se       ,0.385,0.633,57,12.0,0.5,0.248,True
Br K Li Se      ,0.53,0.581,57,1.1,19.25,0.255,True
Hf Li S Se      ,0.373,0.649,57,8.2,9.75,0.285,True
Ca I Li Te      ,0.375,0.636,57,0.5,17.75,0.311,True
I K Li Se       ,0.648,0.577,57,12.0,19.0,0.507,True
Br Cl Hf Li     ,0.371,0.777,58,9.0,10.25,0.009,True
F I Li Nb       ,0.373,0.715,58,73.1,9.5,0.057,True
Br Cs Li S      ,0.662,0.579,58,7.1,19.5,0.118,True
Cl Cs Li Se     ,0.659,0.581,58,10.2,20.0,0.128,True
Br F Li Zr      ,0.39,0.645,58,52.9,10.75,0.154,True
Cs F Li N       ,0.756,0.574,58,10.9,22.0,0.16,True
I Li N Nb       ,0.4,0.593,58,56.1,10.0,0.196,True
B I Li Te       ,0.392,0.641,58,0.5,0.75,0.238,True
Br K Li Te      ,0.536,0.59,58,13.7,19.5,0.245,True
Cl I Li Ta      ,0.387,0.648,58,23.4,9.5,0.281,True
Hf Li S Te      ,0.38,0.657,58,21.8,10.0,0.31,True
Br Li Se Y      ,0.582,0.589,58,1.1,16.5,0.318,True
Br Hf Li S      ,0.374,0.713,58,7.1,9.0,0.34,True
I K Li Te       ,0.654,0.586,58,0.5,19.25,0.499,True
Cl Hf Li Te     ,0.377,0.723,59,24.0,9.75,0.02,True
Cl Hf Li N      ,0.439,0.613,59,26.5,11.25,0.061,True
Cl Cs Li Te     ,0.665,0.589,59,24.0,20.25,0.115,True
Cs I Li S       ,0.773,0.574,59,21.2,19.25,0.153,True
Hf I Li O       ,0.479,0.61,59,63.5,9.0,0.162,True
Br F K Li       ,0.568,0.602,59,52.9,20.5,0.177,True
B Br I Li       ,0.386,0.697,59,13.2,1.25,0.225,True
Ba I Li Se      ,0.456,0.612,59,12.0,18.0,0.24,True
F Li S Sc       ,0.605,0.59,59,42.9,10.0,0.283,True
Cl I Li Sr      ,0.412,0.631,59,23.4,18.75,0.29,True
Br Li Te Y      ,0.588,0.598,59,13.7,16.75,0.309,True
I Li N Sr       ,0.482,0.604,59,56.1,19.5,0.309,True
Ca F I Li       ,0.41,0.649,59,73.1,18.75,0.323,True
I Li Se Y       ,0.698,0.585,59,12.0,16.25,0.362,True
Br Hf Li Se     ,0.375,0.849,59,1.1,9.25,0.488,True
I Li Te Y       ,0.704,0.593,60,0.5,16.5,0.11,True
F I K Li        ,0.684,0.598,60,73.1,20.25,0.113,True
Br F Li Y       ,0.62,0.61,60,52.9,17.75,0.136,True
Cl Li O Rb      ,0.822,0.576,60,32.5,19.75,0.147,True
Li N Sc Se      ,0.63,0.609,60,39.4,12.25,0.189,True
I Li Se Ta      ,0.39,0.722,60,12.0,8.5,0.197,True
F Hf Li S       ,0.414,0.669,60,42.9,9.5,0.224,True
Ba I Li Te      ,0.462,0.62,60,0.5,18.25,0.23,True
B F I Li        ,0.426,0.653,60,73.1,1.75,0.251,True
Br I Li Ti      ,0.488,0.616,60,13.2,9.5,0.276,True
I Li N Ta       ,0.458,0.621,60,56.1,10.25,0.3,True
Hf Li Se Te     ,0.381,0.795,60,12.5,10.25,0.301,True
I Li Ta Te      ,0.397,0.73,61,0.5,8.75,0.095,True
Hf Li N Se      ,0.442,0.688,61,39.4,11.75,0.099,True
Li N Sc Te      ,0.636,0.618,61,56.8,12.5,0.178,True
Br I Li Ta      ,0.391,0.785,61,13.2,9.25,0.197,True
Ba Br I Li      ,0.457,0.676,61,13.2,18.75,0.217,True
I Li Se Sr      ,0.415,0.705,61,12.0,17.75,0.245,True
Br Hf Li Te     ,0.381,0.857,61,13.7,9.5,0.288,True
I Li Se Zr      ,0.478,0.621,61,12.0,9.25,0.288,True
Cl Cs F Li      ,0.695,0.601,61,40.3,21.25,0.303,True
Cl F Hf Li      ,0.412,0.735,62,40.3,10.75,0.086,True
Br I Li Zr      ,0.479,0.685,62,13.2,10.0,0.103,True
I Li Sr Te      ,0.422,0.714,62,0.5,18.0,0.107,True
Hf Li N Te      ,0.448,0.696,62,56.8,12.0,0.129,True
I Li Te Zr      ,0.484,0.629,62,0.5,9.5,0.129,True
Br Cs Li N      ,0.721,0.618,62,37.9,21.5,0.179,True
F I Li Y        ,0.733,0.606,62,73.1,17.5,0.307,True
F Li N Sc       ,0.667,0.63,63,10.9,12.0,0.073,True
Cs I Li N       ,0.83,0.614,63,56.1,21.25,0.206,True
Ba F I Li       ,0.496,0.632,63,73.1,19.25,0.243,True
F I Li Sr       ,0.456,0.726,63,73.1,19.0,0.254,True
F I Li Ta       ,0.432,0.742,63,73.1,9.75,0.28,True
F Hf Li Se      ,0.415,0.807,63,54.6,9.75,0.301,True
Br I Li Sr      ,0.416,0.768,63,13.2,18.5,0.35,True
F Hf Li N       ,0.482,0.708,63,10.9,11.5,1.0,True
Br Hf Li N      ,0.443,0.751,64,37.9,11.0,0.103,True
F Hf Li Te      ,0.422,0.815,64,73.9,10.0,0.11,True
Hf I Li S       ,0.502,0.708,64,21.2,8.75,0.149,True
Br Li S Sc      ,0.568,0.634,64,7.1,9.5,0.168,True
Cl Li Sc Se     ,0.565,0.636,64,10.2,10.0,0.212,True
Br F Hf Li      ,0.416,0.868,64,52.9,10.5,0.241,True
I Li S Sc       ,0.685,0.63,64,21.2,9.25,0.272,True
F I Li Zr       ,0.517,0.641,64,73.1,10.5,0.323,True
Cl Hf I Li      ,0.5,0.773,65,23.4,10.0,0.075,True
Br I K Li       ,0.649,0.642,65,13.2,19.75,0.102,True
Cl Li Sc Te     ,0.572,0.645,65,24.0,10.25,0.138,True
Cl Cs I Li      ,0.771,0.641,65,23.4,20.5,0.142,True
Br Cl Li Sc     ,0.566,0.7,65,9.0,10.75,0.939,True
Hf I Li N       ,0.567,0.747,66,56.1,10.75,0.146,True
Cl F Li Sc      ,0.603,0.657,66,40.3,11.25,0.155,True
Hf I Li Se      ,0.503,0.845,66,12.0,9.0,0.178,True
Li Sc Se Te     ,0.574,0.718,66,12.5,10.75,0.21,False
Br Cl Cs Li     ,0.66,0.646,66,9.0,20.75,0.268,True
Li N Rb S       ,0.898,0.649,67,28.8,21.75,0.019,True
Br I Li Y       ,0.699,0.65,67,13.2,17.0,0.084,True
Br Hf I Li      ,0.504,0.906,67,13.2,9.75,0.154,True
Cs Li Se Te     ,0.668,0.664,67,12.5,20.75,0.159,True
F Li Sc Se      ,0.606,0.73,67,54.6,10.25,0.163,True
Br Li N Sc      ,0.631,0.674,67,37.9,11.5,0.165,True
Hf I Li Te      ,0.509,0.853,67,0.5,9.25,0.168,True
Br Li Sc Se     ,0.569,0.773,67,1.1,9.75,0.196,True
Br Cs Li Se     ,0.663,0.719,68,1.1,19.75,0.066,True
Li O Rb Se      ,0.824,0.651,68,46.0,19.75,0.07,True
Br Li Sc Te     ,0.575,0.781,68,13.7,10.0,0.186,True
Cs F Li Se      ,0.698,0.676,68,54.6,20.25,0.192,True
F Hf I Li       ,0.542,0.864,68,73.1,10.25,0.229,True
Cl I Li Sc      ,0.683,0.696,68,23.4,10.5,0.261,True
I Li N Sc       ,0.744,0.67,68,56.1,11.25,0.269,True
F Li Sc Te      ,0.612,0.739,68,73.9,10.5,0.337,True
Li O Rb Te      ,0.83,0.659,69,64.3,20.0,0.058,True
Br F Li Sc      ,0.607,0.793,69,52.9,11.0,0.169,True
Cs F Li Te      ,0.703,0.684,69,73.9,20.5,0.182,True
Br Cs Li Te     ,0.668,0.727,69,13.7,20.0,0.258,True
F Li O Rb       ,0.858,0.672,70,5.9,20.0,0.091,True
Cs I Li Se      ,0.774,0.715,70,12.0,19.5,0.14,True
Br Cs F Li      ,0.698,0.739,70,52.9,21.0,0.168,True
Cl Li Rb S      ,0.841,0.676,70,1.8,19.5,0.176,True
I Li Sc Se      ,0.686,0.769,70,12.0,9.5,0.221,True
Br Li O Rb      ,0.825,0.715,71,44.4,19.5,0.042,True
Cs I Li Te      ,0.78,0.723,71,0.5,19.75,0.169,True
I Li Sc Te      ,0.691,0.777,71,0.5,9.75,0.298,True
Br I Li Sc      ,0.686,0.831,71,13.2,10.25,0.354,True
I Li O Rb       ,0.929,0.711,71,63.5,19.25,0.357,True
F I Li Sc       ,0.721,0.789,72,73.1,10.75,0.081,True
Cl Li N Rb      ,0.896,0.715,72,26.5,21.5,0.108,True
Br Cs I Li      ,0.775,0.778,72,13.2,20.25,0.145,True
Cs F I Li       ,0.808,0.735,72,73.1,20.75,0.228,True
Li Rb S Se      ,0.844,0.749,73,8.2,20.0,0.056,True
Cl Li Rb Se     ,0.842,0.813,73,10.2,19.75,0.125,True
Br Li Rb S      ,0.844,0.811,74,7.1,19.25,0.028,True
Li Rb S Te      ,0.849,0.757,74,21.8,20.25,0.044,True
Br Cl Li Rb     ,0.842,0.875,74,9.0,20.5,0.283,True
Br Li Rb Se     ,0.845,0.944,75,1.1,19.5,0.061,True
F Li Rb S       ,0.877,0.769,75,42.9,19.75,0.201,True
Cl Li Rb Te     ,0.847,0.821,75,24.0,20.0,0.305,True
Li N Rb Se      ,0.899,0.787,76,39.4,22.0,0.052,True
Li Rb Se Te     ,0.85,0.892,76,12.5,20.5,0.076,True
Cl F Li Rb      ,0.875,0.833,76,40.3,21.0,0.138,True
Br Li N Rb      ,0.899,0.849,77,37.9,21.25,0.024,True
Li N Rb Te      ,0.904,0.795,77,56.8,22.25,0.04,True
Br Li Rb Te     ,0.85,0.952,77,13.7,19.75,0.049,True
F Li Rb Se      ,0.877,0.903,77,54.6,20.0,0.191,True
Br F Li Rb      ,0.878,0.963,78,52.9,20.75,0.149,True
F Li Rb Te      ,0.883,0.911,78,73.9,20.25,0.223,True
F Li N Rb       ,0.931,0.807,78,10.9,21.75,0.269,True
Cl I Li Rb      ,0.945,0.871,79,23.4,20.25,0.236,True
I Li Rb S       ,0.947,0.807,79,21.2,19.0,0.983,True
I Li N Rb       ,1.0,0.845,80,56.1,21.0,0.344,True
I Li Rb Se      ,0.948,0.94,80,12.0,19.25,0.347,True
I Li Rb Te      ,0.953,0.948,81,0.5,19.5,0.193,True
Br I Li Rb      ,0.949,1.0,81,13.2,20.0,0.232,True
F I Li Rb       ,0.98,0.959,82,73.1,20.5,0.061,True
