phases,cgcnn,mat2vec,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,leaf,Predicted_Order?,pareto_cgcnn_mat2vec_distance from LSSI,distance_from_LiTa2PO8
Li N P S        ,0.115,0.215,6,28.8,3.25,0.203,True,3,10.5
Br Cl Li P      ,0.029,0.466,6,9.0,2.5,0.099,True,1,9.75
Li P S Se       ,0.031,0.327,6,8.2,2.0,0.234,False,4,8.75
Cl Li S Sb      ,0.054,0.279,6,1.8,2.0,0.146,True,5,9.08
Cl Li S Si      ,0.104,0.224,6,1.8,0.5,0.3,False,1,10.25
Cl Li P Te      ,0.037,0.407,7,24.0,2.0,0.074,False,4,9.75
Li P S Te       ,0.04,0.336,7,21.8,2.25,0.224,False,5,9.0
Br Li P Se      ,0.033,0.543,7,1.1,1.5,0.238,False,5,9.25
Li N S Sb       ,0.14,0.249,8,28.8,2.75,0.137,True,1,10.0
Cl Li N P       ,0.112,0.288,8,26.5,3.0,0.16,True,4,11.25
Li P Se Te      ,0.041,0.485,8,12.5,2.5,0.251,False,6,9.25
Cl Li Sb Se     ,0.055,0.431,8,10.2,2.25,0.291,False,5,9.33
Li S Sb Se      ,0.058,0.36,8,8.2,2.5,0.17,False,6,8.58
F Li P S        ,0.082,0.349,9,42.9,1.75,0.317,True,3,9.5
Al Li N S       ,0.244,0.162,9,28.8,4.5,0.132,True,6,13.25
Li S Sb Te      ,0.066,0.369,9,21.8,2.75,0.159,False,7,8.83
Br Li P Te      ,0.042,0.552,9,13.7,1.75,0.228,False,2,9.5
Br Cl Li Sb     ,0.056,0.499,9,9.0,3.0,0.12,True,7,9.58
Li S Se Si      ,0.108,0.307,9,8.2,1.0,0.254,False,6,9.75
Br Li S Sb      ,0.059,0.429,9,7.1,1.75,0.145,False,7,8.83
Al Cl Li S      ,0.163,0.192,9,1.8,2.25,0.119,True,6,12.0
Cl Li S Sn      ,0.1,0.315,9,1.8,1.0,0.139,True,4,10.75
Li N S Si       ,0.187,0.194,10,28.8,2.75,0.224,False,0,11.5
Cl Li Sb Te     ,0.063,0.44,10,24.0,2.5,0.128,False,8,9.58
Li S Si Te      ,0.116,0.316,10,21.8,1.25,0.244,False,5,10.0
Cl Li Se Si     ,0.105,0.378,10,10.2,0.75,0.064,True,3,10.5
Br Li S Si      ,0.109,0.376,10,7.1,0.25,0.232,True,4,10.0
Cl In Li S      ,0.16,0.233,10,1.8,1.75,0.121,True,8,11.5
Br Li Sb Se     ,0.06,0.575,10,1.1,2.0,0.174,False,4,9.08
F Li S Sb       ,0.108,0.382,11,42.9,2.25,0.212,True,6,9.33
Cl F Li P       ,0.079,0.42,11,40.3,3.0,0.122,True,4,10.25
Li N P Se       ,0.116,0.369,11,39.4,3.5,0.231,True,6,10.75
Cl Li N Sb      ,0.137,0.322,11,26.5,2.5,0.29,True,6,10.75
Cl Li N Si      ,0.184,0.268,11,26.5,2.5,0.944,True,6,12.25
Al Li S Se      ,0.167,0.275,11,8.2,2.75,0.165,False,4,11.5
Li N P Te       ,0.123,0.378,12,56.8,3.75,0.221,False,8,11.0
In Li N S       ,0.241,0.203,12,28.8,4.0,0.02,True,9,12.75
Cl Li Si Te     ,0.113,0.387,12,24.0,1.0,0.041,True,9,10.75
Al Li S Te      ,0.175,0.284,12,21.8,3.0,0.154,False,8,11.75
Li Sb Se Te     ,0.067,0.518,12,12.5,3.0,0.188,False,7,9.08
Li S Se Sn      ,0.104,0.395,12,8.2,1.5,0.091,False,7,10.25
Ce Cl Li S      ,0.099,0.408,12,1.8,14.0,0.012,True,8,23.75
F Li P Se       ,0.083,0.498,13,54.6,2.0,0.158,True,5,9.75
Cl F Li Sb      ,0.105,0.453,13,40.3,3.5,0.126,True,9,10.08
Li N S Sn       ,0.184,0.285,13,28.8,3.25,0.056,True,8,12.0
Al Cl Li N      ,0.241,0.236,13,26.5,4.25,0.115,True,9,14.0
Li S Sn Te      ,0.112,0.404,13,21.8,1.75,0.08,False,6,10.5
Br Li Sb Te     ,0.068,0.584,13,13.7,2.25,0.164,False,10,9.33
Cl Li Se Sn     ,0.101,0.465,13,10.2,1.25,0.081,True,9,11.0
In Li S Se      ,0.164,0.315,13,8.2,2.25,0.057,False,4,11.0
Cl Li S W       ,0.14,0.376,13,1.8,7.5,0.114,True,9,17.25
Cl Li S Zn      ,0.228,0.241,13,1.8,3.25,0.135,True,6,13.0
Cl Ge Li S      ,0.106,0.407,13,1.8,0.75,0.177,True,9,10.5
Br F Li P       ,0.084,0.565,14,52.9,2.75,0.199,True,8,10.0
F Li S Si       ,0.156,0.329,14,42.9,0.75,0.125,True,7,10.5
Li N Sb Se      ,0.141,0.402,14,39.4,3.0,0.167,True,8,10.25
Li N S Zn       ,0.306,0.21,14,28.8,5.5,0.122,True,8,14.25
In Li S Te      ,0.172,0.324,14,21.8,2.5,0.045,False,5,11.25
Br Cl Li Si     ,0.106,0.447,14,9.0,1.5,0.279,True,10,10.75
Ce Li S Se      ,0.102,0.486,14,8.2,14.5,0.307,True,9,23.25
Br Li S Sn      ,0.105,0.463,14,7.1,0.75,0.064,True,0,10.5
Cl Li Mo S      ,0.16,0.328,14,1.8,7.75,0.137,True,9,17.5
Cl Gd Li S      ,0.089,0.504,14,1.8,15.25,0.213,True,7,25.0
F Li P Te       ,0.091,0.507,15,73.9,2.25,0.24,True,9,10.0
Li N Sb Te      ,0.149,0.411,15,56.8,3.25,0.156,False,6,10.5
Al F Li S       ,0.214,0.298,15,42.9,2.5,0.168,True,9,12.25
Cl F Li Si      ,0.154,0.4,15,40.3,2.0,0.144,True,9,11.25
Br Li N P       ,0.117,0.438,15,37.9,2.75,0.208,True,7,11.0
Cl In Li N      ,0.238,0.277,15,26.5,3.75,0.188,True,7,13.5
Cl Li Sn Te     ,0.109,0.474,15,24.0,1.5,0.027,True,7,11.25
Al Cl Li Se     ,0.164,0.348,15,10.2,2.5,0.149,True,7,12.25
Cl Gd Li Se     ,0.09,0.648,15,10.2,15.5,0.164,True,10,25.25
Al Br Li S      ,0.168,0.346,15,7.1,2.0,0.14,True,10,11.75
Cl Li Mg S      ,0.169,0.338,15,1.8,3.5,0.219,True,11,13.25
F Li Sb Se      ,0.109,0.53,16,54.6,2.5,0.114,True,11,9.58
F Li S Sn       ,0.153,0.417,16,42.9,1.25,0.223,True,10,11.0
F In Li S       ,0.211,0.338,16,42.9,2.0,0.458,True,10,11.75
Li N Se Si      ,0.188,0.349,16,39.4,3.0,0.251,False,8,11.75
Li N S Ti       ,0.425,0.227,16,28.8,11.25,0.29,False,7,20.0
Li Mo N S       ,0.241,0.298,16,28.8,10.0,0.431,False,11,18.75
Al Cl Li Te     ,0.172,0.357,16,24.0,2.75,0.138,True,9,12.5
Li Se Si Te     ,0.117,0.466,16,12.5,1.5,0.271,False,9,10.25
Ce Cl Li Se     ,0.1,0.555,16,10.2,14.25,0.046,True,8,24.0
Br Cl Li Sn     ,0.103,0.532,16,9.0,2.0,0.114,True,4,11.25
Br Cl Gd Li     ,0.091,0.712,16,9.0,16.25,0.212,True,10,25.5
Ge Li S Se      ,0.11,0.485,16,8.2,1.25,0.143,False,10,10.0
Gd Li S Se      ,0.093,0.581,16,8.2,15.75,0.16,True,6,24.5
Li S Se W       ,0.143,0.455,16,8.2,8.0,0.962,False,5,16.75
Br In Li S      ,0.165,0.385,16,7.1,1.5,0.029,True,4,11.25
Al Li N Se      ,0.245,0.318,17,39.4,4.75,0.161,True,9,13.5
Br Li N Sb      ,0.142,0.47,17,37.9,2.25,0.142,True,8,10.5
Li Mg N S       ,0.249,0.309,17,28.8,5.75,0.275,True,10,14.5
Li N S W        ,0.221,0.346,17,28.8,9.75,0.944,True,10,18.5
Cl Li N Zn      ,0.303,0.284,17,26.5,5.25,0.025,True,5,15.0
Cl Li N Sn      ,0.181,0.357,17,26.5,3.0,0.286,True,9,12.75
Ge Li S Te      ,0.118,0.494,17,21.8,1.5,0.132,False,10,10.25
Ce Li S Te      ,0.11,0.495,17,21.8,14.75,0.149,True,10,23.5
Gd Li S Te      ,0.101,0.589,17,21.8,16.0,0.189,True,11,24.75
Li S Te W       ,0.151,0.463,17,21.8,8.25,0.956,False,7,17.0
Cl In Li Se     ,0.161,0.387,17,10.2,2.0,0.144,True,10,11.75
Li S Se Zn      ,0.232,0.323,17,8.2,3.75,0.155,False,10,12.5
Br Ce Li S      ,0.103,0.553,17,7.1,13.75,0.066,True,10,23.5
Br Gd Li S      ,0.094,0.646,17,7.1,15.0,0.146,True,10,24.75
Cl Li S V       ,0.173,0.382,17,1.8,8.25,0.166,True,8,18.0
Cl Ga Li S      ,0.152,0.435,17,1.8,2.0,0.254,True,5,11.75
Li N Si Te      ,0.196,0.358,18,56.8,3.25,0.241,False,12,12.0
F Li Se Si      ,0.157,0.479,18,54.6,1.0,0.183,True,11,10.75
Cl F Li Sn      ,0.15,0.487,18,40.3,2.5,0.165,True,11,11.75
Ge Li N S       ,0.189,0.378,18,28.8,3.0,0.11,True,5,11.75
Ce Li N S       ,0.182,0.379,18,28.8,16.25,0.157,True,9,25.0
Ca Li N S       ,0.302,0.311,18,28.8,20.0,0.231,True,10,28.75
Cl Gd Li Te     ,0.098,0.656,18,24.0,15.75,0.337,True,2,25.5
Li S Te Zn      ,0.239,0.332,18,21.8,4.0,0.144,False,11,12.75
F Li N P        ,0.164,0.391,18,10.9,3.25,0.279,True,5,11.5
Cl Ge Li Se     ,0.107,0.554,18,10.2,1.0,0.258,False,10,10.75
Br Ce Cl Li     ,0.101,0.62,18,9.0,15.0,0.018,True,12,24.25
Cl Li S Ti      ,0.353,0.257,18,1.8,9.0,0.062,True,8,18.75
Ca Cl Li S      ,0.224,0.341,18,1.8,17.75,0.22,True,5,27.5
Br Li Se Sn     ,0.106,0.608,18,1.1,1.0,0.096,False,10,10.75
Br Gd Li Se     ,0.095,0.784,18,1.1,15.25,0.175,True,11,25.0
Br Li Se Si     ,0.11,0.525,18,1.1,0.5,0.258,False,11,10.25
F Li Sb Te      ,0.117,0.539,19,73.9,2.75,0.212,True,11,9.83
Al Li N Te      ,0.252,0.327,19,56.8,5.0,0.151,True,11,13.75
Ce F Li S       ,0.151,0.507,19,42.9,14.25,0.13,True,11,24.0
Al Cl F Li      ,0.211,0.37,19,40.3,3.75,0.152,True,5,13.0
Ba Li N S       ,0.392,0.293,19,28.8,20.5,0.144,True,8,29.25
B Li N S        ,0.319,0.317,19,28.8,3.0,0.152,True,8,11.25
K Li N S        ,0.591,0.256,19,28.8,21.5,0.221,True,10,30.25
Ce Cl Li Te     ,0.108,0.563,19,24.0,14.5,0.034,True,12,24.25
Br Li Si Te     ,0.118,0.533,19,13.7,0.75,0.248,True,9,10.5
Li Se Sn Te     ,0.113,0.551,19,12.5,2.0,0.111,False,11,10.75
Gd Li Se Te     ,0.102,0.729,19,12.5,16.25,0.178,True,10,25.0
Cl Li Se W      ,0.141,0.524,19,10.2,7.75,0.118,True,12,17.5
Cl Li Mo Se     ,0.161,0.478,19,10.2,8.0,0.16,True,13,17.75
Al Br Cl Li     ,0.165,0.417,19,9.0,3.25,0.124,True,11,12.5
Br Cl In Li     ,0.162,0.455,19,9.0,2.75,0.129,True,12,12.0
Br Ge Li S      ,0.111,0.552,19,7.1,0.5,0.118,False,11,10.25
Br Li S W       ,0.144,0.522,19,7.1,7.25,0.948,True,10,17.0
B Cl Li S       ,0.243,0.346,19,1.8,0.75,0.139,True,12,10.0
Br Ce Li Se     ,0.104,0.694,19,1.1,14.0,0.011,True,9,23.75
Br F Li Sb      ,0.11,0.596,20,52.9,3.25,0.325,True,10,9.83
F Ge Li S       ,0.158,0.507,20,42.9,1.0,0.258,True,9,10.75
F Li S Zn       ,0.277,0.345,20,42.9,3.5,0.267,True,7,13.25
In Li N Se      ,0.242,0.358,20,39.4,4.25,0.053,True,12,13.0
Li N S V        ,0.252,0.353,20,28.8,10.5,0.129,True,9,19.25
Li N S Zr       ,0.415,0.303,20,28.8,11.75,0.207,False,12,20.5
Cl Li Mo N      ,0.238,0.37,20,26.5,9.75,0.225,True,7,19.5
Cl Ge Li Te     ,0.115,0.562,20,24.0,1.25,0.058,False,13,11.0
Cl Li Te W      ,0.148,0.532,20,24.0,8.0,0.066,True,11,17.75
Cl In Li Te     ,0.169,0.396,20,24.0,2.25,0.209,False,12,12.0
Br Gd Li Te     ,0.103,0.792,20,13.7,15.5,0.165,True,10,25.25
Al F Li N       ,0.289,0.341,20,10.9,4.5,0.165,True,6,14.25
F Li N Si       ,0.234,0.371,20,10.9,2.75,0.185,True,12,12.5
Br Cl Ge Li     ,0.108,0.619,20,9.0,1.75,0.196,True,12,11.0
Ga Li S Se      ,0.155,0.513,20,8.2,2.5,0.137,False,12,11.25
Br Li Mo S      ,0.165,0.476,20,7.1,7.5,0.437,True,12,17.25
Ba Cl Li S      ,0.319,0.323,20,1.8,18.25,0.131,True,12,28.0
F Li Si Te      ,0.165,0.488,21,73.9,1.25,0.128,True,11,11.0
In Li N Te      ,0.249,0.367,21,56.8,4.5,0.041,True,7,13.25
F Li Se Sn      ,0.154,0.563,21,54.6,1.5,0.974,True,11,11.25
Br F Li Si      ,0.158,0.546,21,52.9,1.75,0.966,True,12,11.0
Ce Cl F Li      ,0.148,0.576,21,40.3,15.5,0.049,True,13,24.75
Cl F In Li      ,0.208,0.409,21,40.3,3.25,0.103,True,4,12.5
Li N Se Zn      ,0.307,0.365,21,39.4,5.75,0.152,True,13,14.5
Al Br Li N      ,0.245,0.388,21,37.9,4.0,0.136,True,12,13.75
Cl Li Mg N      ,0.247,0.38,21,26.5,5.5,0.272,True,12,15.25
Cl Li Mo Te     ,0.169,0.486,21,24.0,8.25,0.224,False,6,18.0
Ga Li S Te      ,0.163,0.521,21,21.8,2.75,0.126,False,12,11.5
Li Mo S Te      ,0.172,0.417,21,21.8,8.5,0.448,False,13,17.25
Al I Li S       ,0.312,0.341,21,21.2,1.75,0.202,True,11,11.5
Br Li Sn Te     ,0.114,0.616,21,13.7,1.25,0.084,False,9,11.0
Ce Li Se Te     ,0.111,0.638,21,12.5,15.0,0.955,True,14,23.75
Br Cl Li Mo     ,0.162,0.545,21,9.0,8.75,0.047,True,13,18.0
Br Cl Li W      ,0.142,0.59,21,9.0,8.5,0.05,True,13,17.75
Cl K Li S       ,0.525,0.286,21,1.8,19.25,0.091,True,9,29.0
F Li Sn Te      ,0.162,0.572,22,73.9,1.75,0.157,True,0,11.5
F Gd Li S       ,0.142,0.602,22,42.9,15.5,0.297,True,12,25.25
Cl F Ge Li      ,0.156,0.575,22,40.3,2.25,0.159,True,9,11.5
Cl Li N W       ,0.218,0.417,22,26.5,9.5,0.004,True,10,19.25
I Li S Si       ,0.257,0.372,22,21.2,0.0,0.234,False,14,9.75
Ge Li Se Te     ,0.119,0.638,22,12.5,1.75,0.162,False,9,10.5
Cl Ga Li Se     ,0.153,0.581,22,10.2,2.25,0.08,True,14,12.0
Cl Li Se Zn     ,0.229,0.394,22,10.2,3.5,0.135,True,10,13.25
Cl Li Mg Se     ,0.17,0.488,22,10.2,3.75,0.207,True,11,13.5
Li Mg S Se      ,0.173,0.418,22,8.2,4.0,0.304,True,12,12.75
Br Li S Zn      ,0.233,0.392,22,7.1,3.0,0.13,True,12,12.75
Cl Li S Zr      ,0.343,0.333,22,1.8,9.5,0.947,True,5,19.25
Br In Li Se     ,0.166,0.533,22,1.1,1.75,0.062,False,13,11.5
Br Ge Li Se     ,0.112,0.693,22,1.1,0.75,0.148,False,12,10.5
Al Br Li Se     ,0.169,0.495,22,1.1,2.25,0.169,True,11,12.0
Li N Te Zn      ,0.314,0.374,23,56.8,6.0,0.141,True,8,14.75
Cl F Gd Li      ,0.139,0.668,23,40.3,16.75,0.134,True,14,26.0
Br Li N Si      ,0.189,0.418,23,37.9,2.25,0.229,True,6,12.0
Ga Li N S       ,0.233,0.406,23,28.8,4.25,0.103,True,14,13.0
Cl Gd Li N      ,0.17,0.545,23,26.5,17.25,0.274,True,9,27.0
Cl Li Te Zn     ,0.237,0.403,23,24.0,3.75,0.052,True,11,13.5
Li Mg S Te      ,0.181,0.427,23,21.8,4.25,0.295,False,12,13.0
Br Ge Li Te     ,0.12,0.702,23,13.7,1.0,0.137,False,13,10.75
Br Ce Li Te     ,0.112,0.703,23,13.7,14.25,0.213,True,12,24.0
In Li Se Te     ,0.173,0.475,23,12.5,2.75,0.077,False,15,11.5
Li Se Te W      ,0.152,0.608,23,12.5,8.5,0.972,False,11,17.25
F Li N Sb       ,0.188,0.424,23,10.9,2.75,0.249,True,10,11.0
F In Li N       ,0.286,0.38,23,10.9,4.0,0.456,True,10,13.75
Li S Se Ti      ,0.356,0.339,23,8.2,9.5,0.318,False,13,18.25
Br Ga Li S      ,0.156,0.579,23,7.1,1.75,0.111,True,14,11.5
Br Li Se W      ,0.145,0.664,23,1.1,7.5,0.964,False,15,17.25
Ce F Li Se      ,0.152,0.651,24,54.6,14.5,0.097,True,13,24.25
F Gd Li Se      ,0.143,0.741,24,54.6,15.75,0.131,True,13,25.5
Br F Li Sn      ,0.155,0.629,24,52.9,2.25,0.321,True,12,11.5
F Li Mo S       ,0.211,0.43,24,42.9,8.0,0.314,True,11,17.75
Gd Li N S       ,0.173,0.476,24,28.8,17.5,0.168,True,10,26.25
Cl K Li N       ,0.589,0.329,24,26.5,21.25,0.038,True,15,31.0
Ca Cl Li N      ,0.299,0.383,24,26.5,19.75,0.217,True,15,29.5
Cl Ga Li Te     ,0.16,0.589,24,24.0,2.5,0.192,True,13,12.25
Li S Te Ti      ,0.363,0.348,24,21.8,9.75,0.309,False,6,18.5
I In Li S       ,0.309,0.381,24,21.2,1.25,0.337,False,10,11.0
Al Li Se Te     ,0.176,0.436,24,12.5,3.25,0.183,False,14,12.0
Br Cl Li Mg     ,0.171,0.554,24,9.0,4.5,0.217,True,13,13.75
Br Cl Ga Li     ,0.154,0.646,24,9.0,3.0,0.425,True,14,12.25
Ca Li S Se      ,0.228,0.421,24,8.2,18.25,0.261,True,11,27.0
F Gd Li Te      ,0.151,0.75,25,73.9,16.0,0.237,True,12,25.75
F Ge Li Se      ,0.159,0.65,25,54.6,1.25,0.211,True,10,11.0
Br F Gd Li      ,0.144,0.804,25,52.9,16.5,0.462,True,11,25.75
F Li S Ti       ,0.398,0.361,25,42.9,9.25,0.193,True,15,19.0
Li N Se Sn      ,0.185,0.437,25,39.4,3.5,0.088,True,14,12.25
Ce Cl Li N      ,0.179,0.449,25,26.5,16.0,0.008,True,14,25.75
Ba Cl Li N      ,0.39,0.366,25,26.5,20.25,0.128,True,14,30.0
B Cl Li N       ,0.317,0.388,25,26.5,2.75,0.136,True,8,12.0
Cl Li N V       ,0.25,0.424,25,26.5,10.25,0.209,True,15,20.0
Al Cl I Li      ,0.309,0.412,25,23.4,3.0,0.187,True,13,12.25
Br Li Te W      ,0.153,0.673,25,13.7,7.75,0.958,False,12,17.5
Li Mo Se Te     ,0.173,0.563,25,12.5,8.75,0.47,False,15,17.5
Li S Se V       ,0.176,0.461,25,8.2,8.75,0.161,True,13,17.5
Br Li Mg S      ,0.174,0.486,25,7.1,3.25,0.282,True,12,13.0
Br Li Mo Se     ,0.166,0.62,25,1.1,7.75,0.459,False,12,17.5
Ce F Li Te      ,0.16,0.659,26,73.9,14.75,0.043,True,10,24.5
F Ge Li Te      ,0.167,0.658,26,73.9,1.5,0.377,True,16,11.25
Li N Sn Te      ,0.192,0.445,26,56.8,3.75,0.076,True,15,12.5
Br Ce F Li      ,0.153,0.715,26,52.9,15.25,0.119,True,13,24.5
F Li Mg S       ,0.22,0.44,26,42.9,3.75,0.192,True,12,13.5
Cl F Li Zn      ,0.274,0.416,26,40.3,4.75,0.082,True,2,14.0
Li N Se Ti      ,0.426,0.381,26,39.4,11.5,0.316,True,13,20.25
Br In Li N      ,0.243,0.427,26,37.9,3.5,0.025,True,14,13.25
Cl Ge Li N      ,0.187,0.448,26,26.5,2.75,0.974,True,7,12.5
Cl Li Mg Te     ,0.178,0.496,26,24.0,4.0,0.235,False,10,13.75
Cl I Li P       ,0.185,0.462,26,23.4,2.25,0.209,True,8,9.5
Li S Te V       ,0.184,0.469,26,21.8,9.0,0.151,True,14,17.75
Ca Li S Te      ,0.235,0.429,26,21.8,18.5,0.251,False,14,27.25
Al Br Li Te     ,0.177,0.504,26,13.7,2.5,0.158,True,16,12.25
