phases,cgcnn,mat2vec,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,leaf,Predicted_Order?,pareto_cgcnn_mat2vec_distance from LSSI,distance_from_LiTa2PO8
Cl I Li Mg      ,0.315,0.55,45,23.4,4.25,0.027,True,10,13.5
Li Se Te Ti     ,0.364,0.497,45,12.5,10.0,0.334,False,20,18.75
Ge I Li Se      ,0.26,0.689,45,12.0,0.5,0.199,False,16,10.25
I Li Se W       ,0.291,0.66,45,12.0,7.25,0.993,False,20,17.0
Ba Br Cl Li     ,0.321,0.54,45,9.0,19.25,0.136,True,12,28.5
Cl Li S Sc      ,0.565,0.493,45,1.8,9.75,0.953,True,21,19.5
F I Li Sn       ,0.299,0.624,46,73.1,2.0,0.265,True,12,11.25
I Li Mo N       ,0.38,0.512,46,56.1,9.25,0.286,True,7,19.0
F Li Se Ta      ,0.297,0.683,46,54.6,9.25,0.177,True,20,19.0
Cl F Li Zr      ,0.386,0.504,46,40.3,11.0,0.271,True,17,20.25
Li N Se Sr      ,0.351,0.543,46,39.4,20.5,0.189,True,22,29.25
Cl I K Li       ,0.645,0.501,46,23.4,20.0,0.039,True,12,29.25
Cl Ga I Li      ,0.298,0.642,46,23.4,2.75,0.323,True,21,12.0
Al Br I Li      ,0.313,0.557,46,13.2,2.75,0.206,True,14,12.0
Br I In Li      ,0.311,0.594,46,13.2,2.25,0.273,False,15,11.5
I Li Mo Se      ,0.31,0.616,46,12.0,7.5,0.176,False,19,17.25
I Li Se Zn      ,0.372,0.535,46,12.0,3.0,0.21,False,18,12.75
Br Cl Li Zr     ,0.344,0.549,46,9.0,10.5,0.057,True,18,19.75
Ge I Li Te      ,0.267,0.697,46,0.5,0.75,0.123,False,20,10.5
Ce I Li Te      ,0.261,0.698,46,0.5,14.0,0.222,True,12,23.75
F I In Li       ,0.353,0.55,47,73.1,2.75,0.126,True,16,12.0
Ba I Li N       ,0.521,0.508,47,56.1,19.75,0.21,True,22,29.5
I Li Mg N       ,0.388,0.522,47,56.1,5.0,0.281,True,16,14.75
F Li Se Ti      ,0.399,0.51,47,54.6,9.5,0.257,True,22,19.25
Li N Se Ta      ,0.326,0.56,47,39.4,11.25,0.138,True,21,20.0
Ba Br Li N      ,0.394,0.512,47,37.9,20.0,0.148,True,21,29.75
Cl I Li V       ,0.318,0.591,47,23.4,9.0,0.431,True,18,18.25
Br Li Ta Te     ,0.261,0.734,47,13.7,9.0,0.135,True,18,18.75
Ba Li Se Te     ,0.33,0.559,47,12.5,19.25,0.194,True,19,28.0
Br Cl K Li      ,0.527,0.505,47,9.0,20.25,0.152,True,18,29.5
Br Li Se Sr     ,0.281,0.71,47,1.1,18.0,0.196,True,22,27.75
I Li Te Zn      ,0.379,0.544,47,0.5,3.25,0.099,False,13,13.0
I Li Te W       ,0.298,0.668,47,0.5,7.5,0.112,False,22,17.25
I Li Mo Te      ,0.317,0.624,47,0.5,7.75,0.348,False,18,17.5
F Li Ta Te      ,0.304,0.691,48,73.9,9.5,0.144,True,22,19.25
F Li Te Ti      ,0.406,0.518,48,73.9,9.75,0.173,False,22,19.5
Ce F I Li       ,0.298,0.71,48,73.1,15.0,0.148,True,21,24.25
Li N Ta Te      ,0.332,0.569,48,56.8,11.5,0.127,True,20,20.25
Li N Sr Te      ,0.358,0.551,48,56.8,20.75,0.178,True,23,29.5
I Li N Zr       ,0.542,0.517,48,56.1,11.0,0.144,True,23,20.75
Ce I Li N       ,0.326,0.589,48,56.1,15.5,0.239,True,21,25.25
Cl F Li Sr      ,0.32,0.591,48,40.3,19.5,0.093,True,22,28.75
Br Li Sr Te     ,0.288,0.718,48,13.7,18.25,0.186,True,22,28.0
Br Ge I Li      ,0.261,0.753,48,13.2,1.25,0.185,False,24,10.5
Br I Li Mo      ,0.311,0.68,48,13.2,8.25,0.232,False,19,17.5
Li Se Te Zr     ,0.354,0.568,48,12.5,10.5,0.254,False,15,19.25
I Li Mg Se      ,0.318,0.625,48,12.0,3.25,0.204,True,23,13.0
Cs Li S Se      ,0.661,0.512,48,8.2,20.25,0.212,True,9,29.0
F Ge I Li       ,0.305,0.71,49,73.1,1.75,0.258,True,12,11.0
F Gd I Li       ,0.29,0.8,49,73.1,16.25,0.364,True,19,25.5
Ge I Li N       ,0.333,0.588,49,56.1,2.25,0.193,True,21,12.0
Gd I Li N       ,0.318,0.681,49,56.1,16.75,0.205,True,21,26.5
Br Li N Zr      ,0.417,0.521,49,37.9,11.25,0.211,False,21,21.0
Ca Cl I Li      ,0.365,0.553,49,23.4,18.5,0.281,True,19,27.75
Br I Li W       ,0.292,0.724,49,13.2,8.0,0.097,False,12,17.25
Ga I Li Se      ,0.302,0.715,49,12.0,1.75,0.193,False,12,11.5
I Li Se V       ,0.321,0.666,49,12.0,8.0,0.216,True,18,17.75
Ba Br Li Se     ,0.324,0.616,49,1.1,18.25,0.181,True,23,28.0
Br Li Se Ti     ,0.358,0.555,49,1.1,9.0,0.322,True,22,18.75
F I Li Zn       ,0.414,0.556,50,73.1,4.25,0.332,True,13,13.5
I Li N W        ,0.362,0.558,50,56.1,9.0,0.219,True,21,18.75
Ca I Li N       ,0.437,0.525,50,56.1,19.25,0.292,True,23,29.0
F Li Se Sr      ,0.324,0.666,50,54.6,18.5,0.333,True,16,28.25
Br F Li Ta      ,0.298,0.746,50,52.9,10.0,0.244,True,19,19.25
Br Li N Ta      ,0.326,0.625,50,37.9,10.5,0.113,True,17,20.25
Br Li N Sr      ,0.352,0.608,50,37.9,19.75,0.164,True,23,29.5
B Cl I Li       ,0.382,0.557,50,23.4,1.5,0.206,True,21,10.25
Cs Li S Te      ,0.667,0.521,50,21.8,20.5,0.143,True,22,29.25
Br I Li Mg      ,0.319,0.69,50,13.2,4.0,0.211,True,19,13.25
K Li Se Te      ,0.535,0.524,50,12.5,20.25,0.267,True,26,29.0
Ga I Li Te      ,0.309,0.723,50,0.5,2.0,0.116,False,20,11.75
I Li Mg Te      ,0.325,0.634,50,0.5,3.5,0.225,False,10,13.25
B I Li N        ,0.453,0.53,51,56.1,2.25,0.218,True,20,11.5
Hf Li N S       ,0.441,0.546,51,28.8,11.5,0.112,True,12,20.25
Ba Br Li Te     ,0.331,0.624,51,13.7,18.5,0.17,True,23,28.25
Br Li Te Ti     ,0.365,0.564,51,13.7,9.25,0.313,False,20,19.0
Br I Li V       ,0.322,0.73,51,13.2,8.75,0.08,True,19,18.0
Br Ga I Li      ,0.303,0.778,51,13.2,2.5,0.179,False,21,11.75
I Li Te V       ,0.328,0.674,51,0.5,8.25,0.123,False,22,18.0
F Li Sr Te      ,0.331,0.674,52,73.9,18.75,0.146,True,22,28.5
I Li N V        ,0.391,0.564,52,56.1,9.75,0.111,True,24,19.5
Ba F Li Se      ,0.366,0.571,52,54.6,18.75,0.208,True,22,28.5
Br F Li Sr      ,0.324,0.73,52,52.9,19.25,0.163,True,23,28.5
Ba Cl I Li      ,0.453,0.536,52,23.4,19.0,0.198,True,20,28.25
Br Li Se Zr     ,0.348,0.625,52,1.1,9.5,0.242,True,22,19.25
F I Li Mo       ,0.353,0.637,53,73.1,8.75,0.132,True,22,18.0
F I Li W        ,0.334,0.681,53,73.1,8.5,0.318,True,23,17.75
F K Li Se       ,0.567,0.536,53,54.6,19.75,0.17,True,20,29.5
Cl Li N Sc      ,0.627,0.533,53,26.5,11.75,0.129,True,23,21.5
Cl I Li Zr      ,0.475,0.545,53,23.4,10.25,0.204,True,21,19.5
Br Li Te Zr     ,0.355,0.633,53,13.7,9.75,0.232,True,22,19.5
F Li N Ta       ,0.368,0.581,53,10.9,11.0,0.108,True,21,20.75
F Li N Sr       ,0.394,0.564,53,10.9,20.25,0.268,True,22,30.0
Cl Hf Li S      ,0.37,0.574,53,1.8,9.25,0.082,True,19,19.0
F K Li Te       ,0.573,0.545,54,73.9,20.0,0.192,True,22,29.75
Ba F Li Te      ,0.373,0.58,54,73.9,19.0,0.197,True,24,28.75
F I Li Mg       ,0.361,0.646,54,73.1,4.5,0.143,True,24,13.75
Ba Br F Li      ,0.367,0.636,54,52.9,19.5,0.184,True,17,28.75
Br F Li Ti      ,0.4,0.576,54,52.9,10.25,0.202,True,25,19.5
Cs F Li S       ,0.697,0.534,54,42.9,20.0,0.164,True,24,29.75
I Li S Sr       ,0.415,0.564,54,21.2,17.5,0.255,True,23,27.25
Ca I Li Se      ,0.368,0.628,54,12.0,17.5,0.32,True,18,27.25
I Li Se Ti      ,0.487,0.551,54,12.0,8.75,0.366,True,22,18.5
F Ga I Li       ,0.345,0.735,55,73.1,3.0,0.146,True,23,12.25
F I Li V        ,0.364,0.686,55,73.1,9.25,0.304,True,21,18.5
F Li Se Zr      ,0.389,0.58,55,54.6,10.0,0.215,True,27,19.75
Br I Li Zn      ,0.373,0.601,55,13.2,3.75,0.115,True,22,13.0
I Li Te Ti      ,0.494,0.559,55,0.5,9.0,0.092,False,15,18.75
F I Li Ti       ,0.527,0.572,56,73.1,10.0,0.27,False,24,19.25
Ga I Li N       ,0.373,0.614,56,56.1,3.5,0.187,True,16,13.25
Cs Li N Se      ,0.721,0.553,56,39.4,22.25,0.171,True,24,31.0
I Li S Ta       ,0.39,0.582,56,21.2,8.25,0.245,True,19,18.0
Br Ca I Li      ,0.369,0.692,56,13.2,18.25,0.299,True,24,27.5
Li S Sc Se      ,0.568,0.569,56,8.2,10.25,0.192,True,27,19.0
F Li Te Zr      ,0.396,0.589,57,73.9,10.25,0.172,True,28,20.0
Cs Li N Te      ,0.726,0.561,57,56.8,22.5,0.186,True,5,31.25
Li S Sc Te      ,0.574,0.578,57,21.8,10.5,0.181,False,25,19.25
B I Li Se       ,0.385,0.633,57,12.0,0.5,0.248,True,25,9.75
I K Li Se       ,0.648,0.577,57,12.0,19.0,0.507,True,24,28.75
Cl Hf Li Se     ,0.37,0.714,57,10.2,9.5,0.001,True,24,19.25
Hf Li S Se      ,0.373,0.649,57,8.2,9.75,0.285,True,23,18.5
Br K Li Se      ,0.53,0.581,57,1.1,19.25,0.255,True,23,29.0
Ca I Li Te      ,0.375,0.636,57,0.5,17.75,0.311,True,25,27.5
Br F Li Zr      ,0.39,0.645,58,52.9,10.75,0.154,True,24,20.0
Cl I Li Ta      ,0.387,0.648,58,23.4,9.5,0.281,True,26,18.75
Hf Li S Te      ,0.38,0.657,58,21.8,10.0,0.31,True,23,18.75
Br K Li Te      ,0.536,0.59,58,13.7,19.5,0.245,True,24,29.25
Cs F Li N       ,0.756,0.574,58,10.9,22.0,0.16,True,26,31.75
Cl Cs Li Se     ,0.659,0.581,58,10.2,20.0,0.128,True,23,29.75
Br Cl Hf Li     ,0.371,0.777,58,9.0,10.25,0.009,True,24,19.5
Br Cs Li S      ,0.662,0.579,58,7.1,19.5,0.118,True,24,29.25
Br Hf Li S      ,0.374,0.713,58,7.1,9.0,0.34,True,7,18.75
B I Li Te       ,0.392,0.641,58,0.5,0.75,0.238,True,26,10.0
I K Li Te       ,0.654,0.586,58,0.5,19.25,0.499,True,26,29.0
Ca F I Li       ,0.41,0.649,59,73.1,18.75,0.323,True,25,28.0
I Li N Sr       ,0.482,0.604,59,56.1,19.5,0.309,True,10,29.25
Br F K Li       ,0.568,0.602,59,52.9,20.5,0.177,True,25,29.75
F Li S Sc       ,0.605,0.59,59,42.9,10.0,0.283,True,25,19.75
Cl Hf Li N      ,0.439,0.613,59,26.5,11.25,0.061,True,21,21.0
Cl Hf Li Te     ,0.377,0.723,59,24.0,9.75,0.02,True,25,19.5
Cl Cs Li Te     ,0.665,0.589,59,24.0,20.25,0.115,True,25,30.0
Cl I Li Sr      ,0.412,0.631,59,23.4,18.75,0.29,True,25,28.0
Cs I Li S       ,0.773,0.574,59,21.2,19.25,0.153,True,27,29.0
B Br I Li       ,0.386,0.697,59,13.2,1.25,0.225,True,25,10.0
Ba I Li Se      ,0.456,0.612,59,12.0,18.0,0.24,True,27,27.75
Br Hf Li Se     ,0.375,0.849,59,1.1,9.25,0.488,True,24,19.0
F I K Li        ,0.684,0.598,60,73.1,20.25,0.113,True,12,29.5
B F I Li        ,0.426,0.653,60,73.1,1.75,0.251,True,26,10.5
I Li N Ta       ,0.458,0.621,60,56.1,10.25,0.3,True,27,20.0
F Hf Li S       ,0.414,0.669,60,42.9,9.5,0.224,True,26,19.25
Li N Sc Se      ,0.63,0.609,60,39.4,12.25,0.189,True,24,21.0
Br I Li Ti      ,0.488,0.616,60,13.2,9.5,0.276,True,23,18.75
Hf Li Se Te     ,0.381,0.795,60,12.5,10.25,0.301,True,26,19.0
I Li Se Ta      ,0.39,0.722,60,12.0,8.5,0.197,True,26,18.25
Ba I Li Te      ,0.462,0.62,60,0.5,18.25,0.23,True,23,28.0
Li N Sc Te      ,0.636,0.618,61,56.8,12.5,0.178,True,26,21.25
Cl Cs F Li      ,0.695,0.601,61,40.3,21.25,0.303,True,24,30.5
Hf Li N Se      ,0.442,0.688,61,39.4,11.75,0.099,True,29,20.5
Br Hf Li Te     ,0.381,0.857,61,13.7,9.5,0.288,True,25,19.25
Br I Li Ta      ,0.391,0.785,61,13.2,9.25,0.197,True,25,18.5
Ba Br I Li      ,0.457,0.676,61,13.2,18.75,0.217,True,24,28.0
I Li Se Sr      ,0.415,0.705,61,12.0,17.75,0.245,True,26,27.5
I Li Se Zr      ,0.478,0.621,61,12.0,9.25,0.288,True,23,19.0
I Li Ta Te      ,0.397,0.73,61,0.5,8.75,0.095,True,27,18.5
Hf Li N Te      ,0.448,0.696,62,56.8,12.0,0.129,True,30,20.75
Cl F Hf Li      ,0.412,0.735,62,40.3,10.75,0.086,True,28,20.0
Br Cs Li N      ,0.721,0.618,62,37.9,21.5,0.179,True,26,31.25
Br I Li Zr      ,0.479,0.685,62,13.2,10.0,0.103,True,27,19.25
I Li Sr Te      ,0.422,0.714,62,0.5,18.0,0.107,True,26,27.75
I Li Te Zr      ,0.484,0.629,62,0.5,9.5,0.129,True,25,19.25
Ba F I Li       ,0.496,0.632,63,73.1,19.25,0.243,True,26,28.5
F I Li Sr       ,0.456,0.726,63,73.1,19.0,0.254,True,30,28.25
F I Li Ta       ,0.432,0.742,63,73.1,9.75,0.28,True,26,19.0
Cs I Li N       ,0.83,0.614,63,56.1,21.25,0.206,True,28,31.0
F Hf Li Se      ,0.415,0.807,63,54.6,9.75,0.301,True,27,19.5
Br I Li Sr      ,0.416,0.768,63,13.2,18.5,0.35,True,26,27.75
F Li N Sc       ,0.667,0.63,63,10.9,12.0,0.073,True,27,21.75
F Hf Li N       ,0.482,0.708,63,10.9,11.5,1.0,True,26,21.25
F Hf Li Te      ,0.422,0.815,64,73.9,10.0,0.11,True,26,19.75
F I Li Zr       ,0.517,0.641,64,73.1,10.5,0.323,True,25,19.75
Br F Hf Li      ,0.416,0.868,64,52.9,10.5,0.241,True,24,19.75
Br Hf Li N      ,0.443,0.751,64,37.9,11.0,0.103,True,27,20.75
Hf I Li S       ,0.502,0.708,64,21.2,8.75,0.149,True,27,18.5
I Li S Sc       ,0.685,0.63,64,21.2,9.25,0.272,True,25,19.0
Cl Li Sc Se     ,0.565,0.636,64,10.2,10.0,0.212,True,23,19.75
Br Li S Sc      ,0.568,0.634,64,7.1,9.5,0.168,True,27,19.25
Cl Li Sc Te     ,0.572,0.645,65,24.0,10.25,0.138,True,29,20.0
Cl Hf I Li      ,0.5,0.773,65,23.4,10.0,0.075,True,26,19.25
Cl Cs I Li      ,0.771,0.641,65,23.4,20.5,0.142,True,29,29.75
Br I K Li       ,0.649,0.642,65,13.2,19.75,0.102,True,27,29.0
Br Cl Li Sc     ,0.566,0.7,65,9.0,10.75,0.939,True,27,20.0
Hf I Li N       ,0.567,0.747,66,56.1,10.75,0.146,True,28,20.5
Cl F Li Sc      ,0.603,0.657,66,40.3,11.25,0.155,True,27,20.5
Li Sc Se Te     ,0.574,0.718,66,12.5,10.75,0.21,False,25,19.5
Hf I Li Se      ,0.503,0.845,66,12.0,9.0,0.178,True,28,18.75
Br Cl Cs Li     ,0.66,0.646,66,9.0,20.75,0.268,True,30,30.0
F Li Sc Se      ,0.606,0.73,67,54.6,10.25,0.163,True,27,20.0
Br Li N Sc      ,0.631,0.674,67,37.9,11.5,0.165,True,31,21.25
Li N Rb S       ,0.898,0.649,67,28.8,21.75,0.019,True,27,30.5
Br Hf I Li      ,0.504,0.906,67,13.2,9.75,0.154,True,31,19.0
Cs Li Se Te     ,0.668,0.664,67,12.5,20.75,0.159,True,28,29.5
Br Li Sc Se     ,0.569,0.773,67,1.1,9.75,0.196,True,26,19.5
Hf I Li Te      ,0.509,0.853,67,0.5,9.25,0.168,True,27,19.0
F Li Sc Te      ,0.612,0.739,68,73.9,10.5,0.337,True,30,20.25
F Hf I Li       ,0.542,0.864,68,73.1,10.25,0.229,True,30,19.5
I Li N Sc       ,0.744,0.67,68,56.1,11.25,0.269,True,28,21.0
Cs F Li Se      ,0.698,0.676,68,54.6,20.25,0.192,True,30,30.0
Cl I Li Sc      ,0.683,0.696,68,23.4,10.5,0.261,True,27,19.75
Br Li Sc Te     ,0.575,0.781,68,13.7,10.0,0.186,True,28,19.75
Br Cs Li Se     ,0.663,0.719,68,1.1,19.75,0.066,True,28,29.5
Cs F Li Te      ,0.703,0.684,69,73.9,20.5,0.182,True,29,30.25
Br F Li Sc      ,0.607,0.793,69,52.9,11.0,0.169,True,31,20.25
Br Cs Li Te     ,0.668,0.727,69,13.7,20.0,0.258,True,31,29.75
Br Cs F Li      ,0.698,0.739,70,52.9,21.0,0.168,True,26,30.25
Cs I Li Se      ,0.774,0.715,70,12.0,19.5,0.14,True,29,29.25
I Li Sc Se      ,0.686,0.769,70,12.0,9.5,0.221,True,29,19.25
Cl Li Rb S      ,0.841,0.676,70,1.8,19.5,0.176,True,32,29.25
Br I Li Sc      ,0.686,0.831,71,13.2,10.25,0.354,True,31,19.5
Cs I Li Te      ,0.78,0.723,71,0.5,19.75,0.169,True,30,29.5
I Li Sc Te      ,0.691,0.777,71,0.5,9.75,0.298,True,29,19.5
F I Li Sc       ,0.721,0.789,72,73.1,10.75,0.081,True,29,20.0
Cs F I Li       ,0.808,0.735,72,73.1,20.75,0.228,True,32,30.0
Cl Li N Rb      ,0.896,0.715,72,26.5,21.5,0.108,True,32,31.25
Br Cs I Li      ,0.775,0.778,72,13.2,20.25,0.145,True,33,29.5
Cl Li Rb Se     ,0.842,0.813,73,10.2,19.75,0.125,True,32,29.5
Li Rb S Se      ,0.844,0.749,73,8.2,20.0,0.056,True,32,28.75
Li Rb S Te      ,0.849,0.757,74,21.8,20.25,0.044,True,33,29.0
Br Cl Li Rb     ,0.842,0.875,74,9.0,20.5,0.283,True,30,29.75
Br Li Rb S      ,0.844,0.811,74,7.1,19.25,0.028,True,33,29.0
F Li Rb S       ,0.877,0.769,75,42.9,19.75,0.201,True,33,29.5
Cl Li Rb Te     ,0.847,0.821,75,24.0,20.0,0.305,True,31,29.75
Br Li Rb Se     ,0.845,0.944,75,1.1,19.5,0.061,True,32,29.25
Cl F Li Rb      ,0.875,0.833,76,40.3,21.0,0.138,True,34,30.25
Li N Rb Se      ,0.899,0.787,76,39.4,22.0,0.052,True,34,30.75
Li Rb Se Te     ,0.85,0.892,76,12.5,20.5,0.076,True,34,29.25
Li N Rb Te      ,0.904,0.795,77,56.8,22.25,0.04,True,34,31.0
F Li Rb Se      ,0.877,0.903,77,54.6,20.0,0.191,True,33,29.75
Br Li N Rb      ,0.899,0.849,77,37.9,21.25,0.024,True,35,31.0
Br Li Rb Te     ,0.85,0.952,77,13.7,19.75,0.049,True,35,29.5
F Li Rb Te      ,0.883,0.911,78,73.9,20.25,0.223,True,35,30.0
Br F Li Rb      ,0.878,0.963,78,52.9,20.75,0.149,True,35,30.0
F Li N Rb       ,0.931,0.807,78,10.9,21.75,0.269,True,34,31.5
Cl I Li Rb      ,0.945,0.871,79,23.4,20.25,0.236,True,34,29.5
I Li Rb S       ,0.947,0.807,79,21.2,19.0,0.983,True,30,28.75
I Li N Rb       ,1.0,0.845,80,56.1,21.0,0.344,True,35,30.75
I Li Rb Se      ,0.948,0.94,80,12.0,19.25,0.347,True,31,29.0
Br I Li Rb      ,0.949,1.0,81,13.2,20.0,0.232,True,32,29.25
I Li Rb Te      ,0.953,0.948,81,0.5,19.5,0.193,True,35,29.25
F I Li Rb       ,0.98,0.959,82,73.1,20.5,0.061,True,36,29.75
