phase fields,pareto front,magpie37,random200,megnet16,leaf36,mat2vec
Cl Mg P S       ,1,7.509,28.683,4.862,12.509,27.028
Cl Mg S Si      ,2,7.556,28.76,4.789,12.697,26.875
Cl Mg S Zn      ,3,7.751,29.229,5.894,11.847,27.007
Mg O S Sn       ,3,8.482,28.017,5.163,11.563,26.069
Cl Mg O Sn      ,3,8.563,27.714,5.206,11.451,26.745
K Mg O S        ,3,13.162,28.079,5.171,11.288,25.825
Cl K Mg O       ,3,13.215,27.776,5.215,11.173,26.507
Al Cl Mg S      ,4,7.897,29.105,5.38,11.926,26.615
Br Mg P S       ,5,7.943,29.23,4.742,12.667,28.259
Cl Mg S Sn      ,6,7.953,28.953,4.817,11.295,27.608
Br Mg S Si      ,7,7.987,29.306,4.667,12.853,28.113
Br Cl Mg P      ,8,8.029,28.94,4.789,12.565,28.884
Mg O P S        ,9,8.066,27.736,5.205,12.752,25.454
Br Cl Mg Si     ,10,8.074,29.016,4.715,12.753,28.741
Mg O S Si       ,11,8.11,27.816,5.137,12.936,25.291
Br Mg S Zn      ,12,8.172,29.766,5.795,12.014,28.239
Br Mg O Sn      ,12,8.946,28.28,5.094,11.623,27.989
Li Mg O S       ,12,10.513,28.182,5.512,11.307,27.447
Cl Li Mg O      ,12,10.579,27.881,5.553,11.192,28.09
Cl K Mg S       ,12,12.828,29.014,4.826,11.013,27.377
Br K Mg O       ,12,13.466,28.341,5.103,11.35,27.761
I K Mg O        ,12,13.66,28.096,5.073,11.881,27.702
Cl Mg O Si      ,13,8.195,27.511,5.181,12.836,25.988
Br Cl Mg Zn     ,14,8.257,29.481,5.834,11.906,28.864
I K Mg S        ,14,13.286,29.32,4.672,11.731,28.536
I Mg P S        ,15,8.267,28.992,4.709,13.145,28.201
Mg O S Zn       ,16,8.293,28.301,6.18,12.103,25.432
Al Br Mg S      ,17,8.31,29.644,5.272,12.092,27.865
I Mg S Si       ,18,8.31,29.069,4.634,13.324,28.054
Cl I Mg P       ,19,8.351,28.7,4.757,13.047,28.827
Br Mg S Sn      ,20,8.364,29.496,4.695,11.47,28.814
Cl Mg O Zn      ,21,8.376,28.001,6.217,11.996,26.124
Al Br Cl Mg     ,22,8.393,29.358,5.315,11.985,28.498
Cl I Mg Si      ,23,8.393,28.777,4.682,13.227,28.683
Al Mg O S       ,24,8.429,28.173,5.692,12.18,25.015
Br Cl Mg Sn     ,25,8.447,29.208,4.743,11.357,29.427
I Mg S Zn       ,26,8.488,29.533,5.768,12.517,28.18
Al Cl Mg O      ,26,8.511,27.871,5.732,12.074,25.719
Al Br Mg O      ,26,8.896,28.435,5.631,12.238,27.01
I Mg O Sn       ,26,9.235,28.034,5.064,12.142,27.93
Br Mg O P       ,27,8.553,28.002,5.137,12.807,27.417
Cl I Mg Zn      ,28,8.569,29.245,5.807,12.414,28.807
Cl Mg S Sr      ,28,10.172,28.608,5.576,12.162,28.544
Br Mg O Si      ,29,8.595,28.081,5.068,12.99,27.266
Al I Mg S       ,30,8.621,29.41,5.243,12.592,27.805
I Mg S Sn       ,31,8.673,29.26,4.662,11.995,28.757
Al Cl I Mg      ,32,8.701,29.121,5.286,12.489,28.44
F Mg P S        ,33,8.709,28.707,7.139,12.914,27.894
Br Mg O Zn      ,33,8.767,28.562,6.123,12.161,27.396
I Mg O Zn       ,33,9.062,28.318,6.098,12.658,27.336
Al I Mg O       ,33,9.187,28.19,5.603,12.732,26.949
Mg O S Zr       ,33,9.407,28.319,5.895,12.799,26.243
Cl Mg O Zr      ,33,9.48,28.019,5.933,12.698,26.915
Ca Cl Mg O      ,33,9.707,27.744,5.748,12.901,27.003
Mg O S Sr       ,33,10.59,27.659,5.878,12.411,27.059
Cl La Mg O      ,33,10.643,27.636,6.651,12.819,27.55
Cl Mg O Sr      ,33,10.656,27.352,5.917,12.307,27.711
Mg O S Ta       ,33,10.749,28.267,6.723,11.979,27.179
Cl Mg O Ta      ,33,10.813,27.967,6.757,11.871,27.828
Ba Mg O S       ,33,11.717,27.939,6.212,12.287,26.175
Ba Cl Mg O      ,33,11.776,27.635,6.248,12.181,26.849
B Cl Mg S       ,34,8.73,28.653,8.057,12.102,27.881
F Mg O Sn       ,34,9.633,27.739,7.378,11.892,27.62
F K Mg O        ,34,13.931,27.802,7.384,11.625,27.39
Br I Mg P       ,35,8.743,29.247,4.634,13.199,29.984
F Mg S Si       ,36,8.75,28.784,7.09,13.097,27.746
Ca Mg O S       ,36,9.635,28.047,5.709,13.0,26.334
La Mg O S       ,36,10.578,27.94,6.617,12.919,26.894
Cl I Mg Sn      ,37,8.753,28.97,4.71,11.887,29.371
Br I Mg Si      ,38,8.783,29.323,4.558,13.377,29.846
Cl F Mg P       ,39,8.788,28.411,7.171,12.814,28.527
Ba Br Mg O      ,39,12.057,28.203,6.155,12.344,28.088
Cl F Mg Si      ,40,8.828,28.489,7.122,12.998,28.382
Ba I Mg O       ,40,12.273,27.956,6.13,12.834,28.029
I Mg O P        ,41,8.855,27.754,5.107,13.279,27.357
I Mg O Si       ,42,8.896,27.834,5.038,13.457,27.205
F Mg S Zn       ,43,8.919,29.253,7.878,12.274,27.874
Ba Cl Mg S      ,43,11.34,28.878,5.927,12.035,27.708
Cl Mg S Zr      ,44,8.934,29.246,5.594,12.558,27.773
Br I Mg Zn      ,45,8.952,29.783,5.707,12.573,29.965
Cl Li Mg S      ,45,10.092,29.114,5.189,11.033,28.913
Br Mg S Sr      ,45,10.496,29.156,5.472,12.325,29.713
Br Li Mg O      ,45,10.891,28.444,5.448,11.369,29.277
I Li Mg O       ,45,11.13,28.2,5.42,11.899,29.22
Br K Mg S       ,45,13.086,29.555,4.705,11.193,28.593
Br Cl K Mg      ,45,13.139,29.268,4.753,11.077,29.211
Cl I K Mg       ,45,13.338,29.031,4.72,11.621,29.155
Cl F Mg Zn      ,46,8.996,28.963,7.907,12.169,28.507
Al F Mg S       ,47,9.046,29.129,7.502,12.351,27.495
Al Br I Mg      ,48,9.078,29.661,5.175,12.648,29.613
F Mg S Sn       ,49,9.095,28.978,7.109,11.742,28.457
B Br Mg S       ,50,9.106,29.201,7.986,12.265,29.076
Al Cl F Mg      ,50,9.122,28.837,7.532,12.246,28.137
Cl Mg S Ta      ,50,10.337,29.196,6.461,11.721,28.658
Br Mg O Ta      ,50,11.118,28.528,6.671,12.038,29.025
F Li Mg O       ,50,11.462,27.906,7.627,11.643,28.925
F K Mg S        ,50,13.565,29.038,7.115,11.472,28.233
Cl F K Mg       ,50,13.616,28.746,7.147,11.359,28.858
Br I Mg Sn      ,51,9.127,29.513,4.586,12.054,30.508
Br F Mg P       ,52,9.161,28.964,7.09,12.969,29.696
Br Mg O Zr      ,52,9.827,28.579,5.835,12.854,28.151
Cl La Mg S      ,52,10.159,28.879,6.35,12.68,28.388
I Mg S Sr       ,52,10.744,28.918,5.444,12.815,29.657
Br Mg O Sr      ,52,10.966,27.926,5.818,12.468,28.913
I Mg O Sr       ,52,11.203,27.677,5.791,12.953,28.856
I Mg O Ta       ,52,11.353,28.285,6.648,12.539,28.969
Ba Cl I Mg      ,52,11.914,28.895,5.841,12.593,29.466
Cl F Mg Sn      ,53,9.171,28.685,7.14,11.632,29.077
Ca Cl Mg S      ,54,9.174,28.983,5.397,12.762,27.858
B Br Cl Mg      ,55,9.182,28.911,8.014,12.16,29.684
Mg N S Si       ,56,9.188,29.147,7.965,12.795,26.598
Br F Mg Si      ,57,9.2,29.04,7.04,13.15,29.557
Br Ca Mg O      ,57,10.046,28.31,5.647,13.054,28.236
Br La Mg O      ,57,10.953,28.204,6.563,12.974,28.759
Cl Mg N P       ,58,9.225,28.779,8.037,12.506,27.411
Al F Mg O       ,58,9.586,27.897,7.758,12.494,26.628
Cl Mg N Si      ,59,9.263,28.856,7.993,12.694,27.261
Br Mg S Zr      ,60,9.301,29.783,5.49,12.715,28.972
Mg N S Zn       ,61,9.349,29.61,8.674,11.952,26.731
Mg N O Sn       ,61,10.033,28.115,8.222,11.559,26.467
K Mg N O        ,61,14.211,28.177,8.228,11.284,26.226
Br F Mg Zn      ,62,9.361,29.505,7.834,12.331,29.677
Ba Br Mg S      ,62,11.632,29.422,5.829,12.199,28.91
Ba Br Cl Mg     ,62,11.691,29.134,5.868,12.093,29.522
Br Cl Mg Zr     ,63,9.375,29.498,5.531,12.614,29.582
B I Mg S        ,64,9.39,28.963,7.966,12.758,29.019
F Mg O Sr       ,64,11.533,27.378,7.895,12.719,28.557
Ba F Mg S       ,64,12.168,28.902,7.903,12.456,28.554
Cl Mg N Zn      ,65,9.423,29.323,8.7,11.844,27.391
F I Mg P        ,66,9.444,28.724,7.068,13.436,29.641
I Mg O Zr       ,66,10.092,28.336,5.808,13.325,28.093
Cl Mg O Y       ,66,10.176,27.905,6.318,13.384,26.581
B Cl I Mg       ,67,9.464,28.671,7.994,12.657,29.628
F Mg S Sr       ,67,11.088,28.632,7.644,12.578,29.366
Ba Cl F Mg      ,67,12.225,28.609,7.932,12.352,29.173
F Mg O Zn       ,68,9.466,28.026,8.123,12.418,27.02
Al Mg N S       ,69,9.471,29.487,8.334,12.031,26.335
Al Br F Mg      ,70,9.482,29.382,7.455,12.408,29.321
F I Mg Si       ,71,9.482,28.801,7.018,13.611,29.501
Mg O S Y        ,71,10.108,28.206,6.282,13.48,25.901
Ca I Mg O       ,71,10.305,28.064,5.619,13.518,28.177
Br Mg O Y       ,71,10.5,28.467,6.226,13.532,27.832
I La Mg O       ,71,11.191,27.957,6.54,13.441,28.702
Mg N S Sn       ,72,9.518,29.338,7.981,11.405,27.338
Br F Mg Sn      ,73,9.529,29.232,7.059,11.802,30.225
Br Ca Mg S      ,74,9.532,29.525,5.29,12.918,29.054
Al Cl Mg N      ,75,9.544,29.2,8.361,11.923,27.005
I Mg S Zr       ,76,9.58,29.55,5.461,13.191,28.915
Br Mg N P       ,77,9.581,29.325,7.965,12.664,28.626
Cl Mg N Sn      ,78,9.59,29.049,8.01,11.291,27.984
Br Ca Cl Mg     ,79,9.605,29.237,5.332,12.817,29.662
Br Mg N Si      ,80,9.618,29.4,7.921,12.85,28.482
F I Mg Zn       ,81,9.638,29.269,7.814,12.822,29.622
Ba I Mg S       ,81,11.856,29.186,5.802,12.695,28.853
B Br Mg O       ,82,9.643,27.973,8.227,12.409,28.258
Cl I Mg Zr      ,83,9.652,29.263,5.503,13.093,29.526
Cl Mg S Y       ,84,9.669,29.136,6.001,13.251,27.449
Mg N O P        ,85,9.684,27.836,8.249,12.748,25.861
Mg N O Si       ,86,9.721,27.916,8.206,12.933,25.701
Al F I Mg       ,87,9.756,29.145,7.434,12.895,29.265
Br Mg N Zn      ,88,9.772,29.859,8.634,12.011,28.606
Li Mg N O       ,88,11.8,28.28,8.446,11.303,27.825
K Mg N S        ,88,13.852,29.398,7.987,11.126,27.105
Cl K Mg N       ,88,13.902,29.109,8.015,11.01,27.756
B F Mg S        ,89,9.781,28.678,9.605,12.52,28.722
Mg N O Zn       ,89,9.873,28.399,8.896,12.099,25.839
Al Mg N O       ,89,9.988,28.271,8.565,12.177,25.43
F Mg O Ta       ,89,11.678,27.992,8.543,12.297,28.671
Mg N O Sr       ,89,11.869,27.759,8.689,12.408,27.442
Ba Mg N O       ,89,12.884,28.038,8.918,12.283,26.571
F I Mg Sn       ,90,9.801,28.995,7.037,12.313,30.17
Ca I Mg S       ,91,9.804,29.289,5.26,13.386,28.997
B Br I Mg       ,92,9.812,29.218,7.922,12.813,30.755
Br Cl La Mg     ,92,10.55,29.134,6.295,12.736,30.161
Br Cl Mg Sr     ,92,10.562,28.866,5.513,12.22,30.308
Cl I Li Mg      ,92,10.733,29.131,5.091,11.639,30.601
Cl I Mg Sr      ,92,10.809,28.625,5.485,12.714,30.253
Cl I Mg Ta      ,92,10.964,29.213,6.382,12.293,30.361
F Li Mg S       ,92,11.014,29.138,7.366,11.49,29.724
Cl F Li Mg      ,92,11.077,28.847,7.397,11.377,30.319
Cl F Mg Sr      ,92,11.15,28.336,7.674,12.476,29.968
Ba Br F Mg      ,92,12.496,29.158,7.859,12.512,30.317
F I K Mg        ,92,14.049,29.055,7.044,12.056,29.96
B Cl F Mg       ,93,9.852,28.382,9.629,12.417,29.337
I Mg N P        ,94,9.852,29.088,7.945,13.142,28.569
Ca Cl I Mg      ,95,9.875,29.0,5.303,13.29,29.607
Al Br Mg N      ,96,9.888,29.738,8.291,12.089,28.237
I Mg N Si       ,97,9.888,29.164,7.901,13.321,28.424
Ca F Mg O       ,97,10.662,27.769,7.77,13.294,27.871
B I Mg O        ,98,9.912,27.724,8.208,12.896,28.2
Ba F Mg O       ,98,12.575,27.66,8.147,12.597,27.721
Br Mg N Sn      ,99,9.933,29.59,7.937,11.466,29.174
F Mg S Zr       ,100,9.963,29.27,7.657,12.961,28.617
Br I Mg Zr      ,101,9.993,29.799,5.397,13.245,30.657
Br Li Mg S      ,101,10.419,29.653,5.077,11.212,30.067
Br Cl Li Mg     ,101,10.485,29.367,5.122,11.096,30.655
I Li Mg S       ,101,10.668,29.419,5.046,11.749,30.012
Br I K Mg       ,101,13.587,29.572,4.596,11.791,30.299
Br Mg S Y       ,102,10.009,29.675,5.904,13.401,28.662
Cl F Mg Zr      ,103,10.033,28.98,7.686,12.862,29.234
I Mg N Zn       ,104,10.038,29.626,8.616,12.514,28.549
Mg N S Sr       ,104,11.437,28.997,8.462,12.264,28.284
Br Cl Mg Y      ,105,10.078,29.39,5.942,13.304,29.278
Al I Mg N       ,106,10.151,29.504,8.273,12.589,28.179
B Mg N S        ,107,10.176,29.042,10.268,12.205,27.614
Ca F Mg S       ,108,10.179,29.007,7.514,13.16,28.7
B Br F Mg       ,109,10.186,28.935,9.568,12.576,30.475
Cl F Mg Ta      ,109,11.3,28.93,8.339,12.046,30.076
Cl Mg N Sr      ,109,11.497,28.704,8.488,12.159,28.908
I Mg N Sn       ,110,10.195,29.355,7.918,11.992,29.118
Br Ca I Mg      ,111,10.208,29.541,5.193,13.439,30.735
F Mg N P        ,112,10.225,28.803,9.588,12.911,28.266
Ca Cl F Mg      ,113,10.247,28.714,7.544,13.062,29.315
F Mg N Si       ,114,10.26,28.88,9.551,13.094,28.12
Ca Mg N O       ,114,11.025,28.146,8.576,12.997,26.728
La Mg N O       ,114,11.858,28.039,9.205,12.916,27.28
I Mg S Y        ,115,10.269,29.441,5.877,13.853,28.605
Cl I Mg Y       ,116,10.336,29.153,5.916,13.76,29.222
Mg N S Zr       ,117,10.351,29.627,8.473,12.657,27.505
Br F Mg Zr      ,118,10.361,29.522,7.611,13.016,30.376
Br La Mg S      ,118,10.484,29.423,6.259,12.836,29.563
I Mg S Ta       ,118,10.9,29.5,6.347,12.397,29.767
Br F K Mg       ,118,13.86,29.292,7.066,11.533,30.015
F Mg N Zn       ,119,10.405,29.347,10.15,12.271,28.246
Ba Mg N S       ,119,12.487,29.264,8.697,12.138,27.44
Ba Cl Mg N      ,119,12.543,28.974,8.723,12.032,28.083
Cl Mg N Zr      ,120,10.418,29.341,8.5,12.554,28.146
B F I Mg        ,121,10.441,28.695,9.552,13.058,30.421
Cl F La Mg      ,121,11.138,28.61,8.253,12.981,29.819
Al F Mg N       ,122,10.514,29.224,9.861,12.348,27.872
F Mg N Sn       ,123,10.556,29.073,9.565,11.739,28.821
Ca Mg N S       ,124,10.559,29.367,8.345,12.86,27.591
Br Ca F Mg      ,125,10.569,29.261,7.468,13.213,30.454
Cl I La Mg      ,125,10.796,28.896,6.27,13.211,30.106
F I Mg Zr       ,126,10.612,29.286,7.59,13.481,30.321
I La Mg S       ,126,10.732,29.187,6.234,13.308,29.507
Ca Cl Mg N      ,127,10.624,29.078,8.372,12.759,28.231
F Mg S Y        ,128,10.627,29.16,7.959,13.634,28.303
Br I Mg Y       ,129,10.655,29.692,5.818,13.904,30.365
Br Mg S Ta      ,130,10.656,29.734,6.371,11.889,29.822
B Mg N O        ,131,10.659,27.806,10.456,12.349,26.751
Cl F Mg Y       ,132,10.692,28.87,7.987,13.54,28.927
Br Cl Mg Ta     ,133,10.721,29.449,6.407,11.781,30.415
Br Mg N Zr      ,134,10.734,29.876,8.432,12.712,29.331
Li Mg N S       ,134,11.366,29.496,8.212,11.145,28.655
Cl Li Mg N      ,134,11.427,29.209,8.239,11.029,29.272
Br K Mg N       ,134,14.141,29.649,7.943,11.189,28.956
I K Mg N        ,134,14.326,29.414,7.923,11.727,28.899
I Mg O Y        ,135,10.748,28.223,6.201,13.981,27.773
Ca F I Mg       ,136,10.815,29.024,7.447,13.672,30.4
Br Ca Mg N      ,137,10.935,29.618,8.303,12.914,29.412
I Mg N Zr       ,138,10.977,29.643,8.413,13.188,29.274
F La Mg S       ,138,11.075,28.903,8.225,13.08,29.214
Mg N S Y        ,139,10.991,29.519,8.747,13.345,27.178
Br F Mg Y       ,140,11.001,29.413,7.915,13.686,30.08
Br I Li Mg      ,141,11.041,29.67,4.977,11.809,31.694
Cl Mg N Y       ,142,11.054,29.232,8.773,13.248,27.827
F Mg O Y        ,143,11.091,27.93,8.201,13.764,27.462
Br I La Mg      ,144,11.102,29.439,6.177,13.361,31.216
Br I Mg Sr      ,145,11.114,29.173,5.379,12.87,31.358
B F Mg N        ,146,11.153,28.774,11.542,12.517,29.083
Ca I Mg N       ,147,11.173,29.384,8.284,13.383,29.356
F I Mg Y        ,148,11.238,29.177,7.895,14.129,30.025
F Mg S Ta       ,149,11.239,29.22,8.311,12.152,29.477
Br I Mg Ta      ,150,11.265,29.751,6.291,12.454,31.462
F Mg N Zr       ,151,11.313,29.364,9.979,12.958,28.979
La Mg N S       ,151,11.425,29.265,8.99,12.778,28.126
Cl La Mg N      ,151,11.486,28.975,9.015,12.677,28.754
F K Mg N        ,151,14.585,29.133,9.569,11.468,28.601
Br Mg N Y       ,152,11.353,29.769,8.707,13.398,29.024
F La Mg O       ,152,11.521,27.661,8.46,13.215,28.401
Br F Li Mg      ,153,11.375,29.391,7.319,11.551,31.421
Br F La Mg      ,154,11.435,29.158,8.183,13.134,30.94
Ba F I Mg       ,154,12.705,28.919,7.839,12.995,30.262
Mg N O Y        ,155,11.44,28.304,8.967,13.477,26.301
Br F Mg Sr      ,156,11.447,28.89,7.598,12.634,31.083
Ca F Mg N       ,157,11.504,29.102,9.87,13.157,29.061
I Mg N Y        ,158,11.583,29.535,8.689,13.85,28.968
Mg N S Ta       ,159,11.584,29.578,9.069,11.827,28.399
Br F Mg Ta      ,160,11.593,29.473,8.269,12.21,31.188
F I Li Mg       ,161,11.604,29.155,7.297,12.073,31.369
Cl Mg N Ta      ,162,11.643,29.291,9.094,11.717,29.021
F I La Mg       ,163,11.663,28.92,8.164,13.595,30.886
F I Mg Sr       ,164,11.674,28.649,7.578,13.113,31.03
Br Li Mg N      ,165,11.716,29.747,8.169,11.208,30.412
Br La Mg N      ,166,11.774,29.517,8.951,12.833,29.914
Ba Br Mg N      ,166,12.807,29.516,8.656,12.196,29.27
Ba I Mg N       ,166,13.011,29.281,8.638,12.692,29.213
Br Mg N Sr      ,167,11.785,29.251,8.42,12.322,30.062
F I Mg Ta       ,168,11.818,29.237,8.25,12.705,31.135
F Mg N Y        ,169,11.902,29.255,10.212,13.631,28.669
Br Mg N Ta      ,170,11.928,29.827,9.03,11.886,30.171
I Li Mg N       ,171,11.939,29.513,8.15,11.745,30.358
I La Mg N       ,172,11.995,29.282,8.934,13.305,29.859
I Mg N Sr       ,173,12.007,29.014,8.402,12.812,30.008
I Mg N Ta       ,174,12.146,29.594,9.013,12.394,30.116
Ba Br I Mg      ,175,12.192,29.439,5.742,12.75,30.599
F Li Mg N       ,176,12.248,29.233,9.758,11.486,30.074
F La Mg N       ,177,12.304,28.999,10.422,13.077,29.57
Ba F Mg N       ,177,13.296,28.998,10.169,12.452,28.918
F Mg N Sr       ,178,12.315,28.729,9.969,12.575,29.72
F Mg N Ta       ,179,12.451,29.315,10.49,12.149,29.829
