vectors,scores,scaled
O F Na Sr W,14.19,0.483
Li O F Mo Ba,13.766,0.446
Li O F Ba W,14.844,0.541
O F Na Mo Ba,13.79,0.448
O F Na Ba W,14.866,0.543
N O Zr Yb W,14.505,0.511
N O Y Zr W,14.183,0.483
N O Zr Gd W,15.459,0.595
N O Zr Sm W,14.628,0.522
N O Zr Nd W,15.091,0.562
O F Ti As Sr,11.325,0.232
O F Ti Sr Sb,11.632,0.259
Li O F S Co,12.815,0.363
O Na S K Pu,17.482,0.772
N O Al Si Ca,10.392,0.15
Li O F S Fe,14.342,0.497
B O Na S I,11.211,0.222
B O Na S Br,10.914,0.196
B O S Cl Cs,14.779,0.535
B O S Cl Rb,13.395,0.414
B O Na S Cl,10.432,0.154
O Cl Mn Co Ba,13.792,0.448
N Cl Ca Br Sr,11.89,0.282
O Na Si Cl Ho,11.13,0.215
O S Ca Fe Cu,13.893,0.457
O Si Cl Mn Ba,11.615,0.258
O Si Cl Fe Ba,14.632,0.522
C N Cl Cu Cs,16.072,0.648
C N Cu Br Cs,16.388,0.676
Li C N I Eu,13.942,0.462
O F Ga In Pt,12.167,0.306
O F Na Si Ce,15.373,0.587
O Cl Cu Te Dy,10.898,0.195
O Cl Cu Te Er,10.925,0.197
O Cu Br Te Er,11.386,0.237
O Cl Mn Te Sm,11.689,0.264
O Cu Br Te Dy,11.359,0.235
O Cl Cu Te Nd,12.082,0.298
O F Si Ba La,13.084,0.386
O Cl Ca Cu Te,10.266,0.139
O F Na Si Sn,10.975,0.201
C O F S Rb,14.298,0.493
Li O F P V,11.186,0.22
C N In I Eu,13.367,0.411
O Cl Se Cs La,15.63,0.61
N O Na P Ti,11.526,0.25
O Cu Br Sr Te,11.42,0.24
C O F S Ca,11.063,0.209
C O F S Cu,10.933,0.198
C O F S Zn,10.529,0.162
C O F Mg S,10.401,0.151
C O F S Ba,12.522,0.337
Be O Na Si Cl,10.166,0.131
B C N F K,14.373,0.499
C O F Na Yb,13.13,0.39
N S Cl Fe Te,13.805,0.45
B O Al Cl Ba,11.595,0.256
B O Cl Ga Ba,11.68,0.263
O F P K Ti,12.978,0.377
O S Nb I La,12.388,0.325
O Cl Nb Cs La,16.523,0.688
O Cl Rb Nb La,15.297,0.58
O Cl Cu Se Sr,10.574,0.166
Al Cl Br Sb Te,9.576,0.079
Al Cl Br Te Bi,11.627,0.259
N O Al La Eu,13.19,0.396
O F P Ca Pb,12.076,0.298
Li O F S Ni,10.658,0.174
N O Si Ba Eu,13.478,0.421
O P Cl As Pb,10.72,0.179
Li N O La Ta,14.603,0.52
O F Mn Se Ba,12.263,0.314
Li O F P Co,12.799,0.361
C O F S Ag,10.967,0.201
F S Ca Y Ce,15.819,0.626
F S Sr Y Ce,16.279,0.667
Li B C O F,12.094,0.3
N O Si Y Ce,15.686,0.615
O F Fe Co Sr,16.256,0.665
N O Al Si Ba,11.933,0.285
N O Na Mg P,10.868,0.192
N O Si Sr Eu,12.728,0.355
N O Si Ca Ba,12.451,0.331
O Na Cl Cu Se,10.417,0.152
N O Na P V,11.531,0.25
O Cl Se Nb Pb,12.07,0.297
O Cl Cu Se Pb,11.366,0.236
O Cl Cu Te Pb,11.727,0.267
O F Fe Sr La,15.757,0.621
N O Al Ca Gd,13.26,0.402
O F Na S Mn,11.276,0.228
O Na S Cl Mn,10.614,0.17
O Na S Cl Fe,13.851,0.454
O F Si Rb Lu,15.248,0.576
O F Mg P Fe,13.425,0.416
O F S Nd Bi,13.741,0.444
Be B O F Ca,10.961,0.2
O F Zr In Ba,12.796,0.361
O F Si K Eu,13.94,0.461
N O Si Ca Ce,15.233,0.575
O F Na P Co,12.824,0.364
N O Mg P Sr,11.019,0.205
C O F P Ba,12.505,0.336
N O Na Ga Ge,11.053,0.208
O F Cl K V,12.993,0.378
O F Cl K Mo,13.529,0.425
O F K Br Nb,13.861,0.455
O Cl Mn Pb Bi,13.518,0.424
O Cl Te I Bi,11.987,0.29
O F Te Xe Hg,16.179,0.658
O F Kr Te Hg,15.504,0.599
O S Cu Y Te,10.934,0.198
O S Cu Te Nd,12.089,0.299
O S Cu Te Sm,11.506,0.248
O S Cu Te Eu,11.497,0.247
O S Cu Te Gd,12.546,0.339
O S Cu Te Tb,10.986,0.202
O S Cu Te Dy,10.906,0.195
O S Cu Te Ho,10.911,0.196
O S Cu Te Er,10.933,0.198
O S Cu Te Tm,11.025,0.206
O S Cu Te Yb,11.349,0.234
O S Cu Te Lu,11.94,0.286
O F S Ce Bi,16.114,0.652
Li N O Sr Ta,14.305,0.493
N O Na Sr Ta,14.328,0.495
Li N O Ba Ta,14.976,0.552
N O Na Ba Ta,14.998,0.554
O Si Cl Sr Eu,11.846,0.278
O F Ti Se Cs,15.361,0.586
O F Na Mn Ni,11.451,0.243
O F S Sm Bi,13.231,0.399
O S La Er Yb,13.254,0.401
O F Mn As Nd,12.457,0.331
O Si Cl Ca Fe,13.405,0.415
B O Na K Br,13.736,0.444
B O Cl Ba Pb,13.388,0.413
B O Br Ba Pb,13.766,0.446
Li B O F P,11.057,0.209
N O Sr Mo W,14.558,0.516
O F Si Ca La,11.696,0.265
O Al Cl Te Pb,11.302,0.23
S Fe Br Sb Bi,15.036,0.558
O Nb I Ba Bi,14.627,0.522
O Cl Sr Nb Bi,13.321,0.407
S Se Sb I Hg,11.456,0.244
C O I Cs Pb,17.124,0.741
C O F K Ba,15.045,0.558
C O F Rb Ba,15.942,0.637
O F S As Xe,14.43,0.504
O F Mg K Ge,12.418,0.328
O P Cl Sn Nd,11.634,0.259
N O F Sb Cs,15.726,0.618
N O F Rb Sb,14.433,0.505
C O Cl Ru Sb,10.9,0.195
C O S Mn Fe,14.343,0.497
O F Na S Sb,10.78,0.184
N F S Mn As,10.778,0.184
O F V Mo Cs,16.308,0.669
Be O Si S Zn,8.974,0.026
O P Cl Ca Pb,11.46,0.244
C O F Al Sr,11.825,0.276
O P S Ca Eu,11.226,0.223
N O Zn I Cs,15.732,0.619
N O Co I Cs,17.272,0.754
O F S K Ca,12.976,0.377
O P Cl Ca Co,11.769,0.271
O Cl La Ta U,14.734,0.531
O Cl Cu Se Er,10.537,0.163
O F Cl Rb Nb,14.479,0.509
C O Cl Sc Re,13.063,0.385
O Br Cs Ba Ta,17.976,0.815
N O Ca Sr W,14.039,0.47
O F K Ti Rb,16.316,0.67
O S V Ba Pu,16.581,0.693
O S Fe Ba Pu,18.844,0.891
O F Co Y Ba,14.736,0.531
C O F K Pb,14.97,0.552
O F Ti Sr Ru,12.234,0.312
N O Cr Cs Pu,19.807,0.976
N O F Na S,11.479,0.246
O Cl Ti Cr Bi,12.624,0.346
O Cl Ti Fe Bi,15.175,0.57
O Cl Ti Mn Bi,12.293,0.317
C O F Na Lu,13.645,0.436
O Cl Fe Se Bi,14.655,0.524
C O F Rb Pb,15.871,0.631
C O F Cs Pb,17.056,0.735
Li B O F Ba,13.13,0.39
B O F Na Ba,13.155,0.393
O F Fe Ba Bi,16.694,0.703
O Cl V Se Pb,11.518,0.249
O F V Se Pb,12.131,0.303
O Cl Fe Pb Bi,16.184,0.658
B N O Si La,11.905,0.283
O Na Cl As Sb,10.03,0.119
C O F Mg Rb,14.336,0.496
N O Si Ba La,13.356,0.41
O F Na Mo W,14.193,0.484
O Cl Cu Nb Pr,13.195,0.396
O S Co Y Te,12.717,0.354
O S Co Te Nd,13.722,0.442
O S Co Te Sm,13.212,0.398
O S Co Te Eu,13.204,0.397
O S Co Te Gd,14.126,0.478
O S Co Te Tb,12.761,0.358
O S Co Te Dy,12.692,0.352
O S Co Te Ho,12.696,0.352
O S Co Te Er,12.716,0.354
O S Co Te Yb,13.075,0.386
O S Co Te Lu,13.591,0.431
O S Zn Te Sm,11.123,0.214
O S Zn Te Gd,12.195,0.308
O S Zn Te Dy,10.5,0.16
O S Zn Te Ho,10.505,0.16
O S Zn Te Er,10.529,0.162
O S Zn Te Yb,10.96,0.2
O F S K Fe,15.784,0.623
C O F K Cd,13.481,0.421
Li C O F Al,11.657,0.261
O F Na Nb Pb,13.663,0.437
B O Cl Ge Ba,11.482,0.246
B O Ge Br Ba,11.922,0.284
O F Cr Sr La,13.318,0.407
N O Ti Sr La,13.237,0.4
B O F Zn Ba,12.25,0.313
O Cl Fe Br Te,13.556,0.428
O F P Ca V,10.692,0.177
O Mg Cl Co Te,11.546,0.252
O F K Ca Nb,14.048,0.471
P S Cu Se Br,9.326,0.057
Li O Cl V Ba,12.679,0.351
O Si P Cl La,10.322,0.144
Li O Cl Nb La,12.757,0.358
O Cl Fe Cu Te,13.643,0.435
C O Br Ru Ba,13.148,0.392
C O F Ca Ba,13.119,0.389
S Cl As I Pb,11.287,0.229
O F P Zn Bi,11.673,0.263
O F P Cu Bi,12.039,0.295
S Cl As Cs Ce,18.066,0.823
N O Al Si Eu,11.602,0.256
Li N O Si Tb,12.106,0.301
O F Cl La Ta,13.407,0.415
C N O Si Y,11.954,0.287
O Cl Ca Mn Fe,14.045,0.471
N O Fe Sr Mo,15.716,0.617
O F Fe Ba La,16.369,0.674
B O Fe Zn Br,13.863,0.455
B O F Mg Ba,12.14,0.304
O F As Br Kr,14.034,0.47
C N O F P,11.321,0.232
O F As Br Xe,14.776,0.535
O F Si K Y,13.479,0.421
B N O V Zn,11.111,0.213
O Cl Ti Fe Pb,15.11,0.564
O F P Mn Fe,14.001,0.467
O F Se La Bi,13.109,0.389
O F S La Bi,13.099,0.388
N O Si Ca La,11.999,0.291
C N F Sr La,13.882,0.456
Li O S Mn Sr,11.927,0.285
N F S As Xe,15.004,0.555
O Cl Mo Te Nd,12.794,0.361
O Cl Te Nd W,13.947,0.462
O Cl Mo Te Pr,13.094,0.387
O Cl Te Pr W,14.224,0.486
O F Fe Se Ba,15.151,0.568
O F S Fe Sr,14.479,0.509
O F S Fe Ba,15.142,0.567
O F Fe Se Sr,14.488,0.51
O F Si K Sm,13.947,0.462
N O Cl Cs Pb,16.563,0.691
O F P Ba Pu,16.52,0.688
N O K Pd Ag,14.224,0.486
N O K Ag Pt,14.931,0.548
N O Rb Pd Ag,15.17,0.569
O F Na S Sn,11.006,0.204
Li B O F Mg,11.125,0.215
Li B O F Ca,11.747,0.269
O Na S Ba Pu,16.905,0.721
Al Cl Se Br Bi,11.263,0.227
O Cl Se Cs Nd,16.172,0.657
O S La Pb Bi,14.307,0.494
B O Na Br Rb,14.713,0.529
B O Na Cl Rb,14.36,0.498
Li B O F Rb,14.834,0.54
O F Na P Ni,10.669,0.175
B O Cl K Zn,12.466,0.332
N O Si Sr Ba,13.03,0.382
O S Zr La Ta,13.629,0.434
O S Ti La Ta,13.469,0.42
O S Ti Nb La,12.354,0.322
Li O F S Cu,11.049,0.208
O S Se La Bi,12.551,0.34
O F Si Sr La,12.31,0.319
O Cl As Sr Ba,12.152,0.305
C N S Cu Ge,11.053,0.208
O F Si Ti Ba,12.179,0.307
Be B O F Tl,12.445,0.33
C O P S W,12.384,0.325
Li B O F Nd,13.364,0.411
C N O K Tc,14.148,0.48
Li O F S Zn,10.649,0.173
C N F S Sc,12.041,0.295
O S Co Cu Ba,13.637,0.435
O S Co Cu Sr,12.896,0.37
N O Ti Sr Nb,12.866,0.367
O F P Cu Rb,13.889,0.457
O F P K Cu,12.849,0.366
N O P Cl Ba,11.824,0.276
O Na Cl V Cs,15.75,0.62
P S Cl Cu As,8.678,0.0
P S Cu As Br,9.251,0.05
P S Cu As I,9.6,0.081
C O Na Cl Co,13.19,0.396
B O Cl Y Ba,12.692,0.352
B O Cl Ba Gd,14.105,0.476
B O Cl Ba Lu,13.569,0.429
C O F K Sr,14.377,0.5
C O F Ca Rb,14.824,0.539
C O F Rb Sr,15.314,0.582
C O F Ca Cs,16.086,0.65
C O F Cs Ba,17.122,0.741
O F Fe Sr Ba,16.104,0.651
O F Na Mg S,10.553,0.164
O F Na S Cu,11.078,0.211
O F Na S Zn,10.679,0.176
O F Na S Co,12.841,0.365
O F Na S Fe,14.365,0.499
O F K Rb W,17.648,0.787
O F Na Mo Ag,12.395,0.326
O F Na Ag W,13.582,0.43
B C O Cl Ba,12.465,0.332
C O F Mo Sb,11.966,0.288
C O F Fe Sb,14.46,0.507
C N S Zn Hg,12.539,0.339
N O Cl K Zn,12.8,0.361
B C N F Cs,16.535,0.689
O F Cl As Te,9.53,0.075
O F As Br Te,10.055,0.121
C O F Sb W,13.192,0.396
O Cl Ti Nb In,11.143,0.216
O Cl Ti Nb Tl,12.8,0.361
C N S K Re,15.371,0.587
C O F Sb Pt,12.748,0.357
C O F Pd Sb,11.912,0.284
C N S K Ag,13.871,0.455
O Cl Ti Nb Cs,15.816,0.626
O F Sb Te Cs,15.31,0.582
O Cu Se Br Bi,11.892,0.282
O Cl Nb Lu Pb,14.062,0.472
C N O K Fe,16.73,0.706
C O F Ba Pb,14.292,0.492
O Cl Co Se Ba,13.176,0.394
O Cr I Cs Pu,19.684,0.965
O K Cr I Pu,17.907,0.809
O Cr Rb I Pu,18.667,0.876
O K Mo I Pu,18.047,0.822
Li O F Mg S,10.522,0.162
O Na S K V,13.47,0.42
O P Cl Cu Cs,14.744,0.532
O F P Nb Ba,12.718,0.354
Li O S Rb Cs,18.139,0.83
C O F Sb Ir,12.572,0.342
B N O F Fe,14.633,0.522
N O F P Fe,14.165,0.481
O Na S K Ce,17.095,0.738
O Cl K Ti Nb,13.54,0.426
O Si Cl As Pb,10.707,0.178
O F Si Y Ba,12.722,0.355
Li O F Si Y,11.758,0.27
O Mg S K Ca,12.456,0.331
O F Cd Pb Bi,13.618,0.433
F S Sr Ce Bi,16.885,0.72
F S Sr Nd Bi,14.638,0.523
F S Sr Pr Bi,14.902,0.546
F S Sr Sm Bi,14.16,0.481
O F Te Cs Hg,16.501,0.686
N O Al Si Gd,12.642,0.348
S Cl I Cs Pu,18.909,0.897
O F Si Ca Ce,14.995,0.554
O Cl Se Te W,11.786,0.273
N O Al Si Pr,12.504,0.336
O F S Ag Sb,10.13,0.127
O S Fe La W,16.277,0.666
O S Ni La W,13.147,0.392
O S Cr La W,13.928,0.46
O S Co La W,14.949,0.55
O S Mn La W,13.629,0.434
Li O F Si Ca,11.147,0.216
O F Si K Ca,12.949,0.375
O F Si K La,13.821,0.451
C N Ni Br Cs,16.128,0.653
C N Cl Ni Cs,15.806,0.625
C N Ni Br Rb,14.869,0.543
C N Cl Ni Rb,14.52,0.512
O Cl Cu Zn Te,9.687,0.089
F Na Cl K Pb,14.916,0.547
O Cl Se Y Cs,15.328,0.583
Li O Si Cl Eu,11.678,0.263
O Cl K V Cu,12.921,0.372
O Cl K V Ba,14.29,0.492
O Cl K V Cd,12.632,0.347
C O Cl Cu Nd,12.686,0.352
N O Na Cl Gd,13.581,0.43
O Cl V Rb Cd,13.689,0.439
O Cl V Cd Tl,11.835,0.277
C N S Cl Pb,12.527,0.338
B Cl Sr Zr I,12.013,0.292
Li O F S La,12.177,0.307
Li O F S Er,11.786,0.273
N O Al Si Sm,11.611,0.257
C N O S Cl,10.681,0.176
C N O F Sb,11.598,0.256
C N O F As,11.291,0.229
C O F Sb Au,12.761,0.358
O Ti Se I Pr,12.869,0.368
O F Al Si Cu,9.897,0.107
C N O Na Si,11.847,0.278
F Br I Ba Pb,14.241,0.488
O F Na S Pr,13.189,0.396
N F Cl K W,15.192,0.571
Li N O Ca Re,13.754,0.445
O F S Co Sb,12.002,0.291
O F S Co As,11.705,0.265
O F S Mn As,9.964,0.113
O F S Cu As,9.739,0.093
O F As Te Xe,14.726,0.53
O F As Se Xe,14.44,0.505
Li N O Cr Sr,13.115,0.389
O F S Mn Rb,14.062,0.472
O F S Mn Cs,15.387,0.588
O Cl Se Cs Tm,15.393,0.589
B N P Cl Br,10.422,0.153
O Cl Se Mo Hf,12.348,0.322
O Cl Se Zr Mo,10.935,0.198
C N O Nb Ba,13.891,0.457
O Cl Mn Se Sm,11.327,0.232
O Cl Co Se Sm,12.886,0.369
O Cl Cu Se Gd,12.202,0.309
C O Al Cl Rh,10.552,0.164
C O Cl Ga Rh,10.645,0.173
C O F Na S,11.57,0.254
O F Cl Mo Ag,11.255,0.226
O Se Br Cs Sm,16.065,0.648
F Cl Ca Br Ba,12.403,0.327
O Cl Cu Sb Te,9.798,0.098
C O S Cl Mo,11.079,0.211
C N Cl K Pt,15.117,0.565
C N K Br Pt,15.454,0.594
C N K I Pt,15.665,0.613
O Cl Cu Te Bi,11.81,0.275
Be O F S Ba,11.895,0.282
B C N O Ba,13.306,0.406
N O F S As,10.193,0.133
B N O F S,10.866,0.192
C N Cl Ag Cs,16.095,0.65
C N Ag I Cs,16.61,0.696
N O Ca Sr Mo,12.893,0.37
Li C N Br Eu,13.705,0.441
Li C N Br Sr,13.264,0.402
C O F S Cs,15.603,0.607
N O Si Br Nd,12.49,0.334
N O Si Br Ce,15.061,0.56
Li N O F S,11.451,0.243
O S Cl K Am,16.835,0.715
O S Cl Rb Am,17.641,0.786
O F S Zn As,9.283,0.053
F Na K Br Pb,15.256,0.577
O Cl Zn Te Ba,11.45,0.243
O Cl Mn W Bi,14.011,0.468
O F S As Cd,9.353,0.059
O F P Sr Pb,12.672,0.35
N O I Ba La,13.99,0.466
N O I Ba Ce,16.846,0.716
O S K Cs Pt,18.017,0.819
O F Si Y Cs,15.764,0.621
O Cl Cu Sr Te,10.96,0.2
C N S Cs Re,17.409,0.766
O F V Cu Cs,15.756,0.621
O F P Cs Am,19.086,0.913
N O Sr Ba Bi,14.829,0.539
F Na Cl Br Ba,12.857,0.366
C N F S Cl,11.126,0.215
O Cl Se Rb Er,13.997,0.466
O Na Si Ga I,10.797,0.186
O Cl Ca Se Nd,11.853,0.278
O Cl Se Sr Nd,12.46,0.332
N O Si Cl Ba,11.813,0.275
Si S Cl Ag Ce,14.27,0.49
O Cu Br Te Ba,12.25,0.313
O Cl Ca Co Te,12.146,0.304
O Cl Co Sr Te,12.739,0.356
O Cl Ni Sr Te,10.566,0.166
O Cl V Mn Cs,15.433,0.592
O V Mn Br Cs,15.763,0.621
O Cl V Mn Rb,14.113,0.477
O Cl V Cu Cs,15.289,0.58
N O Se I Pr,13.089,0.387
O F Si Se Er,10.601,0.169
O Cl Cu Te Yb,11.341,0.234
O S Cl K Hg,13.504,0.423
O S K Br Hg,13.879,0.456
C N Cl Rb Pt,16.011,0.643
O F Si Ba Ce,16.102,0.651
O Cl Co Se Sr,12.408,0.327
O Cl Ni Se Sr,10.165,0.13
Li C N F Pr,14.621,0.521
O Na Te I Lu,13.174,0.394
C N O Si Ba,12.779,0.36
C N F As Te,11.466,0.245
C N F Zn As,11.254,0.226
Li N O Si Sr,12.091,0.299
O S Cl Ta Pu,16.337,0.672
C N O Si La,12.339,0.321
C N O Si Pr,13.314,0.407
Na S Cl Ge Eu,11.54,0.251
N O Na Cl Ce,15.621,0.609
Li N F Ga Ba,13.449,0.418
C N Br Cs Pt,17.482,0.772
C N I Cs Pt,17.669,0.788
C N Rb I Pt,16.528,0.688
Li O F La Ta,14.354,0.498
Li O F Nb La,13.313,0.406
S Cl Cu Br Bi,11.677,0.263
O Cl Mo Cs U,16.946,0.725
N O Cl Cs Pu,19.157,0.919
O Cl Br Te Ba,11.723,0.267
S Cl Zn Se Hg,10.594,0.168
O F Na K W,15.519,0.6
O F Si Sc Rb,14.184,0.483
Li N F Sr Ta,14.641,0.523
N O P Br Ba,12.25,0.313
Li N O Si La,12.441,0.33
O F Si Se Pr,12.115,0.301
O Cl Se Pd Pb,12.067,0.297
O Cl Pd Te Pb,12.407,0.327
N O Cr Rb Pu,18.796,0.887
B O F Na S,11.106,0.213
O P Cl Fe Sb,13.06,0.384
O Cl K I Bi,14.305,0.493
B O F Al Pb,12.111,0.301
O S Cl Ge Hg,10.624,0.171
Al Cl Br Ru Bi,12.119,0.302
O P Cl Cu Rb,13.356,0.41
O Na P Cl Cu,10.383,0.15
O P Fe Br Sb,13.448,0.418
O F P Mn Cs,15.373,0.587
Li O F P Mn,11.228,0.224
O F P Mn Rb,14.047,0.471
O F Na S V,11.234,0.224
F S Cr Ga Ba,12.585,0.343
F S Mn Ga Ba,12.253,0.313
F S Fe Ga Ba,15.143,0.567
F S Mn In Ba,12.485,0.334
O F P Fe Cs,17.762,0.797
C N O Cl La,12.359,0.323
O Cl Ca Fe Se,13.441,0.418
B O F Na P,11.086,0.211
O S Cl K Mo,12.989,0.378
Li O F Mg P,10.501,0.16
S Cl Ga As Hg,10.57,0.166
O Br Sr Nb Bi,13.701,0.441
O Na Cl Y Te,11.563,0.253
Al Cl Se Br Sb,9.13,0.04
O F Co Ni Sb,12.166,0.306
C N F Mg Ba,13.221,0.398
N O Mg P Ca,10.328,0.145
Na S Cl Ge Ba,11.872,0.28
O Si Mn Br Te,10.202,0.134
O Si Cl Mn Te,9.685,0.088
S Ge Br Ba Pb,13.111,0.389
S Ge Br Sn Ba,11.633,0.259
O Cl Cd Te Sm,11.173,0.219
O Cl Cd Te Eu,11.164,0.218
O Cl Cd Te Gd,12.241,0.312
C N O Fe Ag,14.951,0.55
O P Cl Fe Te,13.162,0.393
O F P Ti Cs,15.338,0.584
B O F Mg Rb,13.965,0.464
B O F Mg Cs,15.298,0.581
O Cl V Mn Sb,10.38,0.149
O F Si K Pr,14.699,0.528
O F Na Si Eu,12.31,0.318
O F Si Ca Eu,11.835,0.277
O F Si Ca Sm,11.844,0.278
O F Na Si Nd,12.864,0.367
O F Si Ba Pr,14.008,0.467
Al S Cl Ag Bi,11.387,0.238
Al S Cl Cu Bi,11.355,0.235
N O F Sb Xe,15.388,0.588
S K Br Sn Ba,14.311,0.494
S Cl K Sn Ba,13.948,0.462
Na S Cl Sn Ba,12.319,0.319
S Cl Sn Cs Ba,16.166,0.657
O F S As Hg,11.233,0.224
O Cl V Co Ba,13.757,0.445
O F Na Si Tm,11.87,0.28
O F Na Si Er,11.784,0.272
O F Na Si Ho,11.764,0.271
O F Na Si Dy,11.759,0.27
O F Na Si Pr,13.163,0.393
O F Na Si Tb,11.833,0.277
O F P Mn Ba,12.234,0.312
O Cl Te Cs Sm,16.004,0.642
O Br Rb Te Nd,15.529,0.601
O F Si K U,14.284,0.492
C O F S Te,10.756,0.182
O F Ti Sr Bi,13.371,0.412
S Cl K Sb Ba,13.769,0.446
Li C N S K,14.329,0.496
O F Si Cs Er,15.763,0.621
O F Na Ge Nd,12.893,0.37
O P S K Sb,12.01,0.292
O P S Rb Sb,13.117,0.389
O P Cl Cu La,10.94,0.198
O Si S In Ba,11.341,0.233
N Si Cl Ba La,13.175,0.394
O F Si K Pu,17.102,0.739
O F Na Ge Pr,13.192,0.396
