phases,target,natom
Al Ge V,0,3
Al Ge W,0,3
Al Ge Y,0,3
Al Ge Yb,0,3
Al Hf,0,2
Al Hf Ho,0,3
Al Hf Ir,0,3
Al Hf Ir V,0,4
Al Hf Mn,0,3
Al Hf Mo,0,3
Al Hf Ni,0,3
Al Hf Os,0,3
Al Hf Pd,0,3
Al Hf Pt,0,3
Al Hf Rh,0,3
Al Hf Rh V,0,4
Al Hf Rh Zr,0,4
Al Hf Ru,0,3
Al Hf Sb,0,3
Al Hf Tb,0,3
Al Hf Ti,0,3
Al Hf W,0,3
Al Hf Zn,0,3
Al Ho,0,2
Al Ho Ir,0,3
Al Ho Mg,0,3
Al Ho Mn,0,3
Al Ho Mo,0,3
Al Ho Nd,0,3
Al Ho Ni,0,3
Al Ho Pd,0,3
Al Ho Pr,0,3
Al Ho Pt,0,3
Al Ho Re,0,3
Al Ho Rh,0,3
Al Ho Ru,0,3
Al Ho Tb,0,3
Al Ho W,0,3
Al Ho Zn,0,3
Al Ho Zr,0,3
Al In Li,0,3
Al In Ni,0,3
Al In Sb,0,3
Al In Sr,0,3
Al In Ti,0,3
Al Ir,0,2
Al Ir Li,0,3
Al Ir Lu,0,3
Al Ir Mn,0,3
Al Ir Nb,0,3
Al Ir Sc,0,3
Al Ir Th,0,3
Al Ir Ti,0,3
Al Ir U,0,3
Al Ir Y,0,3
Al Ir Zr,0,3
Al K Na Sb,0,4
Al K Sb,0,3
Al K Sn,0,3
Al La,0,2
Al La Lu,0,3
Al La Mg,0,3
Al La Mg Ni,0,4
Al La Mn,0,3
Al La Mn Ni,0,4
Al La Mn Sb,0,4
Al La Mn Sn,0,4
Al La Mo,0,3
Al La Mo Ni,0,4
Al La Nd,0,3
Al La Ni,0,3
Al La Ni Ru,0,4
Al La Ni U,0,4
Al La Pd,0,3
Al La Pr,0,3
Al La Pt,0,3
Al La Rh,0,3
Al La Ru,0,3
Al La Sc,0,3
Al La Sn,0,3
Al La Ti,0,3
Al La U,0,3
Al La V,0,3
Al La Y,0,3
Al La Yb,0,3
Al La Zn,0,3
Al Li,0,2
Al Li Mg,0,3
Al Li Mg Zn,0,4
Al Li Ni Zr,0,4
Al Li Pd,0,3
Al Li Pt,0,3
Al Li Rh,0,3
Al Li Sb Sr,0,4
Al Li Sn,0,3
Al Li Zn,0,3
Al Lu,0,2
Al Lu Mn,0,3
Al Lu Mo,0,3
Al Lu Ni,0,3
Al Lu Os,0,3
Al Lu Pd,0,3
Al Lu Pt,0,3
Al Lu Re,0,3
Al Lu Rh,0,3
Al Lu Rh U,0,4
Al Lu Ru,0,3
Al Lu V,0,3
Al Lu W,0,3
Al Lu Yb,0,3
Al Lu Zn,0,3
Al Mg,0,2
Al Mg Mn,0,3
Al Mg Mo,0,3
Al Mg Na Zn,0,4
Al Mg Nd,0,3
Al Mg Nd Ni,0,4
Al Mg Ni Y,0,4
Al Mg Pr,0,3
Al Mg Pt,0,3
Al Mg Sc,0,3
Al Mg Sr,0,3
Al Mg Ta,0,3
Al Mg Tb,0,3
Al Mg Ti,0,3
Al Mg Tm,0,3
Al Mg V,0,3
Al Mg W,0,3
Al Mg Y,0,3
Al Mg Yb,0,3
Al Mg Zn,0,3
Al Mn,0,2
Al Mn Mo,0,3
Al Mn Nb,0,3
Al Mn Nb V,0,4
Al Mn Nd,0,3
Al Mn Nd Zn,0,4
Al Mn Ni,0,3
Al Mn Os,0,3
Al Mn Pd,0,3
Al Mn Pr,0,3
Al Mn Pt,0,3
Al Mn Pu,0,3
Al Mn Rh,0,3
Al Mn Ru,0,3
Al Mn Ru Yb,0,4
Al Mn Sb Yb,0,4
Al Mn Sc,0,3
Al Mn Sm,0,3
Al Mn Sm Zn,0,4
Al Mn Ta,0,3
Al Mn Tb,0,3
Al Mn Tc,0,3
Al Mn Th,0,3
Al Mn Ti,0,3
Al Mn Ti V,0,4
Al Mn Tm,0,3
Al Mn U,0,3
Al Mn V,0,3
Al Mn W Yb,0,4
Al Mn Y,0,3
Al Mn Y Zn,0,4
Al Mn Yb,0,3
Al Mn Yb Zn,0,4
Al Mn Zn,0,3
Al Mn Zr,0,3
Al Mo,0,2
Al Mo Nb,0,3
Al Mo Nb Sn,0,4
Al Mo Nb Ta,0,4
Al Mo Nb V,0,4
Al Mo Nb W,0,4
Al Mo Nd,0,3
Al Mo Ni,0,3
Al Mo Ni Re,0,4
Al Mo Ni W,0,4
Al Mo Pd,0,3
Al Mo Sm,0,3
Al Mo Ta,0,3
Al Mo Ta V,0,4
Al Mo Ta W,0,4
Al Mo Tb,0,3
Al Mo Th,0,3
Al Mo Ti,0,3
Al Mo Tm,0,3
Al Mo U,0,3
Al Mo V,0,3
Al Mo V W,0,4
Al Mo Y,0,3
Al Mo Yb,0,3
Al Mo Zr,0,3
Al Na Sb,0,3
Al Na Sb Sr,0,4
Al Na Sn,0,3
Al Nb,0,2
Al Nb Ni,0,3
Al Nb Pd,0,3
Al Nb Rh,0,3
Al Nb Ru,0,3
Al Nb Sb,0,3
Al Nb Sn,0,3
Al Nb Sn V,0,4
Al Nb Ta,0,3
Al Nb Ta V,0,4
Al Nb Ta W,0,4
Al Nb Ti,0,3
Al Nb U,0,3
Al Nb V,0,3
Al Nb V W,0,4
Al Nb W,0,3
Al Nb Zn,0,3
Al Nb Zr,0,3
Al Nd,0,2
Al Nd Ni,0,3
Al Nd Os,0,3
Al Nd Pd,0,3
Al Nd Pr,0,3
Al Nd Pt,0,3
Al Nd Re,0,3
Al Nd Ru,0,3
Al Nd Sn,0,3
Al Nd W,0,3
Al Nd Zn,0,3
Al Ni,0,2
Al Ni Pd,0,3
Al Ni Pd Tb,0,4
Al Ni Pr,0,3
Al Ni Pr U,0,4
Al Ni Pt,0,3
Al Ni Pu,0,3
Al Ni Re,0,3
Al Ni Re Ru,0,4
Al Ni Re Ta,0,4
Al Ni Re W,0,4
Al Ni Ru,0,3
Al Ni Ru U,0,4
Al Ni Ru W,0,4
Al Ni Sb,0,3
Al Ni Sc,0,3
Al Ni Sm,0,3
Al Ni Sn,0,3
Al Ni Sr,0,3
Al Ni Ta,0,3
Al Ni Ta W,0,4
Al Ni Ta Y,0,4
Al Ni Tb,0,3
Al Ni Th,0,3
Al Ni Th U,0,4
Al Ni Ti,0,3
Al Ni Ti Zr,0,4
Al Ni Tm,0,3
Al Ni U,0,3
Al Ni U Y,0,4
Al Ni V,0,3
Al Ni W,0,3
Al Ni Y,0,3
Al Ni Yb,0,3
Al Ni Zn,0,3
Al Ni Zr,0,3
Al Np,0,2
Al Np Pd,0,3
Al Np V,0,3
Al Os,0,2
Al Os Sc,0,3
Al Os Sm,0,3
Al Os Th,0,3
Al Os Ti,0,3
Al Os U,0,3
Al Os Y,0,3
Al Os Yb,0,3
Al Os Zr,0,3
Al Pb Sr,0,3
Al Pb Ti,0,3
Al Pb Zr,0,3
Al Pd,0,2
Al Pd Pr,0,3
Al Pd Pt U,0,4
Al Pd Pu,0,3
Al Pd Ru,0,3
Al Pd Sc,0,3
Al Pd Sm,0,3
Al Pd Sr,0,3
Al Pd Tb,0,3
Al Pd Th,0,3
Al Pd Ti,0,3
Al Pd Ti Zr,0,4
Al Pd Tm,0,3
Al Pd U,0,3
Al Pd Y,0,3
Al Pd Yb,0,3
Al Pd Zn,0,3
Al Pd Zr,0,3
Al Pr,0,2
Al Pr Pt,0,3
Al Pr Rh,0,3
Al Pr Ru,0,3
Al Pr Sr,0,3
Al Pr Tb,0,3
Al Pr Ti,0,3
Al Pr U,0,3
Al Pr V,0,3
Al Pr Y,0,3
Al Pr Zn,0,3
Al Pt,0,2
Al Pt Sc,0,3
Al Pt Sc V,0,4
Al Pt Sm,0,3
Al Pt Sr,0,3
Al Pt Tb,0,3
Al Pt Th,0,3
Al Pt Ti,0,3
Al Pt Tm,0,3
Al Pt U,0,3
Al Pt V Y,0,4
Al Pt Y,0,3
Al Pt Yb,0,3
Al Pt Zn,0,3
Al Pt Zr,0,3
Al Pu,0,2
Al Pu V,0,3
Al Pu W,0,3
Al Rb Sb,0,3
Al Rb Sn,0,3
Al Re,0,2
Al Re Sm,0,3
Al Re Tb,0,3
Al Re Ti,0,3
Al Re Y,0,3
Al Re Yb,0,3
Al Rh,0,2
Al Rh Sc,0,3
Al Rh Th,0,3
Al Rh Th U,0,4
Al Rh Ti,0,3
Al Rh Tm,0,3
Al Rh U,0,3
Al Rh Y,0,3
Al Rh Yb,0,3
Al Rh Zr,0,3
Al Ru,0,2
Al Ru Sc,0,3
Al Ru Tb,0,3
Al Ru Th,0,3
Al Ru Ti,0,3
Al Ru Ti Zr,0,4
Al Ru U,0,3
Al Ru V,0,3
Al Ru Y,0,3
Al Ru Yb,0,3
Al Ru Zr,0,3
Al Sb,0,2
Al Sb Sr,0,3
Al Sb Sr Yb,0,4
Al Sb Ti,0,3
Al Sb V,0,3
Al Sb Yb,0,3
Al Sb Zr,0,3
Al Sc,0,2
Al Sc V,0,3
Al Sc Yb,0,3
Al Sc Zr,0,3
Al Sm,0,2
Al Sm Ti,0,3
Al Sm U,0,3
Al Sm V,0,3
Al Sm W,0,3
Al Sm Zn,0,3
Al Sn,0,2
Al Sn Sr,0,3
Al Sn Ti,0,3
Al Sn U,0,3
Al Sn V,0,3
Al Sn Yb,0,3
Al Sn Zr,0,3
Al Sr,0,2
Al Ta,0,2
Al Ta Ti,0,3
Al Ta V,0,3
Al Ta V W,0,4
Al Ta W,0,3
Al Ta Zn,0,3
Al Tb,0,2
Al Tb W,0,3
Al Tb Zn,0,3
Al Tb Zr,0,3
Al Tc,0,2
Al Th,0,2
Al Th U,0,3
Al Th V,0,3
Al Ti,0,2
Al Ti Tl,0,3
Al Ti V,0,3
Al Ti V Zr,0,4
Al Ti Yb,0,3
Al Ti Zn,0,3
Al Ti Zr,0,3
Al Tm,0,2
Al Tm W,0,3
Al Tm Zn,0,3
Al U,0,2
Al U V,0,3
Al U W,0,3
Al U Y,0,3
Al U Zr,0,3
Al V,0,2
Al V W,0,3
Al V Y,0,3
Al V Zr,0,3
Al W,0,2
Al W Y,0,3
Al W Yb,0,3
Al W Zr,0,3
Al Y,0,2
Al Y Yb,0,3
Al Y Zn,0,3
Al Yb,0,2
Al Yb Zn,0,3
Al Zn,0,2
Al Zn Zr,0,3
Al Zr,0,2
Am Be,0,2
Am Bi,0,2
Am Ir,0,2
Am La,0,2
Am Ni,0,2
Am Ni Sn,0,3
Am Os,0,2
Am Pd,0,2
Am Pd Sn,0,3
Am Pt,0,2
Am Pu,0,2
Am Rh,0,2
Am Sb,0,2
Au Ba,0,2
Au Ba Bi,0,3
Au Ba Cd,0,3
Au Ba Ga,0,3
Au Ba Ga Ge,0,4
Au Ba Ge,0,3
Au Ba In,0,3
Au Ba Pt,0,3
Au Ba Sb,0,3
Au Ba Sn,0,3
Au Ba Tl,0,3
Au Ba Zn,0,3
Au Be,0,2
Au Bi,0,2
Au Bi Ca,0,3
Au Bi Ce,0,3
Au Bi Dy,0,3
Au Bi Er,0,3
Au Bi Gd,0,3
Au Bi Ho,0,3
Au Bi K,0,3
Au Bi La,0,3
Au Bi Li,0,3
Au Bi Na,0,3
Au Bi Nd,0,3
Au Bi Pr,0,3
Au Bi Sm,0,3
Au Bi Sr,0,3
Au Bi Tb,0,3
Au Bi Yb,0,3
Au Ca,0,2
Au Ca Cd,0,3
Au Ca Ga,0,3
Au Ca Ge,0,3
Au Ca Hg,0,3
Au Ca In,0,3
Au Ca Pb,0,3
Au Ca Pt,0,3
Au Ca Sb,0,3
Au Ca Sn,0,3
Au Ca Zn,0,3
Au Cd,0,2
Au Cd Ce,0,3
Au Cd Eu,0,3
Au Cd Eu Mg,0,4
Au Cd Eu Sb,0,4
Au Cd Gd,0,3
Au Cd In,0,3
Au Cd In Sn,0,4
Au Cd La,0,3
Au Cd Mg,0,3
Au Cd Na,0,3
Au Cd Pr,0,3
Au Cd Sb,0,3
Au Cd Sn,0,3
Au Cd Sr,0,3
Au Cd Tb,0,3
Au Cd Yb,0,3
Au Cd Zn,0,3
Au Ce,0,2
Au Ce Cu,0,3
Au Ce Ga,0,3
Au Ce Ge,0,3
Au Ce In,0,3
Au Ce In Mg,0,4
Au Ce In Y,0,4
Au Ce Mg,0,3
Au Ce Pb,0,3
Au Ce Pt,0,3
Au Ce Pt U,0,4
Au Ce Sb,0,3
Au Ce Sn,0,3
Au Ce Zn,0,3
Au Co,0,2
Au Co Fe,0,3
Au Co Sn,0,3
Au Cr,0,2
Au Cr Nb,0,3
Au Cr Pd,0,3
Au Cr Sn,0,3
Au Cr Zn,0,3
Au Cs,0,2
Au Cs Ga,0,3
Au Cs Ge,0,3
Au Cs In,0,3
Au Cs Pb,0,3
Au Cs Rb,0,3
Au Cs Sn,0,3
Au Cu,0,2
Au Cu Dy,0,3
Au Cu Er,0,3
Au Cu Fe,0,3
Au Cu Ga,0,3
Au Cu Gd,0,3
Au Cu Ge,0,3
Au Cu Ho,0,3
Au Cu In,0,3
Au Cu La,0,3
Au Cu Lu,0,3
Au Cu Mg,0,3
Au Cu Mn,0,3
Au Cu Nd,0,3
Au Cu Ni,0,3
Au Cu Pd,0,3
Au Cu Pr,0,3
Au Cu Pt,0,3
Au Cu Sc,0,3
Au Cu Sn,0,3
Au Cu Tb,0,3
Au Cu U,0,3
Au Cu Yb,0,3
Au Cu Zn,0,3
Au Dy,0,2
Au Dy Ga,0,3
Au Dy Ge,0,3
Au Dy In,0,3
Au Dy Ni,0,3
Au Dy Pb,0,3
Au Dy Sb,0,3
Au Dy Sn,0,3
Au Dy Zn,0,3
Au Er,0,2
Au Er Ga,0,3
Au Er Ge,0,3
Au Er In,0,3
Au Er Ni,0,3
Au Er Pb,0,3
Au Er Pt,0,3
Au Er Sb,0,3
Au Er Sn,0,3
Au Er Zn,0,3
Au Eu,0,2
Au Eu Ga,0,3
Au Eu Ge,0,3
Au Eu In,0,3
Au Eu In Sr,0,4
Au Eu Mg,0,3
Au Eu Sb,0,3
Au Eu Sn,0,3
Au Eu Zn,0,3
Au Fe,0,2
Au Fe Nb,0,3
Au Fe Nd,0,3
Au Fe Pd,0,3
Au Fe Pr,0,3
Au Fe Sn,0,3
Au Ga,0,2
Au Ga Gd,0,3
Au Ga Hf,0,3
Au Ga Ho,0,3
Au Ga In,0,3
Au Ga K,0,3
Au Ga La,0,3
Au Ga Li,0,3
Au Ga Lu,0,3
Au Ga Mg,0,3
Au Ga Na,0,3
Au Ga Nb,0,3
Au Ga Nd,0,3
Au Ga Pd,0,3
Au Ga Pr,0,3
Au Ga Rb,0,3
Au Ga Sc,0,3
Au Ga Sm,0,3
Au Ga Sr,0,3
Au Ga Ta,0,3
Au Ga Tb,0,3
Au Ga Ti,0,3
Au Ga Tm,0,3
Au Ga U,0,3
Au Ga V,0,3
Au Ga Y,0,3
Au Ga Yb,0,3
Au Ga Zr,0,3
Au Gd,0,2
Au Gd Ge,0,3
Au Gd In,0,3
Au Gd Mg,0,3
Au Gd Mg Y,0,4
Au Gd Mn,0,3
Au Gd Ni,0,3
Au Gd Pb,0,3
Au Gd Pb Y,0,4
Au Gd Sb,0,3
Au Gd Sn,0,3
Au Gd Tb,0,3
Au Gd Zn,0,3
Au Ge,0,2
Au Ge Ho,0,3
Au Ge In Yb,0,4
Au Ge K,0,3
Au Ge K Rb,0,4
Au Ge La,0,3
Au Ge Li,0,3
Au Ge Lu,0,3
Au Ge Mn Nd,0,4
Au Ge Na,0,3
Au Ge Nb,0,3
Au Ge Nd,0,3
Au Ge Pr,0,3
Au Ge Rb,0,3
Au Ge Sc,0,3
Au Ge Sm,0,3
Au Ge Sr,0,3
Au Ge Tb,0,3
Au Ge Th,0,3
Au Ge Tm,0,3
Au Ge U,0,3
Au Ge Y,0,3
Au Ge Yb,0,3
Au Hf,0,2
Au Hf In,0,3
Au Hg,0,2
Au Hg Mg,0,3
Au Hg Mn,0,3
Au Ho,0,2
Au Ho In,0,3
Au Ho Mg,0,3
Au Ho Ni,0,3
Au Ho Pb,0,3
Au Ho Sb,0,3
Au Ho Sn,0,3
Au In,0,2
Au In K,0,3
Au In K Rb,0,4
Au In La,0,3
Au In Li,0,3
Au In Lu,0,3
Au In Na,0,3
Au In Nd,0,3
Au In Pd,0,3
Au In Pd Y,0,4
Au In Pr,0,3
Au In Pt,0,3
Au In Rb,0,3
Au In Sb,0,3
Au In Sc,0,3
Au In Sm,0,3
Au In Sn,0,3
Au In Sr,0,3
Au In Tb,0,3
Au In Th,0,3
Au In Ti,0,3
Au In Tm,0,3
Au In U,0,3
Au In Y,0,3
Au In Yb,0,3
Au In Zn,0,3
Au In Zr,0,3
Au Ir Nb,0,3
Au Ir Os,0,3
Au K,0,2
Au K Na Tl,0,4
Au K Pb,0,3
Au K Rb Sb,0,4
Au K Sb,0,3
Au K Sn,0,3
Au K Sn Tl,0,4
Au K Tl,0,3
Au La,0,2
Au La Mg,0,3
Au La Pb,0,3
Au La Sb,0,3
Au La Sn,0,3
Au La Zn,0,3
Au Li,0,2
Au Li Mg,0,3
Au Li Mg Sn,0,4
Au Li Na,0,3
Au Li Pb,0,3
Au Li Sb,0,3
Au Li Sn,0,3
Au Li Tl,0,3
Au Lu,0,2
Au Lu Ni,0,3
Au Lu Pb,0,3
Au Lu Sb,0,3
Au Lu Sn,0,3
Au Mg,0,2
Au Mg Pr,0,3
Au Mg Sn,0,3
Au Mg Yb,0,3
Au Mn,0,2
Au Mn Pd,0,3
Au Mn Pt,0,3
Au Mn Pt Sb,0,4
Au Mn Sb,0,3
Au Mn Sn,0,3
Au Mn Y,0,3
Au Mo,0,2
Au Mo Zn,0,3
Au Na,0,2
Au Na Rb Sb,0,4
Au Na Sb,0,3
Au Na Sn,0,3
Au Na Tl,0,3
Au Na Zn,0,3
Au Nb,0,2
Au Nb Os,0,3
Au Nb Pt,0,3
Au Nb Zn,0,3
Au Nd,0,2
Au Nd Pb,0,3
Au Nd Sb,0,3
Au Nd Sn,0,3
Au Nd Zn,0,3
Au Ni,0,2
Au Ni Sc,0,3
Au Ni Sn,0,3
Au Ni Tb,0,3
Au Ni Tm,0,3
Au Ni Y,0,3
Au Ni Yb,0,3
Au Ni Zn,0,3
Au Os Zr,0,3
Au Pb,0,2
Au Pb Pd,0,3
Au Pb Pr,0,3
Au Pb Rb,0,3
Au Pb Sm,0,3
Au Pb Tb,0,3
Au Pb Y,0,3
Au Pb Yb,0,3
Au Pd,0,2
Au Pd Pt,0,3
Au Pd Sb,0,3
Au Pd Sn,0,3
Au Pd U,0,3
Au Pd Zn,0,3
Au Pr,0,2
Au Pr Sb,0,3
Au Pr Sn,0,3
Au Pt,0,2
Au Pt Sr,0,3
Au Pt Ti,0,3
Au Pt U,0,3
Au Pt Yb,0,3
Au Pu,0,2
Au Rb,0,2
Au Rb Sb,0,3
Au Rb Sn,0,3
Au Rb Tl,0,3
Au Sb,0,2
Au Sb Sm,0,3
Au Sb Sn,0,3
Au Sb Sr,0,3
Au Sb Tb,0,3
Au Sb Tl,0,3
Au Sb Tm,0,3
Au Sb U,0,3
Au Sb Y,0,3
Au Sb Yb,0,3
Au Sc,0,2
Au Sc Sn,0,3
Au Sm,0,2
Au Sm Sn,0,3
Au Sm Zn,0,3
Au Sn,0,2
Au Sn Sr,0,3
Au Sn Tb,0,3
Au Sn Tm,0,3
Au Sn U,0,3
Au Sn Y,0,3
Au Sn Yb,0,3
Au Sr,0,2
Au Sr Zn,0,3
Au Ta,0,2
Au Tb,0,2
Au Tb Zn,0,3
Au Th,0,2
Au Th U,0,3
Au Ti,0,2
Au Ti Tl,0,3
Au Tl,0,2
Au Tm,0,2
Au U,0,2
Au V,0,2
Au Y,0,2
Au Y Zn,0,3
Au Yb,0,2
Au Yb Zn,0,3
Au Zn,0,2
Au Zr,0,2
Ba Be,0,2
Ba Bi,0,2
Ba Bi Cd,0,3
Ba Bi Cu,0,3
Ba Bi In,0,3
Ba Bi K,0,3
Ba Bi K Sn,0,4
Ba Bi Li,0,3
Ba Bi Mg,0,3
Ba Bi Mn,0,3
Ba Bi Na,0,3
Ba Bi Pb,0,3
Ba Bi Pd,0,3
Ba Bi Pt,0,3
Ba Bi Sb,0,3
Ba Bi Sn,0,3
Ba Bi Sr,0,3
Ba Bi Ti,0,3
Ba Bi Zn,0,3
Ba Ca,0,2
Ba Ca Cd Sb,0,4
Ba Ca Ga Sb,0,4
Ba Ca Ge,0,3
Ba Ca Li,0,3
Ba Ca Pb,0,3
Ba Ca Sn,0,3
Ba Cd,0,2
Ba Cd Eu Sb,0,4
Ba Cd Ga,0,3
Ba Cd Ge,0,3
Ba Cd Ge Li,0,4
Ba Cd Hg,0,3
Ba Cd K Sb,0,4
Ba Cd Li Sb,0,4
Ba Cd Pb,0,3
Ba Cd Pt,0,3
Ba Cd Sb,0,3
Ba Cd Sb Sr,0,4
Ba Cd Sb Yb,0,4
Ba Cd Sn,0,3
Ba Co Fe Sb,0,4
Ba Co Ge,0,3
Ba Co Sn,0,3
Ba Cu,0,2
Ba Cu Ga,0,3
Ba Cu Ge,0,3
Ba Cu Ge Sn,0,4
Ba Cu Ge Sr,0,4
Ba Cu Ge Zn,0,4
Ba Cu Sb,0,3
Ba Cu Sn,0,3
Ba Cu Zn,0,3
Ba Eu Ge,0,3
Ba Eu Ge Pt,0,4
Ba Eu Li Sn,0,4
Ba Eu Mn Sb,0,4
Ba Fe Sb,0,3
Ba Ga,0,2
Ba Ga Ge,0,3
Ba Ga Ge Mg,0,4
Ba Ga Ge Sb,0,4
Ba Ga Hg,0,3
Ba Ga In,0,3
Ba Ga K Sn,0,4
Ba Ga Li,0,3
Ba Ga Li Sb,0,4
Ba Ga Na Sb,0,4
Ba Ga Pb,0,3
Ba Ga Pt,0,3
Ba Ga Sb,0,3
Ba Ga Sn,0,3
Ba Ga Sr,0,3
Ba Ge,0,2
Ba Ge In,0,3
Ba Ge In Li,0,4
Ba Ge In Sb,0,4
Ba Ge Ir,0,3
Ba Ge Ir Mg,0,4
Ba Ge K Zn,0,4
Ba Ge Li,0,3
Ba Ge Li Mg,0,4
Ba Ge Mg,0,3
Ba Ge Mg Sr,0,4
Ba Ge Mn,0,3
Ba Ge Na,0,3
Ba Ge Ni,0,3
Ba Ge Pd,0,3
Ba Ge Pd Zn,0,4
Ba Ge Pt,0,3
Ba Ge Rh,0,3
Ba Ge Ru,0,3
Ba Ge Sn,0,3
Ba Ge Sr,0,3
Ba Ge Sr Zn,0,4
Ba Ge Tl,0,3
Ba Ge Zn,0,3
Ba Hg,0,2
Ba Hg In,0,3
Ba Hg Pb,0,3
Ba Hg Sn,0,3
Ba Hg Tl,0,3
Ba Hg Zn,0,3
Ba In,0,2
Ba In Ir,0,3
Ba In Li,0,3
Ba In Mg,0,3
Ba In Pb,0,3
Ba In Pt,0,3
Ba In Rh,0,3
Ba In Sb,0,3
Ba In Tl,0,3
Ba In Zn,0,3
Ba K Sb,0,3
Ba K Sb Sn,0,4
Ba Li,0,2
Ba Li Na,0,3
Ba Li Pb,0,3
Ba Li Sb,0,3
Ba Li Sn,0,3
Ba Li Sn Sr,0,4
Ba Li Sr,0,3
Ba Mg,0,2
Ba Mg Pb,0,3
Ba Mg Sb,0,3
Ba Mg Sn,0,3
Ba Mn,0,2
Ba Mn Sb,0,3
Ba Mn Sn,0,3
Ba Na,0,2
Ba Na Pb,0,3
Ba Na Sb,0,3
Ba Na Sn,0,3
Ba Ni,0,2
Ba Ni Sn,0,3
Ba Os Sb,0,3
Ba Pb,0,2
Ba Pb Rh,0,3
Ba Pb Sn,0,3
Ba Pb Sr,0,3
Ba Pb Tl,0,3
Ba Pb Zn,0,3
Ba Pd,0,2
Ba Pd Sb,0,3
Ba Pd Sb Sn,0,4
Ba Pd Sn,0,3
Ba Pd Zn,0,3
Ba Pt,0,2
Ba Pt Sb,0,3
Ba Pt Sn,0,3
Ba Rh,0,2
Ba Rh Sn,0,3
Ba Ru Sb,0,3
Ba Ru Sn,0,3
Ba Sb,0,2
Ba Sb Sn,0,3
Ba Sb Sr,0,3
Ba Sb Ti,0,3
